#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bendasi,بندسي,SD06112,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Mukjar,مكجر,SD06130,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Gharb Jabal Marrah,غرب جبل مرة,SD06131,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Shamal Jabal Marrah,شمال  جبل مرة,SD06132,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Dukhun,أم دخن,SD06135,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Wadi Salih,وادي صالح,SD06137,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Zalingi,زالنجى,SD06138,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Wasat Jabal Marrah,وسط جبل مرة,SD06139,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Jubayhah,أبو جبيهة,SD07088,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Talawdi,تلودي,SD07089,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abassiya,العباسية,SD07090,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Durein,أم دورين,SD07091,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ar Rashad,الرشاد,SD07093,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Quoz,القوز,SD07094,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Dilling,الدلنج,SD07095,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Heiban,هيبان,SD07096,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ar Reif Ash Shargi,الريف الشرقي,SD07097,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kadugli,كادقلي,SD07098,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Buram,البرام,SD07099,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Habila - SK,هبيلة - ج ك,SD07103,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Kershola,أبو كرشولا,SD07104,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Leri,الليري,SD07105,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
At Tadamon - SK,التضامن - ج ك,SD07106,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Delami,دلامي,SD07107,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ghadeer,غدير,SD07108,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Baw,باو,SD08104,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ed Damazine,الدمازين,SD08105,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Kurmuk,الكرمك,SD08106,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ar Rusayris,الروصيرص,SD08107,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
