#adm3+name+i_en,#adm3+name+i_fr,#adm3+name+i_rw,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm3+name+alt1+i_rw,#adm3+name+alt2+i_rw,#adm2+name+i_en,#adm2+name+i_fr,#adm2+name+i_rw,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_fr,#adm1+name+i_rw,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fr,#country+name+i_rw,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kinyinya,,,RW1210,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ndera,,,RW1211,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nduba,,,RW1212,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Remera,,,RW1213,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rusororo,,,RW1214,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rutunga,,,RW1215,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gahanga,,,RW1301,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gatenga,,,RW1302,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gikondo,,,RW1303,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kagarama,,,RW1304,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kanombe,,,RW1305,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kicukiro,,,RW1306,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kigarama,,,RW1307,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Masaka,,,RW1308,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Niboye,,,RW1309,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyarugunga,,,RW1310,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Busasamana,,,RW2101,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Busoro,,,RW2102,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Cyabakamyi,,,RW2103,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibilizi,,,RW2104,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kigoma,,,RW2105,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mukingo,,,RW2106,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Muyira,,,RW2107,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ntyazo,,,RW2108,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyagisozi,,,RW2109,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rwabicuma,,,RW2110,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gikonko,,,RW2201,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gishubi,,,RW2202,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kansi,,,RW2203,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibirizi,,,RW2204,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kigembe,,,RW2205,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mamba,,,RW2206,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Muganza,,,RW2207,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mugombwa,,,RW2208,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mukindo,,,RW2209,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Musha,,,RW2210,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ndora,,,RW2211,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyanza,,,RW2212,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Save,,,RW2213,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Busanze,,,RW2301,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Cyahinda,,,RW2302,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibeho,,,RW2303,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kivu,,,RW2304,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mata,,,RW2305,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Muganza,,,RW2306,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Munini,,,RW2307,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngera,,,RW2308,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngoma,,,RW2309,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyabimata,,,RW2310,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyagisozi,,,RW2311,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ruheru,,,RW2312,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ruramba,,,RW2313,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rusenge,,,RW2314,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gishamvu,,,RW2401,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Huye,,,RW2402,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Karama,,,RW2403,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kigoma,,,RW2404,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kinazi,,,RW2405,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Maraba,,,RW2406,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mbazi,,,RW2407,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mukura,,,RW2408,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngoma,,,RW2409,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ruhashya,,,RW2410,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rusatira,,,RW2411,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rwaniro,,,RW2412,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Simbi,,,RW2413,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Tumba,,,RW2414,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Buruhukiro,,,RW2501,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Cyanika,,,RW2502,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gasaka,,,RW2503,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gatare,,,RW2504,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kaduha,,,RW2505,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kamegeri,,,RW2506,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibirizi,,,RW2507,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibumbwe,,,RW2508,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kitabi,,,RW2509,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mbazi,,,RW2510,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mugano,,,RW2511,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Musange,,,RW2512,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Musebeya,,,RW2513,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mushubi,,,RW2514,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nkomane,,,RW2515,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Tare,,,RW2516,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Uwinkingi,,,RW2517,,,,,,,,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Bweramana,,,RW2601,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Byimana,,,RW2602,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kabagali,,,RW2603,,Kabagari,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kinazi,,,RW2604,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kinihira,,,RW2605,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mbuye,,,RW2606,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mwendo,,,RW2607,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ntongwe,,,RW2608,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ruhango,,,RW2609,,,,,,,,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Cyeza,,,RW2701,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kabacuzi,,,RW2702,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kibangu,,,RW2703,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kiyumba,,,RW2704,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Muhanga,,,RW2705,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mushishiro,,,RW2706,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyabinoni,,,RW2707,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyamabuye,,,RW2708,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyarusange,,,RW2709,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rongi,,,RW2710,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rugendabari,,,RW2711,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Shyogwe,,,RW2712,,,,,,,,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gacurabwenge,,,RW2801,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Karama,,,RW2802,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kayenzi,,,RW2803,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kayumbu,,,RW2804,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Mugina,,,RW2805,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Musambira,,,RW2806,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngamba,,,RW2807,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyamiyaga,,,RW2808,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyarubaka,,,RW2809,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rugarika,,,RW2810,,Rugalika,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rukoma,,,RW2811,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Runda,,,RW2812,,,,,,,,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
