#adm3+name+i_en,#adm3+name+i_my,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt1+i_my,#adm2+name+i_en,#adm2+name+i_my,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_my,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_my,#country+code+v_iso2,#date+start,#date+updated,#date+end
Sagaing,စစ်ကိုင်း,MM005001,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myinmu,မြင်းမူ,MM005002,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myaung,မြောင်,MM005003,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Shwebo,ရွှေဘို,MM005004,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Khin-U,ခင်ဦး,MM005005,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Wetlet,ဝက်လက်,MM005006,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kanbalu,ကန့်ဘလူ,MM005007,,,,Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kyunhla,ကျွန်းလှ,MM005008,,,,Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Ye-U,ရေဦး,MM005009,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tabayin,ဒီပဲယင်း,MM005010,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Taze,တန့်ဆည်,MM005011,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
