#adm2+name+i_en,#adm2+name+i_tr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_tr,#adm2+name+alt2+i_tr,#adm1+name+i_en,#adm1+name+i_tr,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_tr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bolvadin,Bolvadin,TR003004,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cay,Çay,TR003005,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cobanlar,Çobanlar,TR003006,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dazkiri,Dazkiri,TR003007,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dinar,Dinar,TR003008,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Emirdag,Emirdağ,TR003009,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Evciler,Evciler,TR003010,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Hocalar,Hocalar,TR003011,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ihsaniye,Ihsaniye,TR003012,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Iscehisar,Iscehisar,TR003013,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kiziloren,Kizilören,TR003014,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sandikli,Sandikli,TR003015,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sinanpasa,Sinanpaşa,TR003016,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sultandagi,Sultandaği,TR003017,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Suhut,Şuhut,TR003018,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Agri,Ağri,TR004001,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Diyadin,Diyadin,TR004002,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dogubayazit,Doğubayazit,TR004003,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Eleskirt,Eleşkirt,TR004004,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Hamur,Hamur,TR004005,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Patnos,Patnos,TR004006,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Taslicay,Taşliçay,TR004007,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tutak,Tutak,TR004008,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Amasya,Amasya,TR005001,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Goynucek,Göynücek,TR005002,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gumushacikoy,Gümüşhaciköy,TR005003,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Hamamozu,Hamamözü,TR005004,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Merzifon,Merzifon,TR005005,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Suluova,Suluova,TR005006,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tasova,Taşova,TR005007,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Akyurt,Akyurt,TR006001,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Altindag,Altindağ,TR006002,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ayas,Ayaş,TR006003,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bala,Bala,TR006004,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Beypazari,Beypazari,TR006005,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Camlidere,Çamlidere,TR006006,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cankaya,Çankaya,TR006007,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cubuk,Çubuk,TR006008,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Elmadag,Elmadağ,TR006009,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Etimesgut,Etimesgut,TR006010,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Evren,Evren,TR006011,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Golbasi,Gölbaşi,TR006012,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gudul,Güdül,TR006013,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Haymana,Haymana,TR006014,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kahramankazan,Kahramankazan,TR006015,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kalecik,Kalecik,TR006016,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kecioren,Keçiören,TR006017,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kizilcahamam,Kizilcahamam,TR006018,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mamak,Mamak,TR006019,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Nallihan,Nallihan,TR006020,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Polatli,Polatli,TR006021,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Pursaklar,Pursaklar,TR006022,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sincan,Sincan,TR006023,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sereflikochisar,Şereflikoçhisar,TR006024,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yenimahalle,Yenimahalle,TR006025,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Akseki,Akseki,TR007001,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Aksu,Aksu,TR007002,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Alanya,Alanya,TR007003,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Demre,Demre,TR007004,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dosemealti,Döşemealti,TR007005,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Elmali,Elmali,TR007006,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Finike,Finike,TR007007,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gazipasa,Gazipaşa,TR007008,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gundogmus,Gündoğmuş,TR007009,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ibradi,Ibradi,TR007010,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kas,Kaş,TR007011,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kemer,Kemer,TR007012,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kepez,Kepez,TR007013,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Konyaalti,Konyaalti,TR007014,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Korkuteli,Korkuteli,TR007015,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kumluca,Kumluca,TR007016,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Manavgat,Manavgat,TR007017,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Muratpasa,Muratpaşa,TR007018,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Serik,Serik,TR007019,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ardanuc,Ardanuç,TR008001,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Arhavi,Arhavi,TR008002,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Artvin,Artvin,TR008003,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Borcka,Borçka,TR008004,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Hopa,Hopa,TR008005,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kemalpasa,Kemalpaşa,TR008006,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Murgul,Murgul,TR008007,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Savsat,Şavşat,TR008008,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yusufeli,Yusufeli,TR008009,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bozdogan,Bozdoğan,TR009001,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Buharkent,Buharkent,TR009002,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cine,Çine,TR009003,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Didim,Didim,TR009004,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Efeler,Efeler,TR009005,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Germencik,Germencik,TR009006,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Incirliova,Incirliova,TR009007,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karacasu,Karacasu,TR009008,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karpuzlu,Karpuzlu,TR009009,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kocarli,Koçarli,TR009010,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kosk,Köşk,TR009011,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kusadasi,Kuşadasi,TR009012,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kuyucak,Kuyucak,TR009013,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Nazilli,Nazilli,TR009014,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Soke,Söke,TR009015,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sultanhisar,Sultanhisar,TR009016,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yenipazar,Yenipazar,TR009017,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Altieylul,Altieylül,TR010001,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ayvalik,Ayvalik,TR010002,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Balya,Balya,TR010003,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bandirma,Bandirma,TR010004,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bigadic,Bigadiç,TR010005,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Burhaniye,Burhaniye,TR010006,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dursunbey,Dursunbey,TR010007,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Edremit,Edremit,TR010008,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Erdek,Erdek,TR010009,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gomec,Gömeç,TR010010,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gonen,Gönen,TR010011,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Havran,Havran,TR010012,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ivrindi,Ivrindi,TR010013,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karesi,Karesi,TR010014,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kepsut,Kepsut,TR010015,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Manyas,Manyas,TR010016,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Marmara,Marmara,TR010017,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Savastepe,Savaştepe,TR010018,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sindirgi,Sindirgi,TR010019,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Susurluk,Susurluk,TR010020,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bilecik,Bilecik,TR011001,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bozuyuk,Bozüyük,TR011002,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Golpazari,Gölpazari,TR011003,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Inhisar,Inhisar,TR011004,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Osmaneli,Osmaneli,TR011005,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Pazaryeri,Pazaryeri,TR011006,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sogut,Söğüt,TR011007,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yenipazar,Yenipazar,TR011008,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Adakli,Adakli,TR012001,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bingol,Bingöl,TR012002,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Genc,Genç,TR012003,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karliova,Karliova,TR012004,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kigi,Kiği,TR012005,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Solhan,Solhan,TR012006,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yayladere,Yayladere,TR012007,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yedisu,Yedisu,TR012008,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Adilcevaz,Adilcevaz,TR013001,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ahlat,Ahlat,TR013002,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bitlis,Bitlis,TR013003,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Guroymak,Güroymak,TR013004,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Hizan,Hizan,TR013005,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mutki,Mutki,TR013006,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tatvan,Tatvan,TR013007,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bolu,Bolu,TR014001,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Dortdivan,Dörtdivan,TR014002,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gerede,Gerede,TR014003,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Goynuk,Göynük,TR014004,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kibriscik,Kibriscik,TR014005,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mengen,Mengen,TR014006,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mudurnu,Mudurnu,TR014007,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Seben,Seben,TR014008,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yenicaga,Yeniçağa,TR014009,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Aglasun,Ağlasun,TR015001,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Altinyayla,Altinyayla,TR015002,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bucak,Bucak,TR015003,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Burdur,Burdur,TR015004,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cavdir,Çavdir,TR015005,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Celtikci,Çeltikçi,TR015006,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Golhisar,Gölhisar,TR015007,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karamanli,Karamanli,TR015008,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kemer,Kemer,TR015009,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tefenni,Tefenni,TR015010,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yesilova,Yeşilova,TR015011,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Buyukorhan,Büyükorhan,TR016001,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gemlik,Gemlik,TR016002,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gursu,Gürsu,TR016003,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Harmancik,Harmancik,TR016004,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Inegol,Inegöl,TR016005,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Iznik,Iznik,TR016006,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karacabey,Karacabey,TR016007,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Keles,Keles,TR016008,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kestel,Kestel,TR016009,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mudanya,Mudanya,TR016010,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Mustafakemalpasa,Mustafakemalpaşa,TR016011,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Nilufer,Nilüfer,TR016012,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Orhaneli,Orhaneli,TR016013,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Orhangazi,Orhangazi,TR016014,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Osmangazi,Osmangazi,TR016015,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
