#adm3+name+i_es,#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_es,#adm3+name+alt2+i_es,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_es,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_es,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Municipio Las Terrenas,,DO010403,Municipio Las Terrenas,,,,,Provincia Samaná,,DO0104,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Dajabón,,DO020101,Municipio Dajabon,,,,,Provincia Dajabón,,DO0201,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Loma de Cabrera,,DO020102,Municipio Loma de Cabrera,,,,,Provincia Dajabón,,DO0201,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Partido,,DO020103,Municipio Partido,,,,,Provincia Dajabón,,DO0201,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Restauración,,DO020104,Municipio Restauracion,,,,,Provincia Dajabón,,DO0201,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Pino,,DO020105,Municipio El Pino,,,,,Provincia Dajabón,,DO0201,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Monte Cristi,,DO020201,Municipio Monte Cristi,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Castañuelas,,DO020202,Municipio Castanuelas,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Guayubín,,DO020203,Municipio Guayubin,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Matas de Santa Cruz,,DO020204,Municipio Las Matas de Santa Cruz,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pepillo Salcedo,,DO020205,Municipio Pepillo Salcedo,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Vásquez,,DO020206,Municipio Villa Vasquez,,,,,Provincia Monte Cristi,,DO0202,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Ignacio de Sabaneta,,DO020301,Municipio San Ignacio de Sabaneta,,,,,Provincia Santiago Rodríguez,,DO0203,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Los Almácigos,,DO020302,Municipio Villa Los Almacigos,,,,,Provincia Santiago Rodríguez,,DO0203,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Monción,,DO020303,Municipio Moncion,,,,,Provincia Santiago Rodríguez,,DO0203,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Mao,,DO020401,Municipio Mao,,,,,Provincia Valverde,,DO0204,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Esperanza,,DO020402,Municipio Esperanza,,,,,Provincia Valverde,,DO0204,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Laguna Salada,,DO020403,Municipio Laguna Salada,,,,,Provincia Valverde,,DO0204,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Moca,,DO030101,Municipio Moca,,,,,Provincia Espaillat,,DO0301,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cayetano Germosén,,DO030102,Municipio Cayetano Germosen,,,,,Provincia Espaillat,,DO0301,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Gaspar Hernández,,DO030103,Municipio Gaspar Hernandez,,,,,Provincia Espaillat,,DO0301,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jamao al Norte,,DO030104,Municipio Jamao al Norte,,,,,Provincia Espaillat,,DO0301,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Puerto Plata,,DO030201,Municipio Puerto Plata,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Altamira,,DO030202,Municipio Altamira,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Guananico,,DO030203,Municipio Guananico,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Imbert,,DO030204,Municipio Imbert,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Los Hidalgos,,DO030205,Municipio Los Hidalgos,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Luperón,,DO030206,Municipio Luperon,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sosúa,,DO030207,Municipio Sosua,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Isabela,,DO030208,Municipio Villa Isabela,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Montellano,,DO030209,Municipio Villa Montellano,,,,,Provincia Puerto Plata,,DO0302,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Santiago,,DO030301,Municipio Santiago,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bisonó,,DO030302,Municipio Bisono,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jánico,,DO030303,Municipio Janico,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Licey al Medio,,DO030304,Municipio Licey al Medio,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San José de las Matas,,DO030305,Municipio San Jose de las Matas,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Tamboril,,DO030306,Municipio Tamboril,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa González,,DO030307,Municipio Villa Gonzalez,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Puñal,,DO030308,Municipio Punal,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana Iglesia,,DO030309,Municipio Sabana Iglesia,,,,,Provincia Santiago,,DO0303,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio La Vega,,DO040101,Municipio La Vega,,,,,Provincia La Vega,,DO0401,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Constanza,,DO040102,Municipio Constanza,,,,,Provincia La Vega,,DO0401,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jarabacoa,,DO040103,Municipio Jarabacoa,,,,,Provincia La Vega,,DO0401,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jima Abajo,,DO040104,Municipio Jima Abajo,,,,,Provincia La Vega,,DO0401,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bonao,,DO040201,Municipio Bonao,,,,,Provincia Monseñor Nouel,,DO0402,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Maimón,,DO040202,Municipio Maimon,,,,,Provincia Monseñor Nouel,,DO0402,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Piedra Blanca,,DO040203,Municipio Piedra Blanca,,,,,Provincia Monseñor Nouel,,DO0402,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cotuí,,DO040301,Municipio Cotui,,,,,Provincia Sánchez Ramírez,,DO0403,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cevicos,,DO040302,Municipio Cevicos,,,,,Provincia Sánchez Ramírez,,DO0403,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Fantino,,DO040303,Municipio Fantino,,,,,Provincia Sánchez Ramírez,,DO0403,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio La Mata,,DO040304,Municipio La Mata,,,,,Provincia Sánchez Ramírez,,DO0403,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Comendador,,DO050101,Municipio Comendador,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bánica,,DO050102,Municipio Banica,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Llano,,DO050103,Municipio El Llano,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Hondo Valle,,DO050104,Municipio Hondo Valle,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pedro Santana,,DO050105,Municipio Pedro Santana,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Juan Santiago,,DO050106,Municipio Juan Santiago,,,,,Provincia Elías Piña,,DO0501,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Juan,,DO050201,Municipio San Juan,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bohechío,,DO050202,Municipio Bohechio,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Cercado,,DO050203,Municipio El Cercado,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Juan de Herrera,,DO050204,Municipio Juan de Herrera,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Matas de Farfán,,DO050205,Municipio Las Matas de Farfan,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Vallejuelo,,DO050206,Municipio Vallejuelo,,,,,Provincia San Juan,,DO0502,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Neiba,,DO060101,Municipio Neiba,,,,,Provincia Baoruco,,DO0601,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Galván,,DO060102,Municipio Galvan,,,,,Provincia Baoruco,,DO0601,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Tamayo,,DO060103,Municipio Tamayo,,,,,Provincia Baoruco,,DO0601,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Jaragua,,DO060104,Municipio Villa Jaragua,,,,,Provincia Baoruco,,DO0601,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Los Rìos,,DO060105,Municipio Los Rìos,,,,,Provincia Baoruco,,DO0601,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Barahona,,DO060201,Municipio Barahona,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cabral,,DO060202,Municipio Cabral,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Enriquillo,,DO060203,Municipio Enriquillo,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Paraíso,,DO060204,Municipio Paraiso,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Vicente Noble,,DO060205,Municipio Vicente Noble,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Peñón,,DO060206,Municipio El Penon,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio La Ciénaga,,DO060207,Municipio La Cienaga,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Fundación,,DO060208,Municipio Fundacion,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Salinas,,DO060209,Municipio Las Salinas,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Polo,,DO060210,Municipio Polo,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jaquimeyes,,DO060211,Municipio Jaquimeyes,,,,,Provincia Barahona,,DO0602,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Jimaní,,DO060301,Municipio Jimani,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Duvergé,,DO060302,Municipio Duverge,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio La Descubierta,,DO060303,Municipio La Descubierta,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Postrer Río,,DO060304,Municipio Postrer Rio,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cristóbal,,DO060305,Municipio Cristobal,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Mella,,DO060306,Municipio Mella,,,,,Provincia Independencia,,DO0603,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pedernales,,DO060401,Municipio Pedernales,,,,,Provincia Pedernales,,DO0604,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Oviedo,,DO060402,Municipio Oviedo,,,,,Provincia Pedernales,,DO0604,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Hato Mayor,,DO070101,Municipio Hato Mayor,,,,,Provincia Hato Mayor,,DO0701,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana de la Mar,,DO070102,Municipio Sabana de la Mar,,,,,Provincia Hato Mayor,,DO0701,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Valle,,DO070103,Municipio El Valle,,,,,Provincia Hato Mayor,,DO0701,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Monte Plata,,DO070201,Municipio Monte Plata,,,,,Provincia Monte Plata,,DO0702,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bayaguana,,DO070202,Municipio Bayaguana,,,,,Provincia Monte Plata,,DO0702,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana Grande de Boyá,,DO070203,Municipio Sabana Grande de Boya,,,,,Provincia Monte Plata,,DO0702,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Yamasá,,DO070204,Municipio Yamasa,,,,,Provincia Monte Plata,,DO0702,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Peralvillo,,DO070205,Municipio Peralvillo,,,,,Provincia Monte Plata,,DO0702,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Pedro de Macorís,,DO070301,Municipio San Pedro de Macoris,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Los Llanos,,DO070302,Municipio Los Llanos,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Ramón Santana,,DO070303,Municipio Ramon Santana,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Consuelo,,DO070304,Municipio Consuelo,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Quisqueya,,DO070305,Municipio Quisqueya,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Guayacanes,,DO070306,Municipio Guayacanes,,,,,Provincia San Pedro de Macorís,,DO0703,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Santo Domingo de Guzmán,,DO080101,Municipio Santo Domingo de Guzman,,,,,Distrito Nacional,,DO0801,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Santo Domingo Este,,DO080201,Municipio Santo Domingo Este,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Santo Domingo Oeste,,DO080202,Municipio Santo Domingo Oeste,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Santo Domingo Norte,,DO080203,Municipio Santo Domingo Norte,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Boca Chica,,DO080204,Municipio Boca Chica,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Antonio de Guerra,,DO080205,Municipio San Antonio de Guerra,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Los Alcarrizos,,DO080206,Municipio Los Alcarrizos,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pedro Brand,,DO080207,Municipio Pedro Brand,,,,,Provincia Santo Domingo,,DO0802,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Azua,,DO090101,Municipio Azua,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Charcas,,DO090102,Municipio Las Charcas,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Yayas de Viajama,,DO090103,Municipio Las Yayas de Viajama,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Padre Las Casas,,DO090104,Municipio Padre Las Casas,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Peralta,,DO090105,Municipio Peralta,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana Yegua,,DO090106,Municipio Sabana Yegua,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pueblo Viejo,,DO090107,Municipio Pueblo Viejo,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Tábara Arriba,,DO090108,Municipio Tabara Arriba,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Guayabal,,DO090109,Municipio Guayabal,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Estebanía,,DO090110,Municipio Estebania,,,,,Provincia Azua,,DO0901,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Baní,,DO090201,Municipio Bani,,,,,Provincia Peravia,,DO0902,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Nizao,,DO090202,Municipio Nizao,,,,,Provincia Peravia,,DO0902,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Cristóbal,,DO090301,Municipio San Cristobal,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana Grande de Palenque,,DO090302,Municipio Sabana Grande de Palenque,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Bajos de Haina,,DO090303,Municipio Bajos de Haina,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
