#adm4+name+i_es,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_es,#adm4+name+alt2+i_es,#adm3+name+i_es,#adm3+code+v_pcode,#adm2+name+i_es,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
El Pino,DO02010501,,,,Municipio El Pino,DO020105,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Manuel Bueno (D.M.),DO02010502,,,,Municipio El Pino,DO020105,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Monte Cristi,DO02020101,,,,Municipio Monte Cristi,DO020201,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Castañuelas,DO02020201,Castanuelas,,,Municipio Castañuelas,DO020202,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Palo Verde (D.M.),DO02020202,,,,Municipio Castañuelas,DO020202,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Guayubín,DO02020301,Guayubin,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Elisa (D.M.),DO02020302,,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Hatillo Palma (D.M.),DO02020303,,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cana Chapetón (D.M.),DO02020304,Cana Chapeton (D.M.),,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Matas de Santa Cruz,DO02020401,,,,Municipio Las Matas de Santa Cruz,DO020204,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Pepillo Salcedo (Manzanillo),DO02020501,,,,Municipio Pepillo Salcedo,DO020205,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Vásquez,DO02020601,Villa Vasquez,,,Municipio Villa Vásquez,DO020206,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
San Ignacio de Sabaneta,DO02030101,,,,Municipio San Ignacio de Sabaneta,DO020301,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Los Almácigos,DO02030201,Villa Los Almacigos,,,Municipio Villa Los Almácigos,DO020302,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Monción,DO02030301,Moncion,,,Municipio Monción,DO020303,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Mao,DO02040101,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Amina (D.M.),DO02040102,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jaibón (Pueblo Nuevo) (D.M.),DO02040103,Jaibon (Pueblo Nuevo) (D.M.),,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Guatapanal (D.M.),DO02040104,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Esperanza,DO02040201,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Maizal (D.M.),DO02040202,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jicomé (D.M.),DO02040203,Jicome (D.M.),,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Boca de Mao (D.M.),DO02040204,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Paradero (D.M.),DO02040205,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Laguna Salada,DO02040301,,,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jaibón (D.M.),DO02040302,Jaibon (D.M.),,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Caya (D.M.),DO02040303,,,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cruce de Guayacanes (D.M.),DO02040304,,,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Moca,DO03010101,,,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
José Contreras (D.M.),DO03010102,Jose Contreras (D.M.),,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
San Víctor (D.M.),DO03010103,San Victor (D.M.),,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Juan López (D.M.),DO03010104,Juan Lopez (D.M.),,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Lagunas (D.M.),DO03010105,,,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Canca la Reyna (D.M.),DO03010106,,,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Higüerito (D.M.),DO03010107,El Higuerito (D.M.),,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Monte de la Jagua (D.M.),DO03010108,,,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Ortega (D.M.),DO03010109,,,,Municipio Moca,DO030101,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cayetano Germosén,DO03010201,Cayetano Germosen,,,Municipio Cayetano Germosén,DO030102,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Gaspar Hernández,DO03010301,Gaspar Hernandez,,,Municipio Gaspar Hernández,DO030103,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Joba Arriba (D.M.),DO03010302,,,,Municipio Gaspar Hernández,DO030103,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Veragua (D.M.),DO03010303,,,,Municipio Gaspar Hernández,DO030103,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Magante (D.M.),DO03010304,,,,Municipio Gaspar Hernández,DO030103,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jamao al Norte,DO03010401,,,,Municipio Jamao al Norte,DO030104,Provincia Espaillat,DO0301,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Puerto Plata,DO03020101,,,,Municipio Puerto Plata,DO030201,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Yásica Arriba (D.M.),DO03020102,Yasica Arriba (D.M.),,,Municipio Puerto Plata,DO030201,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Maimón (D.M.),DO03020103,Maimon (D.M.),,,Municipio Puerto Plata,DO030201,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Altamira,DO03020201,,,,Municipio Altamira,DO030202,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Río Grande (D.M.),DO03020202,Rio Grande (D.M.),,,Municipio Altamira,DO030202,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Guananico,DO03020301,,,,Municipio Guananico,DO030203,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Imbert,DO03020401,,,,Municipio Imbert,DO030204,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Los Hidalgos,DO03020501,,,,Municipio Los Hidalgos,DO030205,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Navas (D.M.),DO03020502,,,,Municipio Los Hidalgos,DO030205,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Luperón,DO03020601,Luperon,,,Municipio Luperón,DO030206,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Isabela (D.M.),DO03020602,,,,Municipio Luperón,DO030206,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Belloso (D.M.),DO03020603,,,,Municipio Luperón,DO030206,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Estrecho de Luperón Omar Bross (D.M.),DO03020604,El Estrecho de Luperon Omar Bross (D.M.),,,Municipio Luperón,DO030206,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Sosúa,DO03020701,Sosua,,,Municipio Sosúa,DO030207,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cabarete (D.M.),DO03020702,,,,Municipio Sosúa,DO030207,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Sabaneta de Yásica (D.M.),DO03020703,Sabaneta de Yasica (D.M.),,,Municipio Sosúa,DO030207,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Isabela,DO03020801,,,,Municipio Villa Isabela,DO030208,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Estero Hondo (D.M.),DO03020802,,,,Municipio Villa Isabela,DO030208,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Jaiba (D.M.),DO03020803,,,,Municipio Villa Isabela,DO030208,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Gualete (D.M.),DO03020804,,,,Municipio Villa Isabela,DO030208,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Montellano,DO03020901,,,,Municipio Villa Montellano,DO030209,Provincia Puerto Plata,DO0302,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Santiago,DO03030101,,,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Pedro García (D.M.),DO03030102,Pedro Garcia (D.M.),,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Baitoa (D.M.),DO03030103,,,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Canela (D.M.),DO03030104,,,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
San Francisco de Jacagua (D.M.),DO03030105,,,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Hato del Yaque (D.M.),DO03030106,,,,Municipio Santiago,DO030301,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Bisonó,DO03030201,Bisono,,,Municipio Bisonó,DO030302,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jánico,DO03030301,Janico,,,Municipio Jánico,DO030303,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Juncalito (D.M.),DO03030302,,,,Municipio Jánico,DO030303,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Caimito (D.M.),DO03030303,,,,Municipio Jánico,DO030303,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Licey al Medio,DO03030401,,,,Municipio Licey al Medio,DO030304,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Palomas (D.M.),DO03030402,,,,Municipio Licey al Medio,DO030304,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
San José de las Matas,DO03030501,San Jose de las Matas,,,Municipio San José de las Matas,DO030305,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Rubio (D.M.),DO03030502,,,,Municipio San José de las Matas,DO030305,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Cuesta (D.M.),DO03030503,,,,Municipio San José de las Matas,DO030305,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Placetas (D.M.),DO03030504,,,,Municipio San José de las Matas,DO030305,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Tamboril,DO03030601,,,,Municipio Tamboril,DO030306,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Canca La Piedra (D.M.),DO03030602,,,,Municipio Tamboril,DO030306,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa González,DO03030701,Villa Gonzalez,,,Municipio Villa González,DO030307,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Palmar Arriba (D.M.),DO03030702,,,,Municipio Villa González,DO030307,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Limón (D.M.),DO03030703,El Limon (D.M.),,,Municipio Villa González,DO030307,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Puñal,DO03030801,Punal,,,Municipio Puñal,DO030308,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Guayabal (D.M.),DO03030802,,,,Municipio Puñal,DO030308,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Canabacoa (D.M.),DO03030803,,,,Municipio Puñal,DO030308,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Sabana Iglesia,DO03030901,,,,Municipio Sabana Iglesia,DO030309,Provincia Santiago,DO0303,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Vega,DO04010101,,,,Municipio La Vega,DO040101,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Río Verde Arriba (D.M.),DO04010102,Rio Verde Arriba (D.M.),,,Municipio La Vega,DO040101,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Ranchito (D.M.),DO04010103,,,,Municipio La Vega,DO040101,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Tavera (D.M.),DO04010104,,,,Municipio La Vega,DO040101,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Constanza,DO04010201,,,,Municipio Constanza,DO040102,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Tireo (D.M.),DO04010202,,,,Municipio Constanza,DO040102,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Sabina (D.M.),DO04010203,,,,Municipio Constanza,DO040102,Provincia La Vega,DO0401,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
