#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gaborone,BW010101,,,,Gaborone,BW0101,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
Tswagare/Lothoje/Lokalana,BW080217,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Makokwe,BW080218,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Marojane,BW080219,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Papatlo,BW080220,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Phihitshwane,BW080221,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Molete,BW080222,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ditlharapa,BW080223,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Madingwana,BW080224,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kgoro,BW080225,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sheep Farm,BW080226,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Motsentshe,BW080227,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mogwalale,BW080228,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Gathwane,BW080229,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Digawana,BW080230,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Magoriapitse,BW080231,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lejwana,BW080232,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mogojogojo,BW080233,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mmathethe,BW080234,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mokgomane,BW080235,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Pitshane Molopo,BW080236,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sedibeng,BW080237,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Musi,BW080238,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tswaaneng,BW080239,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Gamajalela,BW080240,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Dikhukhung,BW080241,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Leporung,BW080242,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mmakgori,BW080243,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mabule,BW080244,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tshidilamolomo,BW080245,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Metlobo,BW080246,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lorwana,BW080247,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kangwe,BW080248,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sekhutlane,BW080249,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mabutsane,BW080301,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Morwamosu,BW080302,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sekoma,BW080303,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Khonkhwa,BW080304,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Keng,BW080305,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Khakhea,BW080306,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kokong,BW080307,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kanaku,BW080308,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mahotshwane,BW080309,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Itholoke,BW080310,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kutuku,BW080311,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Otse,BW090101,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Ramotswa Station/Taung,BW090102,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Ramotswa,BW090103,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Mogobane,BW090104,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Tlokweng,BW090105,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Lobatse Estates,BW090106,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Doorn Laagte,BW090107,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Hildavale,BW090108,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Molepolole,BW100101,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Lentsweletau,BW100102,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mahetlwe,BW100103,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Gakgatla,BW100104,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Gamodubu,BW100105,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Gabane,BW100106,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Hatsalatladi,BW100107,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Ramaphatle,BW100108,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kopong,BW100109,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Tloaneng,BW100110,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kumakwane,BW100111,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Lephephe,BW100112,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Boatlaname,BW100113,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Metsimotlhabe,BW100114,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mmankgodi,BW100115,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mmopane,BW100116,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mogoditshane,BW100117,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Bdf Mogoditshane,BW100118,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Shadishadi,BW100119,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Sojwe,BW100120,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Thamaga,BW100121,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mmanoko,BW100122,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kubung,BW100123,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Losilakgokong,BW100124,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kgope,BW100125,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mogonono,BW100126,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kweneng,BW100127,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Ditshukudu,BW100128,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mokolodi,BW100129,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mmatseta,BW100130,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Leologane,BW100131,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Gakutlo,BW100132,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Dikgatlhong,BW100133,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Medie,BW100134,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Letlhakeng,BW100201,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Thebephatshwa,BW100202,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Botlhapatlou,BW100203,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Ditshegwane,BW100204,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Dutlwe,BW100205,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Moshaweng,BW100206,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Khudumelapye,BW100207,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Serinane,BW100208,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mantshwabisi,BW100209,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Motokwe,BW100210,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Ngware,BW100211,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Salajwe,BW100212,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Takatokwane,BW100213,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Tsetseng,BW100214,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Tswaane,BW100215,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Monwane,BW100216,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Malwelwe,BW100217,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Maboane,BW100218,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Sesung,BW100219,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Sorilatholo,BW100220,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kotolaname,BW100221,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Metsibotlhoko,BW100222,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kaudwane,BW100223,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Diphuduhudu,BW100224,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Maratshwane,BW100225,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Mochudi,BW110101,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Pilane Station,BW110102,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Rasesa,BW110103,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Bokaa,BW110104,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Morwa,BW110105,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Matebeleng,BW110106,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Oodi,BW110107,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Modipane,BW110108,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Mabalane,BW110109,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Sikwane,BW110110,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Mmathubudukwane,BW110111,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Ramonaka,BW110112,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Malolwane,BW110113,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Oliphants Drift,BW110114,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Artisia,BW110115,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Malotwana Siding,BW110116,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Leshibitse,BW110117,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Ramotlabaki,BW110118,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Kgomodiatshaba,BW110119,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Dikgonnye,BW110120,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Khurutshe,BW110121,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Dikwididi,BW110122,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Serowe,BW120101,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Palapye,BW120102,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lecheng,BW120103,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moremi,BW120104,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Malaka,BW120105,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mogapi,BW120106,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mogapinyana,BW120107,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kgagodi,BW120108,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Maunatlala,BW120109,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tamasane,BW120110,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Diloro,BW120111,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lesenepole/Matolwane,BW120112,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mosweu,BW120113,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokokwana,BW120114,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Seolwane,BW120115,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lerala,BW120116,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Majwaneng,BW120117,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Ratholo,BW120118,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moeng,BW120119,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Gootau,BW120120,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Goo-Sekgweng,BW120121,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Matlhakola,BW120122,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Topisi,BW120123,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Paje,BW120124,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mabeleapudi,BW120125,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tshimoyapula,BW120126,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmashoro,BW120127,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mogorosi,BW120128,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Thabala,BW120129,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moiyabana,BW120130,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Gamabuo,BW120131,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Radisele,BW120132,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mogome,BW120133,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokgware,BW120134,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Motshegaletau,BW120135,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Malatswai,BW120136,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokhungwana,BW120137,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Serule,BW120138,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moreomabele,BW120139,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Gojwane,BW120140,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Manaledi,BW120141,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Dimajwe,BW120142,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Majwanaadipitse,BW120143,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Sehunou,BW120144,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tuli,BW120145,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mahalapye,BW120201,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Palla Road/Dinokwe,BW120202,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
