#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ferkessédougou,CI3101,Ferkessedougou,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kong,CI3102,,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Ouangolodougou,CI3103,,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Biankouma,CI3201,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Danané,CI3202,Danane,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Man,CI3203,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sipilou,CI3204,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Zouan-Hounien,CI3205,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kani,CI3301,,,,Worodougou,CI33,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Séguéla,CI3302,Seguela,,,Worodougou,CI33,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
