#adm2+name+i_fr,#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_fr,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_fr,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bamboutos,,CM008001,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Haut-Nkam,,CM008002,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Hauts-Plateaux,,CM008003,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Koung-Khi,,CM008004,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Menoua,,CM008005,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mifi,,CM008006,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndé,,CM008007,Nde,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Noun,,CM008008,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dja-et-Lobo,,CM009001,,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mvila,,CM009002,,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Océan,,CM009003,Ocean,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Vallée-du-Ntem,,CM009004,Vallee-du-Ntem,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fako,,CM010001,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kupe-Manenguba,,CM010002,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lebialem,,CM010003,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Manyu,,CM010004,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Meme,,CM010005,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndian,,CM010006,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
