#adm3+name+i_pt,#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_pt,#adm3+name+alt2+i_pt,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_pt,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_pt,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_pt,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Namogelia,,MZ010305,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ocua,,MZ010306,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Pemba,,MZ010401,,,,,,Cidade De Pemba,,MZ0104,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ibo,,MZ010501,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quirimba,,MZ010502,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chai,,MZ010601,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macomia,,MZ010602,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mucojo,,MZ010603,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quiterajo,,MZ010604,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mecufi,,MZ010701,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Murrebue,,MZ010702,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Meluco,,MZ010801,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muaguide,,MZ010802,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Metuge,,MZ010901,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mieze,,MZ010902,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Diaca,,MZ011001,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mbau,,MZ011002,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mocimboa Da Praia,,MZ011003,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mapupulo,,MZ011101,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mirate,,MZ011102,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Montepuez,,MZ011103,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nairoto,,MZ011104,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namanhumbir,,MZ011105,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chapa,,MZ011201,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Imbuo,,MZ011202,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mueda,,MZ011203,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
N'Gapa,,MZ011204,NGapa,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Negomano,,MZ011205,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chitunda,,MZ011301,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Miteda,,MZ011302,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muidumbe,,MZ011303,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Hucula,,MZ011401,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Machoca,,MZ011402,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Meloco,,MZ011403,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
N'Cumpe,,MZ011404,NCumpe,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namuno,,MZ011405,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Papai,,MZ011406,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
M'Tamba,,MZ011501,MTamba,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nangade,,MZ011502,,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Olumbi,,MZ011601,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Palma,,MZ011602,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Pundanhar,,MZ011603,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quionga,,MZ011604,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Bilibiza,,MZ011801,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mahate,,MZ011802,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quissanga,,MZ011803,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macia,,MZ020101,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Makluane,,MZ020102,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mazivila,,MZ020103,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Messano,,MZ020104,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Praia De Bilene,,MZ020105,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Alto Changane,,MZ020201,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chaimite,,MZ020202,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Changanine,,MZ020203,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chibuto,,MZ020204,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Godide,,MZ020205,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Malehice,,MZ020206,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Pafuri,,MZ020301,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Vila Eduardo Mondlane,,MZ020302,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chigubo,,MZ020401,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Dindiza,,MZ020402,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chokwe,,MZ020501,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Lionde,,MZ020502,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macarretane,,MZ020503,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Xilembene,,MZ020504,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chongoene,,MZ020601,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Madzucane,,MZ020602,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nguzene,,MZ020603,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Xai-Xai,,MZ020701,,,,,,Cidade De Xai-Xai,,MZ0207,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Caniçado,,MZ020801,Canicado,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chivongoene,,MZ020802,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mubangoene,,MZ020803,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nalazi,,MZ020804,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chicumbane,,MZ020901,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chissano,,MZ020902,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zongoene,,MZ020903,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Combomune,,MZ021001,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mabalane,,MZ021002,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ntlavene,,MZ021003,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chibonzane,,MZ021101,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chidenguele,,MZ021102,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macuacua,,MZ021103,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mandlakaze,,MZ021104,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Xhalala,,MZ021105,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mapai,,MZ021201,,,,,,Mapai,,MZ0212,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massangena,,MZ021301,,,,,,Massangena,,MZ0213,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mavue,,MZ021302,,,,,,Massangena,,MZ0213,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massingir,,MZ021401,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mavodze,,MZ021402,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zulo,,MZ021403,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Inhambane,,MZ030101,,,,,,Cidade De Inhambane,,MZ0301,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Funhalouro,,MZ030201,,,,,,Funhalouro,,MZ0302,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Tome,,MZ030202,,,,,,Funhalouro,,MZ0302,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nova Mambone,,MZ030301,,,,,,Govuro,,MZ0303,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Save,,MZ030302,,,,,,Govuro,,MZ0303,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Homoine,,MZ030401,,,,,,Homoine,,MZ0304,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Pembe,,MZ030402,,,,,,Homoine,,MZ0304,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inharrime,,MZ030501,,,,,,Inharrime,,MZ0305,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mocumbi,,MZ030502,,,,,,Inharrime,,MZ0305,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Bazaruto,,MZ030601,,,,,,Inhassoro,,MZ0306,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inhassoro,,MZ030602,,,,,,Inhassoro,,MZ0306,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cumbana,,MZ030701,,,,,,Jangamo,,MZ0307,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Jangamo,,MZ030702,,,,,,Jangamo,,MZ0307,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mabote,,MZ030801,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zimane,,MZ030802,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zinave,,MZ030803,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chicomo,,MZ030901,,,,,,Massinga,,MZ0309,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massinga,,MZ030902,,,,,,Massinga,,MZ0309,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maxixe,,MZ031001,,,,,,Maxixe,,MZ0310,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Morrumbene,,MZ031101,,,,,,Morrumbene,,MZ0311,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mucoduene,,MZ031102,,,,,,Morrumbene,,MZ0311,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mawayela,,MZ031201,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Panda,,MZ031202,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Urrene,,MZ031203,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mapinhane,,MZ031301,,,,,,Vilankulo,,MZ0313,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Vilankulo,,MZ031302,,,,,,Vilankulo,,MZ0313,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quissico,,MZ031401,,,,,,Zavala,,MZ0314,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zandamela,,MZ031402,,,,,,Zavala,,MZ0314,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Catandica,,MZ040101,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Choa,,MZ040102,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhampassa,,MZ040103,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Chimoio,,MZ040201,,,,,,Cidade De Chimoio,,MZ0402,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Amatongas,,MZ040301,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cafumpe,,MZ040302,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Gondola,,MZ040303,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inchope,,MZ040304,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Guro,,MZ040401,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mandie,,MZ040402,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mungari,,MZ040403,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhamassonge,,MZ040404,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macate,,MZ040501,,,,,,Macate,,MZ0405,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zembe,,MZ040502,,,,,,Macate,,MZ0405,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chitobe,,MZ040601,,,,,,Machaze,,MZ0406,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Save,,MZ040602,,,,,,Machaze,,MZ0406,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macossa,,MZ040701,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nguawala,,MZ040702,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhamagua,,MZ040703,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Machipanda,,MZ040801,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Manica,,MZ040802,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mavonde,,MZ040803,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Messica,,MZ040804,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chiurairue,,MZ040901,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Dacata,,MZ040902,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Espungabera,,MZ040903,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Dombe,,MZ041001,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muoha,,MZ041002,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Rotanda,,MZ041003,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Sussundenga,,MZ041004,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Bazua,,MZ041101,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhacafula,,MZ041102,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhacolo,,MZ041103,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Matsinho,,MZ041201,,,,,,Vanduzi,,MZ0412,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Vanduzi,,MZ041202,,,,,,Vanduzi,,MZ0412,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Boane,,MZ050101,,,,,,Boane,,MZ0501,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Matola Rio,,MZ050102,,,,,,Boane,,MZ0501,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade Da Matola,,MZ050201,,,,,,Cidade Da Matola,,MZ0502,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Magude,,MZ050301,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mahele,,MZ050302,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mapulanguene,,MZ050303,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Motaze,,MZ050304,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Panjane,,MZ050305,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Calanga,,MZ050401,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ilha Josina Machel,,MZ050402,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maluana,,MZ050403,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Manhiça,,MZ050404,Manhica,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Palmeira,,MZ050405,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Xinavane,,MZ050406,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Machubo,,MZ050501,,,,,,Marracuene,,MZ0505,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Marracuene,,MZ050502,,,,,,Marracuene,,MZ0505,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Bela Vista,,MZ050601,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Catuane,,MZ050602,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mugazine,,MZ050603,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
