#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Catanduanes,PH052000000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
Masbate,PH054100000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
Sorsogon,PH056200000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
Aklan,PH060400000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Antique,PH060600000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Capiz,PH061900000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Iloilo,PH063000000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Negros Occidental,PH064500000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Guimaras,PH067900000,,,,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
Bohol,PH071200000,,,,Region VII,PH070000000,Philippines (the),PH,2018-02-09,2021-12-24,
Cebu,PH072200000,,,,Region VII,PH070000000,Philippines (the),PH,2018-02-09,2021-12-24,
Negros Oriental,PH074600000,,,,Region VII,PH070000000,Philippines (the),PH,2018-02-09,2021-12-24,
Siquijor,PH076100000,,,,Region VII,PH070000000,Philippines (the),PH,2018-02-09,2021-12-24,
Eastern Samar,PH082600000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Leyte,PH083700000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Northern Samar,PH084800000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Samar,PH086000000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Southern Leyte,PH086400000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Biliran,PH087800000,,,,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
Zamboanga del Norte,PH097200000,,,,Region IX,PH090000000,Philippines (the),PH,2018-02-09,2021-12-24,
Zamboanga del Sur,PH097300000,,,,Region IX,PH090000000,Philippines (the),PH,2018-02-09,2021-12-24,
Zamboanga Sibugay,PH098300000,,,,Region IX,PH090000000,Philippines (the),PH,2018-02-09,2021-12-24,
City of Isabela,PH099700000,,,,Region IX,PH090000000,Philippines (the),PH,2018-02-09,2021-12-24,
Bukidnon,PH101300000,,,,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
Camiguin,PH101800000,,,,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
Lanao del Norte,PH103500000,,,,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
Misamis Occidental,PH104200000,,,,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
Misamis Oriental,PH104300000,,,,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
Davao del Norte,PH112300000,,,,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
Davao del Sur,PH112400000,,,,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
Davao Oriental,PH112500000,,,,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
Compostela Valley,PH118200000,,,,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
Davao Occidental,PH118600000,,,,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
Cotabato,PH124700000,,,,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
South Cotabato,PH126300000,,,,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
Sultan Kudarat,PH126500000,,,,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
Sarangani,PH128000000,,,,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
Cotabato City,PH129800000,,,,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
"NCR, City of Manila, First District",PH133900000,,,,National Capital Region,PH130000000,Philippines (the),PH,2018-02-09,2021-12-24,
"NCR, Second District",PH137400000,,,,National Capital Region,PH130000000,Philippines (the),PH,2018-02-09,2021-12-24,
"NCR, Third District",PH137500000,,,,National Capital Region,PH130000000,Philippines (the),PH,2018-02-09,2021-12-24,
"NCR, Fourth District",PH137600000,,,,National Capital Region,PH130000000,Philippines (the),PH,2018-02-09,2021-12-24,
Abra,PH140100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
Benguet,PH141100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
Ifugao,PH142700000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
