admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Wuro Bokki,NG002002010,Wuro Bokki,Wuro Bokki,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yadim,NG002002011,Yadim,Yadim,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bakari Goso,NG002003001,Bakari Goso,Bakari Guso,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gamu,NG002003002,Gamu,Gamu,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ganye 1,NG002003003,Ganye 1,Ganye I,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ganye 2,NG002003004,Ganye 2,Ganye II,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gurumpawo,NG002003005,Gurumpawo,Gurum,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jaggu,NG002003006,Jaggu,Jaggu,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sangassumi,NG002003007,Sangassumi,Sangasumi,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sugu,NG002003008,Sugu,Sugu,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Timdore,NG002003009,Timdore,Timdore,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yebbi,NG002003010,Yebbi,Yebbi,,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Boga,NG002004001,Boga,Boga/ Dingai,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Duwa,NG002004002,Duwa,Duwa,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gaanda,NG002004003,Gaanda,Ga'Anda,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gabon,NG002004004,Gabon,Gabun,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Garkida,NG002004005,Garkida,Garkida,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gombi North,NG002004006,Gombi North,Gombi North,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gombi South,NG002004007,Gombi South,Gombi South,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Guyaku,NG002004008,Guyaku,Guyaku,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tawa,NG002004009,Tawa,Tawa,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yang,NG002004010,Yang,Yang,,Gombi,NG002004,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dakri,NG002005001,Dakri,Dakri,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Damare,NG002005002,Damare,Damare,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gereng,NG002005003,Gereng,Gereng,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Girei 1,NG002005004,Girei 1,Girei I,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Girei 2,NG002005005,Girei 2,Girei II,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jera Bakari,NG002005006,Jera Bakari,Jera Bakari,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jera Bonyo,NG002005007,Jera Bonyo,Jera Bonyo,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Modire,NG002005008,Modire,Modire/ Vinikilang,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tambo,NG002005009,Tambo,Tambo,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Wuro Dole,NG002005010,Wuro Dole,Wuro Dole,,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Banjiram,NG002006001,Banjiram,Banjiram,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bobini,NG002006002,Bobini,Bobini,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bodeno,NG002006003,Bodeno,Bodeno,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Chikila,NG002006004,Chikila,Chikila,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dukul,NG002006005,Dukul,Dukul,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dumna,NG002006006,Dumna,Dumna,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Guyuk,NG002006007,Guyuk,Guyuk,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kola,NG002006008,Kola,Kola,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Lokoro,NG002006009,Lokoro,Lokoro,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Purakayo,NG002006010,Purakayo,Purokayo,,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bangshika,NG002007001,Bangshika,Bangshika,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Daksiri,NG002007002,Daksiri,Daksiri,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Garaha,NG002007003,Garaha,Garaha,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gaya-sikalmi,NG002007004,Gaya-sikalmi,Gaya,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Hildi,NG002007005,Hildi,Hildi,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Hong,NG002007006,Hong,Hong,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Hoserezum,NG002007007,Hoserezum,Hushere Zum,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kwarhi,NG002007008,Kwarhi,Kwarhi,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Lope,NG002007009,Mayo Lope,Mayo Lope,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Shangui,NG002007010,Shangui,Shangui,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Thilbang,NG002007011,Thilbang,Thilbang,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Uba,NG002007012,Uba,Uba,,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Danaba,NG002008001,Danaba,Danaba,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jada 1,NG002008002,Jada 1,Jada I,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jada 2,NG002008003,Jada 2,Jada II,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Koma 1,NG002008004,Koma 1,Koma I,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Koma 2,NG002008005,Koma 2,Koma II,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Leko,NG002008006,Leko,Leko,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mapeo,NG002008007,Mapeo,Mapeo,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Kalaye,NG002008008,Mayo Kalaye,Mayokalaye,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mbullo,NG002008009,Mbullo,Mbulo,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Nyibago,NG002008010,Nyibago,Nyibango,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yeli,NG002008011,Yeli,Yelli,,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dubange,NG002009001,Dubange,Dubwangun,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gyawana,NG002009002,Gyawana,Gyawana,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Lafiya,NG002009003,Lafiya,Lafiya,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Lamurde,NG002009004,Lamurde,Lamurde,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ngbebogun,NG002009005,Ngbebogun,Ngbakowo,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ngbakawo,NG002009006,Ngbakawo,Mgbebongun,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Opalo,NG002009007,Opalo,Opalo,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Rigange,NG002009008,Rigange,Rigange,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Suwa,NG002009009,Suwa,Suwa,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Waduku,NG002009010,Waduku,Waduku,,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bebel,NG002010001,Bebel,Babel,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Duhu,NG002010002,Duhu,Duhu/ Shuwa,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gulak,NG002010003,Gulak,Gulak,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Hyambula,NG002010004,Hyambula,Hyambula,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kirchinga,NG002010005,Kirchinga,K/Wuro Ngayandi,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Madagali,NG002010006,Madagali,Madagali,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Pallam,NG002010007,Pallam,Pallam,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sukur,NG002010008,Sukur,Shelmi / Sukur/ Vapura,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Waga-chakawa,NG002010009,Waga-chakawa,Wagga,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Wula,NG002010010,Wula,Wula,,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bebel,NG002011001,Bebel,Belel,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Humbutudi,NG002011002,Humbutudi,Humbutudi,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Konkol,NG002011003,Konkol,Konkol,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Maiha Gari,NG002011004,Maiha Gari,Maiha Gari,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Manjekin,NG002011005,Manjekin,Manjekin,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Nguli,NG002011006,Mayo Nguli,Mayonguli,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Pakka,NG002011007,Pakka,Pakka,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sorau A,NG002011008,Sorau A,Sorau 'A',,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sorau B,NG002011009,Sorau B,Sorau 'B',,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tambajam,NG002011010,Tambajam,Tambajam,,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bajama,NG002012001,Bajama,Bajama,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Binyeri,NG002012002,Binyeri,Binyeri,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gang Fada,NG002012003,Gang Fada,Gangfada,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gengle,NG002012004,Gengle,Gengle,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gorobi,NG002012005,Gorobi,Gorobi,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Farang,NG002012006,Mayo Farang,Mayo Farang,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mbilla,NG002012007,Mbilla,Mayo-Belwa,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jereng,NG002012008,Jereng,Nassarawo Jereng,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ndikong,NG002012009,Ndikong,Ndikong,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ribadu,NG002012010,Ribadu,Ribadu,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tola,NG002012011,Tola,Tola,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yoffo,NG002012012,Yoffo,Yoffo,,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bazza Margi,NG002013001,Bazza Margi,Bazza Margi,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Futuless,NG002013002,Futuless,Futudou / Futules,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Garta,NG002013003,Garta,Garta / Ghunchi,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Jigalambu,NG002013004,Jigalambu,Jigalambu,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Madzi,NG002013005,Madzi,Madzi,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Michika 1,NG002013006,Michika 1,Michika  I,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Michika 2,NG002013007,Michika 2,Michika  II,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ninkisi/Wuro Ngiki,NG002013008,Ninkisi/Wuro Ngiki,Minkisi/ Wuro Ngiki,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Moda/Dlaka,NG002013009,Moda/Dlaka,Moda / Dlaka / Ghenjuwa,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Munkavachitta,NG002013010,Munkavachitta,Munkavicita,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sina Kamale,NG002013011,Sina Kamale,Sina / Kamale / Kwande,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tsukumu/Tilijo,NG002013012,Tsukumu/Tilijo,Sukumu / Tillijo,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Zah,NG002013013,Zah,Thukudou / Sufuku / Zah,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Tumbara/Ngabili,NG002013014,Tumbara/Ngabili,Tumbara / Ngabili,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Vih/Boka,NG002013015,Vih/Boka,Vi / Boka,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Wambilimi/Tili,NG002013016,Wambilimi/Tili,Wamblimi / Tilli,,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bahuli,NG002014001,Bahuli,Bahuli,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Betso,NG002014002,Betso,Betso,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Digil,NG002014003,Digil,Digil,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kolere,NG002014004,Kolere,Kolere,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Lokuwa,NG002014005,Lokuwa,Lokuwa,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Bani,NG002014006,Mayo Bani,Mayo Bani,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mijilu,NG002014007,Mijilu,Mijilu,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Muchalla,NG002014008,Muchalla,Muchalla,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Sabon Layi,NG002014009,Sabon Layi,Sabon Layi,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Vimtim,NG002014010,Vimtim,Vimtim,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Yelwa,NG002014011,Yelwa,Yelwa,,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dirbishi,NG002015001,Dirbishi,Dirbishi/Gandira,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Duvu,NG002015002,Duvu,Duvu/ Chaba/ Girburum,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gella,NG002015003,Gella,Gella,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gude,NG002015004,Gude,Gude,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kwaja,NG002015005,Kwaja,Kwaja,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Lamurde,NG002015006,Lamurde,Lamorde,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mugulbu,NG002015007,Mugulbu,Mugulbu/ Yadafa,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mujara,NG002015008,Mujara,Mujara,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Nassarawo,NG002015009,Nassarawo,Nassarawo,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Nduku,NG002015010,Nduku,Nduku,,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bare,NG002016001,Bare,Bare,,Numan,NG002016,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Bwalki,NG002016002,Bwalki,Bolki,,Numan,NG002016,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
