#adm3+name+i_es,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_es,#adm3+name+alt2+i_es,#adm2+name+i_es,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
San Andrés,PA020508,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santa Marta,PA020509,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santa Rosa,PA020510,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santo Domingo,PA020511,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Sortová,PA020512,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Volcán,PA020513,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bijagual,PA020601,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Chiriquí,PA020602,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Cochea,PA020603,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
David,PA020604,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Guacá,PA020605,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Las Lomas,PA020606,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Pedregal,PA020607,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Carlos,PA020608,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Pablo Nuevo,PA020609,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Pablo Viejo,PA020610,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Dolega,PA020701,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Dos Ríos,PA020702,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Los Anastacios,PA020703,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Potrerillos Abajo,PA020704,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Potrerillos,PA020705,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Rovira,PA020706,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Tinajas,PA020707,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Gualaca,PA020801,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Hornito,PA020802,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Los Angeles,PA020803,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Paja de Sombrero,PA020804,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Rincón,PA020805,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Nancito,PA020901,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Porvenir,PA020902,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Puerto,PA020903,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Remedios,PA020904,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santa Lucía,PA020905,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Breñón,PA021001,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Cañas Gordas,PA021002,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Monte Lirio,PA021003,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Plaza Caisán,PA021004,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Río Sereno,PA021005,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santa Cruz,PA021006,,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Juay,PA021101,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
La Lajas,PA021102,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Lajas Adentro,PA021103,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Félix,PA021104,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Santa Cruz,PA021105,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Boca Chica,PA021201,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Boca del Monte,PA021202,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Horconcitos,PA021203,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Juan,PA021204,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Lorenzo,PA021205,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bella Vista,PA021301,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Cerro Viejo,PA021302,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
El Cristo,PA021303,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Justo Fidel Palacios,PA021304,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Lajas de Tolé,PA021305,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Potrero de Caña,PA021306,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Quebrada de Piedra,PA021307,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Tolé,PA021308,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Veladero,PA021309,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Aguadulce,PA030101,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Barrios Unidos,PA030102,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Cristo,PA030103,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Roble,PA030104,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Pocrí,PA030105,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Antón,PA030201,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Caballero,PA030202,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Cabuya,PA030203,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Chirú,PA030204,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Retiro,PA030205,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Valle,PA030206,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Juan Diaz,PA030207,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Río Hato,PA030208,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
San Juan de Dios,PA030209,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Santa Rita,PA030210,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Harino,PA030301,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Potrero,PA030302,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
La Pintada,PA030303,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Las Lomas,PA030304,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Llano Grande,PA030305,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Piedras Gordas,PA030306,,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Capellania,PA030401,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Caño,PA030402,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Guzmán,PA030403,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Las Huacas,PA030404,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Natá,PA030405,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Toza,PA030406,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Copé,PA030501,,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Palmar,PA030502,,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Picacho,PA030503,,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
La Pava,PA030504,,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Olá,PA030505,,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Cañaveral,PA030601,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Chiguirí Arriba,PA030602,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Coclé,PA030603,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
El Coco,PA030604,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Pajonal,PA030605,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Penonomé,PA030606,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Río Grande,PA030607,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Río Indio,PA030608,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Toabré,PA030609,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Tulu,PA030610,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Achiote,PA040101,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
El Guabo,PA040102,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
La Encantada,PA040103,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Nuevo Chagres,PA040104,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Palmas Bellas,PA040105,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Piña,PA040106,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Salud,PA040107,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Barrio Norte,PA040201,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Barrio Sur,PA040202,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Buena Vista,PA040203,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Cativá,PA040204,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Ciricito,PA040205,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Cristóbal,PA040206,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Escobal,PA040207,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Limón,PA040208,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Nueva Providencia,PA040209,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Puerto Pilón,PA040210,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Sabanitas,PA040211,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Salamanca,PA040212,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
San Juan,PA040213,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Santa Rosa,PA040214,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Coclé del Norte,PA040301,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
El Guásimo,PA040302,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Gobea,PA040303,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Miguel de la Borda,PA040304,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Río Indio,PA040305,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
San José del General,PA040306,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Cacique,PA040401,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Garrote,PA040402,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Isla Grande,PA040403,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
María Chiquita,PA040404,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Portobelo,PA040405,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Cuango,PA040501,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Miramar,PA040502,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Nombre de Dios,PA040503,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Palenque,PA040504,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Palmira,PA040505,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Playa Chiquita,PA040506,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Santa Isabel,PA040507,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Viento Frío,PA040508,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Agua Fría,PA050101,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Camogantí,PA050102,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Chepigana,PA050103,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Cucunatí,PA050104,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Garachiné,PA050105,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Jaqué,PA050106,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
La Palma,PA050107,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Puerto Piña,PA050108,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Río Congo Arriba,PA050109,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Río Congo,PA050110,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Río Iglesias,PA050111,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Sambú,PA050112,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Santa Fé,PA050113,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Setegantí,PA050114,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Taimatí,PA050115,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Tucutí,PA050116,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Boca de Cupé,PA050201,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
El Real de Santa María,PA050202,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Kuna de Wargandí,PA050203,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Metetí,PA050204,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Púcuro,PA050205,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Paya,PA050206,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Pinogana,PA050207,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Yape,PA050208,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Yaviza,PA050209,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Cirilo Guainora,PA060101,,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Lajas Blancas,PA060102,,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Manuel Ortega,PA060103,,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Jingurudó,PA060201,,,,Sambú,PA0602,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Río Sábalo,PA060202,,,,Sambú,PA0602,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Chitré,PA070101,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
La Arena,PA070102,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Llano Bonito,PA070103,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Monagrillo,PA070104,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
San Juan Bautista,PA070105,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Chepo,PA070201,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Chumical,PA070202,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
El Toro,PA070203,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Las Minas,PA070204,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Leones,PA070205,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Quebrada del Rosario,PA070206,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Capurí,PA070301,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
El Calabacito,PA070302,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
El Cedro,PA070303,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
La Arena,PA070304,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
La Pitalosa,PA070305,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Los Cerritos,PA070306,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Los Cerros de Paja,PA070307,,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
