#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Yalgo,BF490207,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Zéguédéguen,BF490208,Zeguedeguen,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Barsalogho,BF490301,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Boussouma,BF490302,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Dablo,BF490303,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Kaya,BF490304,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Korsimoro,BF490305,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Mané,BF490306,Mane,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Namissiguima,BF490307,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Pensa,BF490308,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Pibaoré,BF490309,Pibaore,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Pissila,BF490310,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Ziga,BF490311,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Bingo,BF500101,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Imasgho,BF500102,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Kindi,BF500103,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Kokologo,BF500104,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
