#adm3+name+i_en,#adm3+name+i_fr,#adm3+name+i_ht,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm3+name+alt1+i_ht,#adm3+name+alt2+i_ht,#adm2+name+i_en,#adm2+name+i_fr,#adm2+name+i_ht,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_fr,#adm1+name+i_ht,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fr,#country+name+i_ht,#country+code+v_iso2,#date+start,#date+updated,#date+end
1re Section des Varreux,1re Section des Varreux,,HT0117-02,,,,,,,,Cite Soleil,Cité Soleil,,HT0117,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Bellevue,3e Section Bellevue,,HT0118-03,,,,,,,,Tabarre,Tabarre,,HT0118,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Bellevue,4e Section Bellevue,,HT0118-04,,,,,,,,Tabarre,Tabarre,,HT0118,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Dessources,1re Section Dessources,,HT0121-01,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Petite Riviere,2e Section Petite Rivière,,HT0121-02,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Grande Rivere,3e Section Grande Rivère,,HT0121-03,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Fond de Boudin,4e Section Fond de Boudin,,HT0121-04,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Palmiste a Vin,5e Section Palmiste à Vin,,HT0121-05,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Orangers,6e Section Orangers,,HT0121-06,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section Parques,7e Section Parques,,HT0121-07,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
8e Section Beausejour,8e Section Beausejour,,HT0121-08,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
9e Section Citronniers,9e Section Citronniers,,HT0121-09,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
10e Section Fond d'Oie,10e Section Fond d'Oie,,HT0121-10,10e Section Fond dOie,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
11e Section Gros Morne,11e Section Gros Morne,,HT0121-11,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
12e Section Cormiers,12e Section Cormiers,,HT0121-12,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
13e Section Petit Harpon,13e Section Petit Harpon,,HT0121-13,,,,,,,,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Bino,1re Section Bino,,HT0122-01,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Delatre,2e Section Delatre,,HT0122-02,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Trou Chouchou,3e Section Trou Chouchou,,HT0122-03,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Fond Arabie,4e Section Fond Arabie,,HT0122-04,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Trou Canari,5e Section Trou Canari,,HT0122-05,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Trou Canari,6e Section Trou Canari,,HT0122-06,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section des Platons,7e Section des Platons,,HT0122-07,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
8e Section des Platons,8e Section des Platons,,HT0122-08,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
9e Section des Palmes,9e Section des Palmes,,HT0122-09,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
10e Section des Palmes,10e Section des Palmes,,HT0122-10,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
11e Section Ravine Seche,11e Section Ravine Sèche,,HT0122-11,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
12e Section des Fourques,12e Section des Fourques,,HT0122-12,,,,,,,,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Tete-a-Boeuf,1re Section Tête-à-Boeuf,,HT0123-01,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Tete-a-Boeuf,2e Section Tête-à-Boeuf,,HT0123-02,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Moussambe,3e Section Moussambe,,HT0123-03,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Moussambe,4e Section Moussambe,,HT0123-04,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Grande Colline,5e Section Grande Colline,,HT0123-05,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Grande Colline,6e Section Grande Colline,,HT0123-06,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section Gerard,7e Section Gerard,,HT0123-07,,,,,,,,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section des Varreux,1re Section des Varreux,,HT0131-01,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section des Varreux,2e Section des Varreux,,HT0131-02,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Petit Bois,3e Section Petit Bois,,HT0131-03,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Petit Bois,4e Section Petit Bois,,HT0131-04,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Petit Bois,5e Section Petit Bois,,HT0131-05,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Belle Fontaine,6e Section Belle Fontaine,,HT0131-06,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section Belle Fontaine,7e Section Belle Fontaine,,HT0131-07,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
8e Section Belle Fontaine,8e Section Belle Fontaine,,HT0131-08,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
9e Section des Crochus,9e Section des Crochus,,HT0131-09,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
10e Section des Orangers,10e Section des Orangers,,HT0131-10,,,,,,,,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Grande Plaine,1re Section Grande Plaine,,HT0132-01,,,,,,,,Thomazeau,Thomazeau,,HT0132,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Grande Plaine,2e Section Grande Plaine,,HT0132-02,,,,,,,,Thomazeau,Thomazeau,,HT0132,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Trou d'Eau,3e Section Trou d'Eau,,HT0132-03,3e Section Trou dEau,,,,,,,Thomazeau,Thomazeau,,HT0132,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section des Crochus,4e Section des Crochus,,HT0132-04,,,,,,,,Thomazeau,Thomazeau,,HT0132,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Galette Chambon,1re Section Galette Chambon,,HT0133-01,,,,,,,,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Balan,2e Section Balan,,HT0133-02,,,,,,,,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Fond Parisien,3e Section Fond Parisien,,HT0133-03,,,,,,,,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Pays Pourri,5e Section Pays Pourri,,HT0133-04,,,,,,,,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Mare Roseaux,4e Section Mare Roseaux,,HT0133-05,,,,,,,,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Plaine Celeste,"1re Section Plaine Céleste
1re  Section Plaine C",,HT0134-01,,,,,,,,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Plaine Celeste,2e Section Plaine Céleste,,HT0134-02,,,,,,,,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Boucan Bois Pin,3e Section Boucan Bois Pin,,HT0134-03,,,,,,,,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
"4e Section Boucan Bois Pin
4e  Section Boucan Bo*",4e Section Boucan Bois Pin,,HT0134-04,,,,,,,,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Génipailler,5e Section Génipailler,,HT0134-05,5e Section Genipailler,,,,,,,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Fonds-Verrettes,1re Section Fonds-Verrettes,,HT0135-01,,,,,,,,Fonds-Verrettes,Fonds-Verrettes,,HT0135,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Boucassin,1re Section Boucassin,,HT0141-01,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Fonds Baptiste,2e Section Fonds Baptiste,,HT0141-02,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section des Vases,3e Section des Vases,,HT0141-03,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Montrouis,4e Section Montrouis,,HT0141-04,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Delices,5e Section Delices,,HT0141-05,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Matheux,6e Section Matheux,,HT0141-06,,,,,,,,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Boucassin,1re Section Boucassin,,HT0142-01,,,,,,,,Cabaret,Cabaret,,HT0142,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Boucassin,2e Section Boucassin,,HT0142-02,,,,,,,,Cabaret,Cabaret,,HT0142,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Source Matelas,3e Section Source Matelas,,HT0142-03,,,,,,,,Cabaret,Cabaret,,HT0142,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Fonds des Blancs (Casale),4e Section Fonds des Blancs (Casale),,HT0142-04,,,,,,,,Cabaret,Cabaret,,HT0142,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Palma,1re Section Palma,,HT0151-01,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Petite Source,2e Section Petite Source,,HT0151-02,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Grande Source,3e Section Grande Source,,HT0151-03,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Grand Lagon,4e Section Grand Lagon,,HT0151-04,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Picmy,5e Section Picmy,,HT0151-05,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Petite Anse,6e Section Petite Anse,,HT0151-06,,,,,,,,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Gros Mangle,5e Section Gros Mangle,,HT0152-01,,,,,,,,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section la Source,1re Section la Source,,HT0152-02,,,,,,,,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Grand Vide,2e Section Grand Vide,,HT0152-03,,,,,,,,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Trou Louis,3e Section Trou Louis,,HT0152-04,,,,,,,,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section Pointe a Raquette,4e Section Pointe à Raquette,,HT0152-05,,,,,,,,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
1re Section Bas Cap Rouge,1re Section Bas Cap Rouge,,HT0211-01,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
2e Section Fond Melon (Selles),2e Section Fond Melon (Selles),,HT0211-02,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
3e Section Cochon Gras,3e Section Cochon Gras,,HT0211-03,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
4e Section La Gosseline,4e Section La Gosseline,,HT0211-04,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
5e Section Marbial,5e Section Marbial,,HT0211-05,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
6e Section Montagne La Voûte,6e Section Montagne La Voûte,,HT0211-06,6e Section Montagne La Voute,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
7e Section Grande Riviere de Jacmel,7e Section Grande Rivière de Jacmel,,HT0211-07,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
8e Section Bas Coq Chante,8e Section Bas Coq Chante,,HT0211-08,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
9e Section Haut Coq Chante,9e Section Haut Coq Chante,,HT0211-09,,,,,,,,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
