#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
San Isidro,NI1409,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
San Jorge,NI1707,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
San José de Cusmapa,NI1103,San Jose de Cusmapa,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
San José de los Remates,NI0303,San Jose de los Remates,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
San Juan de Limay,NI0705,,,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
San Juan de Oriente,NI1308,,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
San Juan del Norte,NI1604,,,,Río San Juan,NI16,Nicaragua,NI,2017-10-11,2020-08-13,
San Juan del Río Coco,NI1104,San Juan del Rio Coco,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
San Lorenzo,NI0304,,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
San Lucas,NI1105,,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
San Marcos,NI0407,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
San Miguelito,NI1605,,,,Río San Juan,NI16,Nicaragua,NI,2017-10-11,2020-08-13,
San Nicolás,NI0706,San Nicolas,,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
San Pedro de Lóvago,NI0605,San Pedro de Lovago,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
San Pedro del Norte,NI0510,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
San Rafael del Norte,NI0904,,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
San Rafael del Sur,NI1205,,,,Managua,NI12,Nicaragua,NI,2017-10-11,2020-08-13,
San Ramón,NI1410,San Ramon,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
San Sebastián de Yalí,NI0905,San Sebastian de Yali,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
Santa Lucía,NI0305,Santa Lucia,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
Santa María,NI1511,Santa Maria,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Santa María de Pantasma,NI0906,Santa Maria de Pantasma,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
Santa Rosa del Peñón,NI1009,Santa Rosa del Penon,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
Santo Domingo,NI0606,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Santo Tomás,NI0607,Santo Tomas,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Sébaco,NI1411,Sebaco,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Siuna,NI0105,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Somotillo,NI0511,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Somoto,NI1106,,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
Telica,NI1010,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
Telpaneca,NI1107,,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
Terrabona,NI1412,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Teustepe,NI0306,,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
Ticuantepe,NI1206,,,,Managua,NI12,Nicaragua,NI,2017-10-11,2020-08-13,
Tipitapa,NI1207,,,,Managua,NI12,Nicaragua,NI,2017-10-11,2020-08-13,
Tisma,NI1309,,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
Tola,NI1708,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Totogalpa,NI1108,,Totolgalpa,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
Tuma-La Dalia,NI1413,,La Dalia,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Villa Carlos Fonseca,NI1208,,Villa Carlos Fonseca A,,Managua,NI12,Nicaragua,NI,2017-10-11,2020-08-13,
Villa Sandino,NI0608,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Villanueva,NI0512,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Waslala,NI0106,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Waspán,NI0107,Waspan,Waspam,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Wiwilí,NI0907,Wiwili,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
Yalagüina,NI1109,Yalaguina,,,Madriz,NI11,Nicaragua,NI,2017-10-11,2020-08-13,
