#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Asunción,PY0000,,,,Asunción,PY00,Paraguay,PY,2017-10-11,2020-09-16,
Santa Rosa del Aguaray,PY0218,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Yrybucua,PY0219,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Liberación,PY0220,,,,San Pedro,PY02,Paraguay,PY,2017-10-11,2020-09-16,
Caacupé,PY0301,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Altos,PY0302,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Arroyos y Esteros,PY0303,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Atyrá,PY0304,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Caraguatay,PY0305,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Emboscada,PY0306,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Eusebio Ayala,PY0307,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Isla Pucú,PY0308,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Itacurubí de la Cordillera,PY0309,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Juan de Mena,PY0310,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Loma Grande,PY0311,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Mbocayaty del Yhaguy,PY0312,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Colombia,PY0313,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Piribebuy,PY0314,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Primero de Marzo,PY0315,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
San Bernardino,PY0316,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Santa Elena,PY0317,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Tobatí,PY0318,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Valenzuela,PY0319,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
San José Obrero,PY0320,,,,Cordillera,PY03,Paraguay,PY,2017-10-11,2020-09-16,
Villarrica,PY0401,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Borja,PY0402,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Capitán Mauricio José Troche,PY0403,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Coronel Martínez,PY0404,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Félix Pérez Cardozo,PY0405,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Gral. Eugenio A. Garay,PY0406,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Independencia,PY0407,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Itapé,PY0408,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Iturbe,PY0409,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
José Fassardi,PY0410,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Mbocayaty,PY0411,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Natalicio Talavera,PY0412,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Ñumí,PY0413,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
San Salvador,PY0414,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Yataity,PY0415,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Doctor Bottrell,PY0416,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Paso Yobai,PY0417,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Tebicuary,PY0418,,,,Guairá,PY04,Paraguay,PY,2017-10-11,2020-09-16,
Coronel Oviedo,PY0501,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Caaguazú,PY0502,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Carayaó,PY0503,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Dr. Cecilio Báez,PY0504,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Santa Rosa del Mbutuy,PY0505,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Dr. Juan Manuel Frutos,PY0506,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Repatriación,PY0507,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Londres,PY0508,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
San Joaquín,PY0509,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
San José de los Arroyos,PY0510,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Yhú,PY0511,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Dr. J. Eulogio Estigarribia,PY0512,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
R.I. 3 Corrales,PY0513,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Raúl Arsenio Oviedo,PY0514,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
José Domingo Ocampos,PY0515,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Mariscal Francisco Solano López,PY0516,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
La Pastora,PY0517,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
3 de Febrero,PY0518,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Simón Bolivar,PY0519,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Vaquería,PY0520,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Tembiaporá,PY0521,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Toledo,PY0522,,,,Caaguazú,PY05,Paraguay,PY,2017-10-11,2020-09-16,
Caazapá,PY0601,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Abaí,PY0602,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Buena Vista,PY0603,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Dr. Moisés S. Bertoni,PY0604,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Gral. Higinio Morinigo,PY0605,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Maciel,PY0606,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
San Juan Nepomuceno,PY0607,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Tavaí,PY0608,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Yegros,PY0609,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Yuty,PY0610,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
3 de Mayo,PY0611,,,,Caazapá,PY06,Paraguay,PY,2017-10-11,2020-09-16,
Encarnación,PY0701,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Bella Vista,PY0702,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Cambyretá,PY0703,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Capitán Meza,PY0704,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Capitán Miranda,PY0705,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Alborada,PY0706,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Carmen del Paraná,PY0707,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Coronel Bogado,PY0708,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Carlos Antonio López,PY0709,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Natalio,PY0710,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Fram,PY0711,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
General Artigas,PY0712,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
General Delgado,PY0713,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Hohenau,PY0714,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Jesús,PY0715,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
José Leandro Oviedo,PY0716,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Obligado,PY0717,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Mayor Julio Dionisio Otaño,PY0718,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
San Cosme y Damián,PY0719,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
San Pedro del Paraná,PY0720,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
San Rafael del Paraná,PY0721,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Trinidad,PY0722,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Edelira,PY0723,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Tomás Romero Pereira,PY0724,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Alto Verá,PY0725,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
La Paz,PY0726,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Yatytay,PY0727,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
San Juan del Paraná,PY0728,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Pirapó,PY0729,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
Itapúa Poty,PY0730,,,,Itapúa,PY07,Paraguay,PY,2017-10-11,2020-09-16,
San Juan Bautista de Las Misiones,PY0801,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Ayolas,PY0802,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
San Ignacio,PY0803,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
San Miguel,PY0804,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
San Patricio,PY0805,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Santa María,PY0806,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Santa Rosa,PY0807,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Santiago,PY0808,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Villa Florida,PY0809,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Yabebyry,PY0810,,,,Misiones,PY08,Paraguay,PY,2017-10-11,2020-09-16,
Paraguarí,PY0901,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Acahay,PY0902,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Caapucú,PY0903,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Caballero,PY0904,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Carapeguá,PY0905,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Escobar,PY0906,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
La Colmena,PY0907,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Mbuyapey,PY0908,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Pirayú,PY0909,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Quiindy,PY0910,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Quyquyhó,PY0911,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Roque González de Santa Cruz,PY0912,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Sapucái,PY0913,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Tebicuary-mí,PY0914,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Yaguarón,PY0915,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Ybycuí,PY0916,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Ybytymí,PY0917,,,,Paraguarí,PY09,Paraguay,PY,2017-10-11,2020-09-16,
Ciudad del Este,PY1001,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Presidente Franco,PY1002,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Domingo Martínez de Irala,PY1003,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Dr. Juan León Mallorquín,PY1004,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Hernandarias,PY1005,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Itakyry,PY1006,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Juan E. O'leary,PY1007,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Ñacunday,PY1008,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Yguazú,PY1009,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Los Cedrales,PY1010,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Minga Guazú,PY1011,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
San Cristóbal,PY1012,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Santa Rita,PY1013,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Naranjal,PY1014,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Santa Rosa del Monday,PY1015,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Minga Porá,PY1016,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Mbaracayú,PY1017,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
San Alberto,PY1018,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Iruña,PY1019,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Santa Fe del Paraná,PY1020,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Tavapy,PY1021,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Dr. Raúl Peña,PY1022,,,,Alto Paraná,PY10,Paraguay,PY,2017-10-11,2020-09-16,
Areguá,PY1101,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Capiatá,PY1102,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Fernando de la Mora,PY1103,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Guarambaré,PY1104,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Itá,PY1105,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Itauguá,PY1106,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Lambaré,PY1107,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Limpio,PY1108,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Luque,PY1109,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Mariano Roque Alonso,PY1110,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Italia,PY1111,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Ñemby,PY1112,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
San Antonio,PY1113,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
San Lorenzo,PY1114,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Villa Elisa,PY1115,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Villeta,PY1116,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Ypacaraí,PY1117,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Ypané,PY1118,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
J. Augusto Saldivar,PY1119,,,,Central,PY11,Paraguay,PY,2017-10-11,2020-09-16,
Pilar,PY1201,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Alberdi,PY1202,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Cerrito,PY1203,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Desmochados,PY1204,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Gral. José Eduvigis Díaz,PY1205,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Guazú-cuá,PY1206,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Humaitá,PY1207,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Isla Umbú,PY1208,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Laureles,PY1209,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Mayor José Dejesús Martínez,PY1210,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Paso de Patria,PY1211,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
San Juan Bautista de Ñeembucú,PY1212,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Tacuaras,PY1213,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Villa Franca,PY1214,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Villa Oliva,PY1215,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Villalbín,PY1216,,,,Ñeembucú,PY12,Paraguay,PY,2017-10-11,2020-09-16,
Pedro Juan Caballero,PY1301,,,,Amambay,PY13,Paraguay,PY,2017-10-11,2020-09-16,
Bella Vista,PY1302,,,,Amambay,PY13,Paraguay,PY,2017-10-11,2020-09-16,
Capitán Bado,PY1303,,,,Amambay,PY13,Paraguay,PY,2017-10-11,2020-09-16,
Zanja Pytã,PY1304,,,,Amambay,PY13,Paraguay,PY,2017-10-11,2020-09-16,
Karapaí,PY1305,,,,Amambay,PY13,Paraguay,PY,2017-10-11,2020-09-16,
Salto del Guairá,PY1401,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Corpus Christi,PY1402,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Villa Curuguaty,PY1403,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Villa Ygatimí,PY1404,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Itanará,PY1405,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Ypejhú,PY1406,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Francisco Caballero Alvarez,PY1407,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Katueté,PY1408,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
La Paloma del Espíritu Santo,PY1409,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Nueva Esperanza,PY1410,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Yasy Cañy,PY1411,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Ybyrarobaná,PY1412,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Yby Pytá,PY1413,,,,Canindeyú,PY14,Paraguay,PY,2017-10-11,2020-09-16,
Benjamín Aceval,PY1502,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Puerto Pinasco,PY1503,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Villa Hayes,PY1504,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Nanawa,PY1505,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
José Falcón,PY1506,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Tte. 1° Manuel Irala Fernández,PY1507,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Teniente Esteban Martínez,PY1508,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
General José María Bruguez,PY1509,,,,Presidente Hayes,PY15,Paraguay,PY,2017-10-11,2020-09-16,
Mariscal José Félix Estigarribia,PY1602,,,,Boquerón,PY16,Paraguay,PY,2017-10-11,2020-09-16,
Filadelfia,PY1604,,,,Boquerón,PY16,Paraguay,PY,2017-10-11,2020-09-16,
Loma Plata,PY1605,,,,Boquerón,PY16,Paraguay,PY,2017-10-11,2020-09-16,
Fuerte Olimpo,PY1701,,,,Alto Paraguay,PY17,Paraguay,PY,2017-10-11,2020-09-16,
Puerto Casado,PY1702,,,,Alto Paraguay,PY17,Paraguay,PY,2017-10-11,2020-09-16,
Bahía Negra,PY1704,,,,Alto Paraguay,PY17,Paraguay,PY,2017-10-11,2020-09-16,
Carmelo Peralta,PY1705,,,,Alto Paraguay,PY17,Paraguay,PY,2017-10-11,2020-09-16,
