#adm4+name+i_fr,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_fr,#adm4+name+alt2+i_fr,#adm3+name+i_fr,#adm3+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#adm2+name+i_fr,#adm2+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Sica II,CF711219,Sica II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sica III,CF711220,Sica III,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sica Saidou,CF711221,Sica Saidou,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yapele I,CF711222,Yapele I,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yapele II,CF711223,Yapele II,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yapele III,CF711224,Yapele III,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yapele IV,CF711225,Yapele IV,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Zebe,CF711226,Zebe,,,Arrondissement 2,CF7112,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Banga Sara II,CF711301,Banga Sara II,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bangasara I,CF711302,Bangasara I,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Boulata,CF711303,Boulata,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Camerounais DLA,CF711304_1,Camerounais DLA,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kokoro III,CF711304_2,Kokoro III,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Camerounais Nord,CF711305,Camerounais Nord,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Camerounais Yde,CF711306,Camerounais Yde,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Castors I,CF711307,Castors I,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Castors II,CF711308,Castors II,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Castors III,CF711309,Castors III,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Fatima,CF711310,Fatima,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Fatima II Magalé,CF711311,Fatima II Magale,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Fondo (Kalongo III),CF711312,Fondo (Kalongo III),,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Foulbé,CF711313,Foulbe,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbatoum,CF711314,Gbatoum,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbaya- Km5,CF711315,Gbaya- Km5,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbaya-Ndombia I,CF711316,Gbaya-Ndombia I,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbaya-Ndombia II,CF711317,Gbaya-Ndombia II,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbaya-Ndombia II,CF711317_1,Gbaya-Ndombia II,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Isongo,CF711318,Isongo,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kangala,CF711319,Kangala,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kokoro I,CF711320,Kokoro I,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kokoro II,CF711321,Kokoro II,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kokoro IV,CF711322,Kokoro IV,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kokoro V,CF711323,Kokoro V,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ouham-Guida,CF711324,Ouham-Guida,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Poto Poto Souma,CF711325,Poto Poto Souma,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ramandji,CF711326,Ramandji,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sanga Bibalé,CF711327,Sanga Bibale,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sara-Kaba,CF711328,Sara-Kaba,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sarah-Dah,CF711329,Sarah-Dah,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sénégalais,CF711330,Senegalais,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yakité,CF711331,Yakite,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yaloua,CF711332,Yaloua,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Yambassa,CF711333,Yambassa,,,Arrondissement 3,CF7113,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Jean XXIII I,CF711401,Cite Jean XXIII I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Jean XXIII II,CF711402,Cite Jean XXIII II,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Cité Jean XXIII III,CF711403,Cite Jean XXIII III,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Dédengué I,CF711404,Dedengue I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Dédengué II,CF711405,Dedengue II,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Dédengué III,CF711406,Dedengue III,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Dédengué IV,CF711407,Dedengue IV,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Dédengué V,CF711408,Dedengue V,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Déguendé VI,CF711409,Deguende VI,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo I,CF711410,Gombongo I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo IV,CF711411,Gombongo IV,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo V,CF711412,Gombongo V,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo VI,CF711413,Gombongo VI,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo VII,CF711414,Gombongo VII,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gombongo Wananga,CF711415,Gombongo Wananga,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kagamangoulou,CF711416,Kagamangoulou,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kaimba,CF711417,Kaimba,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lando I,CF711418,Lando I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lando II,CF711419,Lando II,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lipia I,CF711420,Lipia I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lipia IV,CF711421,Lipia IV,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngoumboutou,CF711422,Ngoumboutou,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Nguito III,CF711423,Nguito III,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Nguitto,CF711424,Nguitto,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ouham I,CF711425,Ouham I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ouham Pende,CF711426,Ouham Pende,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sangba,CF711427,Sangba,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Votongbo I,CF711428,Votongbo I,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Votongbo II,CF711429,Votongbo II,,,Arrondissement 4,CF7114,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ambassana,CF711501,Ambassana,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Banga I,CF711502,Banga I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Banga II,CF711503,Banga II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bangui Mpoko I,CF711504,Bangui Mpoko I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bangui Mpoko II,CF711505,Bangui Mpoko II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Basse Kotto,CF711506,Basse Kotto,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bataillon I,CF711507,Bataillon I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bazanga,CF711508,Bazanga,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Benz-vi Centre,CF711509,Benz-vi Centre,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Benz-vi I,CF711510,Benz-vi I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Benz-vi II,CF711511,Benz-vi II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bondagbi,CF711512,Bondagbi,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Braza,CF711513,Braza,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Edville,CF711514,Edville,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kaya,CF711515,Kaya,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kolongo I,CF711516,Kolongo I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kolongo II,CF711517,Kolongo II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Malimaka,CF711518,Malimaka,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Mustapha,CF711519,Mustapha,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngouciment,CF711520,Ngouciment,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngouciment I,CF711521,Ngouciment I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngouciment II,CF711522,Ngouciment II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngouciment III,CF711523,Ngouciment III,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sara Blague,CF711524,Sara Blague,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sénégalais Baidi,CF711525,Senegalais Baidi,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Vara,CF711526,Vara,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Walingba I,CF711527,Walingba I,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Walingba II,CF711528,Walingba II,,,Arrondissement 5,CF7115,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
92 Logements,CF711601,92 Logements,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Bogbaya,CF711602,Bogbaya,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbanikola II,CF711603,Gbanikola II,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé I,CF711605,Kpetene I,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé II,CF711606,Kpetene II,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé III,CF711607,Kpetene III,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé IV,CF711608,Kpetene IV,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé Saint Jacques,CF711609,Kpetene Saint Jacques,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Kpéténé V,CF711610,Kpetene V,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Linguissa I,CF711611,Linguissa I,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Linguissa II,CF711612,Linguissa II,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Mandja Otto,CF711613,Mandja Otto,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Mbossoro,CF711614,Mbossoro,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Modoua,CF711615,Modoua,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Mokalp,CF711616,Mokalp,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Pétévo,CF711617,Petevo,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sandoubé,CF711618,Sandoube,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sapéké I,CF711619,Sapeke I,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Sapéké III,CF711620,Sapeke III,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Zoubé,CF711621,Zoube,,,Arrondissement 6,CF7116,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Camp Kassat,CF711701,Camp Kassat,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbangouma I,CF711703,Gbangouma I,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Gbangouma IV,CF711704,Gbangouma IV,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ndress I,CF711705,Ndress I,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngougbe,CF711706,Ngougbe,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Saint Paul,CF711707,Saint Paul,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
