admin4Name_en,admin4Pcode,admin4RefName_en,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Gboo,SL01011105,Gboo,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jonga,SL01011106,Jonga,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kargbu,SL01011107,Kargbu,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Keimaya,SL01011108,Keimaya,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Nyawa,SL01011109,Lower Nyawa,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sei I,SL01011110,Sei I,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sei II,SL01011111,Sei II,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Nyawa,SL01011112,Upper Nyawa,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bulima,SL01011201,Bulima,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jagor,SL01011202,Jagor,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kumatandu,SL01011203,Kumatandu,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lombama,SL01011204,Lombama,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nimima,SL01011205,Nimima,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bambara,SL01011301,Bambara,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bomaru-guma,SL01011302,Bomaru-guma,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Goleiwoma,SL01011303,Goleiwoma,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Golu,SL01011304,Golu,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Korbu,SL01011305,Korbu,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Naiahun,SL01011306,Naiahun,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bendu,SL01011401,Bendu,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kuiva Buima,SL01011402,Kuiva Buima,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kuiva Jagor,SL01011403,Kuiva Jagor,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kuivawa,SL01011404,Kuivawa,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dakowa,SL01020101,Dakowa,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Danyadejo,SL01020102,Danyadejo,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dassama,SL01020103,Dassama,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fowai,SL01020104,Fowai,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Klajie,SL01020105,Klajie,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Dabor,SL01020106,Lower Dabor,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Dabor,SL01020107,Upper Dabor,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bambara,SL01020201,Bambara,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bonya,SL01020202,Bonya,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bundoryama,SL01020203,Bundoryama,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gorama,SL01020204,Gorama,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Karteh,SL01020205,Karteh,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Korgay,SL01020206,Korgay,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Seiwor,SL01020207,Seiwor,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Giebu,SL01020301,Giebu,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Joru,SL01020302,Joru,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kokoru,SL01020303,Kokoru,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mendekelema,SL01020304,Mendekelema,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sandaru,SL01020305,Sandaru,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sembehun,SL01020306,Sembehun,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Biatong,SL01020401,Biatong,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Famanjo,SL01020402,Famanjo,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kaklawa,SL01020403,Kaklawa,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kualley,SL01020404,Kualley,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Borley,SL01020501,Borley,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gboro-Lokoma,SL01020502,Gboro-Lokoma,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Karga,SL01020503,Karga,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sonnie,SL01020504,Sonnie,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Joi,SL01020601,Joi,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Koya Gbundohun,SL01020602,Koya Gbundohun,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Menima,SL01020603,Menima,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Serabu,SL01020604,Serabu,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Koya,SL01020605,Upper Koya,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Korjei,SL01020701,Korjei,,,Langrama,SL010207,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njeiwoma,SL01020702,Njeiwoma,,,Langrama,SL010207,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bonya,SL01020801,Bonya,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fallay,SL01020802,Fallay,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gboro,SL01020803,Gboro,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Korjei Buima,SL01020804,Korjei Buima,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Korjei Ngieya,SL01020805,Korjei Ngieya,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nyawa,SL01020806,Nyawa,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sei,SL01020807,Sei,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Hulorhun Njagbudor,SL01020901,Hulorhun Njagbudor,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Hulorhun Njeigor,SL01020902,Hulorhun Njeigor,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Konjo Buiima,SL01020903,Konjo Buiima,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Konjo Njeigor,SL01020904,Konjo Njeigor,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Konjo Yematanga,SL01020905,Konjo Yematanga,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Torgboma,SL01020906,Lower Torgboma,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Torgboma,SL01020907,Upper Torgboma,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bandawor,SL01021001,Bandawor,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpatawa,SL01021002,Kpatawa,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mabondor,SL01021003,Mabondor,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Niawa,SL01021004,Niawa,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Vaama,SL01021005,Vaama,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Faama,SL01021101,Faama,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Ngiebu,SL01021102,Ngiebu,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Ngiewoma-Njeigor,SL01021103,Ngiewoma-Njeigor,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dagbanya,SL01021201,Dagbanya,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dakpana,SL01021202,Dakpana,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama B,SL01021203,Gbo Kakajama B,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama B,SL01021204,Gbo Lambayama B,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagbado Kamboima,SL01021205,Kagbado Kamboima,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagbado Njeigbla,SL01021206,Kagbado Njeigbla,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kona Foiya,SL01021207,Kona Foiya,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kona Kpindibu,SL01021208,Kona Kpindibu,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bundoryama,SL01021301,Bundoryama,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fallay,SL01021302,Fallay,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fonde,SL01021303,Fonde,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yalenga,SL01021304,Yalenga,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fallay,SL01021401,Fallay,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gorama,SL01021402,Gorama,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamboma,SL01021403,Kamboma,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Niawa,SL01021404,Niawa,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sowa,SL01021405,Sowa,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Daru,SL01021501,Daru,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gegbwema,SL01021502,Gegbwema,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Giewoma,SL01021503,Giewoma,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gorahun,SL01021504,Gorahun,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jewahun,SL01021505,Jewahun,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kuawuma,SL01021506,Kuawuma,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Taninahun,SL01021507,Taninahun,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Boryongor,SL01021601,Boryongor,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbogbeima,SL01021602,Gbogbeima,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kemoh,SL01021603,Kemoh,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Niawa,SL01021604,Niawa,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Songhai,SL01021605,Songhai,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tongorwa,SL01021606,Tongorwa,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Airfield,SL01029101,Airfield,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Bur,SL01029102,Gbo Kakajama A-Bur,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Lum,SL01029103,Gbo Kakajama A-Lum,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Le,SL01029104,Gbo Lambayama A-Le,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Re,SL01029105,Gbo Lambayama A-Re,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Tec,SL01029106,Gbo Kakajama A-Tec,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
