#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Androvakely,MG11107290,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibary Vohilena,MG11107310,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimirary,MG11107330,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Marotsipoy,MG11107350,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Beronono,MG11107370,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andramasina,MG11115010,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Sabotsy Ambohitromby,MG11115031,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohariana,MG11115032,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandrosoa,MG11115050,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alatsinainy Bakaro,MG11115071,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antotohazo,MG11115072,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimiadana,MG11115091,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tankafatra,MG11115092,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alarobia Vatosola,MG11115110,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fitsinjovana Bakaro,MG11115130,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Sabotsy Manjakavahoaka,MG11115150,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Trimoloharano,MG11115170,,,,Andramasina,MG11115,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampitatafika,MG11117011,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosizato Andrefana,MG11117012,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andranonahoatra,MG11117030,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohidrapeto,MG11117050,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Bemasoandro,MG11117070,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiombonana,MG11117090,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Itaosy,MG11117110,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambavahaditokana,MG11117130,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tanjombato,MG11117150,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andoharanofotsy,MG11117170,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankaraobato,MG11117190,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soalandy,MG11117210,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antanetikely,MG11117230,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alatsinainy Ambazaha,MG11117250,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampanefy,MG11117270,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankadimanga,MG11117290,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fenoarivo,MG11117311,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy Fenoarivo,MG11117312,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soavina,MG11117330,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohijanaka,MG11117350,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampahitrosy,MG11117370,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Bongatsara,MG11117390,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Androhibe,MG11117410,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsiafahy,MG11117430,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavao,MG11117450,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatofahavalo,MG11117470,,,,Antananarivo Atsimondrano,MG11117,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antsenakely Andraikiba,MG12108001,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ampatana Mandriankeniheny,MG12108002,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Soamalaza Mahatsinjo,MG12108003,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsirabe Afovoany Atsinanana,MG12108004,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Manodidina Ny Gara Ambilombe,MG12108005,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mahazoarivo Avarabohitra,MG12108006,,,,Antsirabe I,MG12108,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Betafo,MG12109010,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andranomafana,MG12109030,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mandritsara,MG12109050,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy Anativato,MG12109070,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsoso,MG12109090,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Tritriva,MG12109110,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Soavina,MG12109130,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Manohisoa,MG12109150,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatonikolahy,MG12109170,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antohobe,MG12109190,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mahaiza,MG12109211,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Anosiarivo Manapa,MG12109212,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy Marososona,MG12109230,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimanambola,MG12109250,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimasina,MG12109270,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Inanantonana,MG12109290,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Alarobia Bemaha,MG12109390,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andrembesoa,MG12109490,,,,Betafo,MG12109,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolampy,MG12110010,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Morarano,MG12110030,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipihaonana,MG12110050,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Manjakatompo,MG12110070,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatondrakalavao,MG12110090,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andriambilany,MG12110110,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Belambo Firaisana,MG12110130,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andravola Vohipeno,MG12110150,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Tsiafajavona Ankaratra,MG12110170,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambodifarihy Fenomanana,MG12110190,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Sabotsy Namatoana,MG12110210,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antanimasaka,MG12110230,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Behenjy,MG12110250,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsampandrano,MG12110270,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antanamalaza,MG12110291,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antakasina,MG12110292,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Tsinjoarivo,MG12110310,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andranovelona,MG12110330,,,,Ambatolampy,MG12110,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
