#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mafaijijo,MG44421030,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Andabotoka,MG44421050,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Betanatanana,MG44421070,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Andrea,MG44421090,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Ankisatra,MG44421110,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Marohazo,MG44421130,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Antsondrodava,MG44421150,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Belitsaky,MG44421170,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Tambohorano,MG44421191,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Veromanga,MG44421192,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Maromavo,MG44421193,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Andranovao,MG44421194,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Antsaidoha Bebao,MG44421210,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Berevo/ranobe,MG44421231,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Bebaboky Sud,MG44421232,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Bemokotra Sud,MG44421233,,,,Maintirano,MG44421,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Morafenobe,MG44422010,,,,Morafenobe,MG44422,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Andramy,MG44422030,,,,Morafenobe,MG44422,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Beravina,MG44422050,,,,Morafenobe,MG44422,Melaky,MG44,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao I,MG51501001,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao II Tsf Nord,MG51501002,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mahavatse I,MG51501003,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mahavatse II,MG51501004,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Betania,MG51501005,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Besakoa,MG51501006,,,,Toliary-I,MG51501,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beroroha,MG51503011,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Bemavo,MG51503012,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Fanjakana,MG51503030,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Behisatsy,MG51503050,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Marerano,MG51503070,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mandronarivo,MG51503091,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tanamary,MG51503092,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Sakena,MG51503093,,,,Beroroha,MG51503,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Cu Morombe,MG51504010,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Befandefa,MG51504030,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambahikily,MG51504050,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antongo Vaovao,MG51504070,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Nosy Ambositra,MG51504090,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Befandriana Sud,MG51504110,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antanimieva,MG51504130,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Basibasy,MG51504150,,,,Morombe,MG51504,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankazoabo Sud,MG51505011,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Fotivolo,MG51505012,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tandrano,MG51505030,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andranomafana,MG51505050,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Berenty,MG51505071,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ilemby,MG51505072,,,,Ankazoabo,MG51505,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Betioky Atsimo,MG51506011,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Sakamasay,MG51506012,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambatry Mitsinjo,MG51506013,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankazomanga Ouest,MG51506014,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Maroarivo Ankazomanga,MG51506015,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beantake,MG51506030,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Masiaboay,MG51506050,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antohabato,MG51506070,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tameantsoa,MG51506090,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tongobory,MG51506111,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Besely,MG51506112,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Vatolatsaka,MG51506113,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankazombalala,MG51506130,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Bezaha,MG51506150,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Manalobe,MG51506170,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andranomangatsiaka,MG51506191,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankilivalo,MG51506192,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Soamanonga,MG51506210,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Fenoandala,MG51506230,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Soaserana,MG51506251,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Marosavoa,MG51506252,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Salobe,MG51506270,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao Haut,MG51506290,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Belamoty,MG51506311,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antsavoa,MG51506312,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Montifeno,MG51506313,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Lazarivo,MG51506330,,,,Betioky Atsimo,MG51506,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ampanihy Ouest,MG51507010,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankiliabo,MG51507030,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Amborompotsy,MG51507050,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankilizato,MG51507070,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Maniry,MG51507090,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antaly,MG51507110,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankilimivory,MG51507130,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ejeda,MG51507150,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Belafike Haut,MG51507170,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beahitse,MG51507190,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Gogogogo,MG51507210,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Androka,MG51507230,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Vohitany,MG51507250,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beroy Atsimo,MG51507270,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Fotadrevo,MG51507290,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Itampolo,MG51507310,,,,Ampanihy Ouest,MG51507,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Sakaraha,MG51512011,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Miary Taheza,MG51512012,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Miary Lamatihy,MG51512030,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mahaboboka,MG51512050,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Amboronabo,MG51512070,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Bereketa,MG51512090,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andamasiny Vineta,MG51512111,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mihavatsy,MG51512112,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andranolava,MG51512130,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambinany,MG51512150,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mikoboka,MG51512171,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mitsinjo,MG51512172,,,,Sakaraha,MG51512,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Mitsinjo Betanimena,MG51520010,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Belalanda,MG51520030,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Betsinjaka,MG51520050,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Miary Ambohibola,MG51520071,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Behompy,MG51520072,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Maromiandra,MG51520090,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimahavelona,MG51520111,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andranohinaly,MG51520112,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Saint Augustin,MG51520131,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Anakao,MG51520132,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Soalara Sud,MG51520133,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambolofoty,MG51520150,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankilimalinike,MG51520170,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Antanimena Onilahy,MG51520191,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Manorofify,MG51520192,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Marofoty,MG51520210,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Tsianisiha,MG51520230,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Manombo Sud,MG51520250,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Andranovory,MG51520270,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Milenaka,MG51520290,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ankililoaka,MG51520310,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Analamisampy,MG51520330,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beheloka,MG51520358,,,,Toliary-II,MG51520,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Benenitra,MG51521010,,,,Benenitra,MG51521,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ianapera,MG51521031,,,,Benenitra,MG51521,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavato,MG51521032,,,,Benenitra,MG51521,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Ehara,MG51521050,,,,Benenitra,MG51521,Atsimo Andrefana,MG51,Madagascar,MG,2010-12-31,2020-02-20,
Beloha,MG52513010,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tranovaho,MG52513030,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Kopoky,MG52513050,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Marolinta,MG52513070,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tranoroa,MG52513091,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Behabobo,MG52513092,,,,Beloha,MG52513,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tsihombe,MG52514011,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Nikoly,MG52514012,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Betanty (Faux Cap),MG52514031,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Anjampaly,MG52514032,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Marovato,MG52514050,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Antaritarika,MG52514071,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Imongy,MG52514072,,,,Tsihombe,MG52514,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambovombe,MG52516011,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tsimananada,MG52516012,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Erada,MG52516013,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Anjeky Ankilikira,MG52516014,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambanisarika,MG52516031,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Analamary,MG52516032,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimalaza,MG52516033,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambonaivo,MG52516050,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Maroalomainty,MG52516071,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Maroalopoty,MG52516072,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambondro,MG52516091,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambazoa,MG52516092,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Sihanamaro,MG52516111,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Marovato Befeno,MG52516112,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Antanimora Atsimo,MG52516130,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Andalatanosy,MG52516151,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ampamata,MG52516152,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Jafaro,MG52516170,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Imanombo,MG52516190,,,,Ambovombe-Androy,MG52516,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Morafeno Bekily,MG52518010,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ankaranabo Nord,MG52518031,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Besakoa,MG52518032,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Anja Nord,MG52518050,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Antsakoamaro,MG52518070,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambatosola,MG52518091,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tsirandrany,MG52518092,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tsikolaky,MG52518110,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Manakompy,MG52518130,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Ambahita,MG52518151,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Maroviro,MG52518152,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Belindo Mahasoa,MG52518170,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Beteza,MG52518190,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Tanandava,MG52518210,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Bekitro,MG52518230,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Beraketa,MG52518251,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Vohimanga,MG52518252,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Bevitiky,MG52518270,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Anivorano Mitsinjo,MG52518290,,,,Bekily,MG52518,Androy,MG52,Madagascar,MG,2010-12-31,2020-02-20,
Fort-Dauphin,MG53515010,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ampasy Nahampoana,MG53515031,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Mandromondromotra,MG53515032,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Soanierana,MG53515033,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ifarantsa,MG53515051,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Isaka-Ivondro,MG53515052,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Mandiso,MG53515053,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Manambaro,MG53515071,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Sarisambo,MG53515072,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ankaramena,MG53515090,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ranopiso,MG53515111,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoabo,MG53515112,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ankariera,MG53515113,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Analapatsy,MG53515114,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Andranobory,MG53515115,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Mahatalaky,MG53515131,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Iaboakoho,MG53515132,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Enaniliha,MG53515151,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Fenoevo-Efita,MG53515152,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Enakara-Haut,MG53515170,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ranomafana,MG53515191,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Emagnobo,MG53515192,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Bevoay,MG53515210,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimena,MG53515230,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Manantenina,MG53515251,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Analamary,MG53515252,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Soavary,MG53515253,,,,Taolagnaro,MG53515,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Betroka,MG53517010,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Tsaraitso,MG53517030,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Naninora,MG53517050,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ambalasoa,MG53517070,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Ivahona,MG53517090,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
Analamary,MG53517110,,,,Betroka,MG53517,Anosy,MG53,Madagascar,MG,2010-12-31,2020-02-20,
