#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Dera Bugti,PK705,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Gwadar,PK706,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Harnai,PK707,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Jaffarabad,PK708,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Jhal Magsi,PK709,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Kalat,PK710,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Kachhi,PK711,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Kech,PK712,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Kharan,PK713,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Khuzdar,PK714,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Killa Abdullah,PK715,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Killa Saifullah,PK716,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Kohlu,PK717,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Las Bela,PK718,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Loralai,PK719,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Mastung,PK720,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Musakhel,PK721,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Nasirabad,PK722,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Nushki,PK723,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Panjgur,PK724,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Pishin,PK725,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Quetta,PK726,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Sheerani,PK727,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Sibi,PK728,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Washuk,PK729,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Zhob,PK730,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Ziarat,PK731,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Lehri,PK732,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Sohbatpur,PK733,,,,Balochistan,PK7,Pakistan,PK,2018-11-30,2018-12-18,
Badin,PK801,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Dadu,PK802,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Ghotki,PK803,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Hyderabad,PK804,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Jacobabad,PK805,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Jamshoro,PK806,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Karachi City,PK807,,Karachi,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Kashmore,PK808,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Khairpur,PK809,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Larkana,PK810,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Matiari,PK811,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Mirpur Khas,PK812,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Naushahro Feroze,PK813,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Sanghar,PK814,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Qambar Shahdadkot,PK815,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Shaheed Benazirabad,PK816,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Shikarpur,PK817,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Sukkur,PK818,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Tando Allah Yar,PK819,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Tando Muhammad Khan,PK820,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Tharparkar,PK821,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Thatta,PK822,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Umerkot,PK823,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
Sujawal,PK824,,,,Sindh,PK8,Pakistan,PK,2018-11-30,2018-12-18,
