#adm4+name+i_en,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_en,#adm4+name+alt2+i_en,#adm3+name+i_en,#adm3+code+v_pcode,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Andranomanalina Afovoany,MG11101001017,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andranomanalina I,MG11101001018,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andranomanalina Isotry,MG11101001019,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankasina,MG11101001020,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antetezanafovoany I,MG11101001021,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antetezanafovoany II,MG11101001022,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antohomadinika Afovoany,MG11101001023,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antohomadinika Atsimo,MG11101001024,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antohomadinika Avaratra Antani,MG11101001025,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antohomadinika Antsalovana Faa,MG11101001026,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antohomadinika IIig Hangar,MG11101001027,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Avaratetezana Bekiraro,MG11101001028,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Cite Ambodin'isotry,MG11101001029,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Cite Ampefiloha,MG11101001030,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
67ha Afovoany Andrefana,MG11101001031,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
67ha Atsimo,MG11101001032,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
67ha Avaratra Andrefana,MG11101001033,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
67ha Avaratra Atsinanana,MG11101001034,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Lalamby Sy Ny Manodidina,MG11101001035,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Faravohitra Ambony,MG11101001036,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Faravohitra Mandrosoa,MG11101001037,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Isoraka Ampatsakana,MG11101001038,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiata,MG11101001039,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manarintsoa Afovoany,MG11101001040,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manarintsoa Anatihazo,MG11101001041,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manarintsoa Atsinanana,MG11101001042,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manarintsoa Isotry,MG11101001043,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soarano Ambondrona Tsiazotafo,MG11101001044,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Faliarivo Ambanidia,MG11101002001,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antanimora Ampasanimalo,MG11101002002,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antsahabe Ankorahotra Ankazoto,MG11101002003,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitsiroa Vn,MG11101002004,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankazotokana Ambony,MG11101002005,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsiadana,MG11101002006,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Volosarika Ambanidia,MG11101002007,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andafiavaratra Ambavahadimitaf,MG11101002008,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manjakamiadana Antsahondra AMB,MG11101002009,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoroka,MG11101002010,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Miandrarivo Ambanidia,MG11101002011,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambolokandrina 5a,MG11101002012,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohan'i Mandroseza Ambohibat,MG11101002013,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipo Tanana Ampahateza And,MG11101002014,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipotsy Ambohimitsimbina A,MG11101002015,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andohamandry,MG11101002016,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manakambahiny Ankerakely Ambat,MG11101002017,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimiandra Fenomanana Antsa,MG11101002018,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandroseza Afovoany Mandroseza,MG11101002019,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahazoarivo Ambohidraserika,MG11101002020,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Morarano Andrangaranga Ambatol,MG11101002021,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitsoa Ankazolava Antanamb,MG11101002022,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Androndrabe Ampamantanana Ambo,MG11101002023,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Androndrakely Saropody Antonta,MG11101002024,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antaninandro Ampandrana,MG11101003001,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankorondrano Andranomahery,MG11101003002,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankorondrano Atsinanana,MG11101003003,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankorondrano Andrefana,MG11101003004,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankazomanga Andraharo,MG11101003005,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambodivona Ankadifotsy,MG11101003006,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsaramasay,MG11101003007,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankadifotsy Befelatanana,MG11101003008,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibary Antanimena,MG11101003009,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andravoahangy Tsena,MG11101003010,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandialaza Ambodivona,MG11101003011,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soavinandriana,MG11101003012,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandialaza Ankadifotsy,MG11101003013,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antanimena,MG11101003014,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankadifotsy Antanifotsy,MG11101003015,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankaditapaka Avaratra,MG11101003016,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandialaza Ambatomitsangana,MG11101003017,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andravoahangy Andrefana,MG11101003018,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahavoky,MG11101003019,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andravoahangy Atsinanana,MG11101003020,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Behoririka Ambatomitsangana,MG11101003021,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Avaradoha,MG11101003022,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomitsangana,MG11101003023,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Behoririka Ankaditapaka,MG11101003024,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Betongolo,MG11101003025,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampandrana Besarety,MG11101003026,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Besarety,MG11101003027,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Behoririka,MG11101003028,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampandrana Andrefana,MG11101003029,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrakely,MG11101003030,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampandrana Atsinanana,MG11101003031,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankadivato IIl,MG11101003032,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampahibe,MG11101003033,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Antsakaviro Ambodirotra,MG11101003034,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andrefan'ambohijanahary IIIG-I,MG11101004001,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambodirano Ampefiloha,MG11101004002,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ilanivato Ampasika,MG11101004003,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ampangabe Anjanakinifolo,MG11101004004,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosipatrana Andrefana,MG11101004005,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosipatrana Atsinanana,MG11101004006,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ivolaniray,MG11101004007,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andavamamba Ambilanibe,MG11101004008,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Andrefana II,MG11101004009,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Andrefana I,MG11101004010,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andrefan'ambohijanahary IIIH-I,MG11101004011,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mahamasina Atsimo,MG11101004012,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsimialonjafy,MG11101004013,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambanin'ampamarinana,MG11101004014,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankadilalana,MG11101004015,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Tsarafaritra,MG11101004016,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiadanana IIil,MG11101004017,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Fiadanana IIin,MG11101004018,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mananjara,MG11101004019,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andrefan'i Mananjara,MG11101004020,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Ambohibarikely,MG11101004021,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandrangobato I,MG11101004022,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Mandrangobato II,MG11101004023,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosizato Atsinanana II,MG11101004024,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anosizato Atsinanana I,MG11101004025,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Angarangarana,MG11101004026,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Madera Namontana,MG11101004027,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soanierana III-I Cite Gare,MG11101004028,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soanierana IIIJ,MG11101004029,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankaditoho Marohoho,MG11101004030,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Andrefan'ankadimbahoaka,MG11101004031,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankazotoho Anosimahavelona,MG11101004032,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomainty,MG11101005001,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Soavimasoandro,MG11101005002,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Androhibe,MG11101005003,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Morarano,MG11101005004,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Alarobia Amboniloha,MG11101005005,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ivandry,MG11101005006,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambodivoanjo Ambohijatovo Fara,MG11101005007,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Analamahitsy Cite,MG11101005008,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Analamahitsy Tanana,MG11101005009,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatobe,MG11101005010,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Amboditsiry,MG11101005011,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manjakaray IIc,MG11101005012,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manjakaray IIb,MG11101005013,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Manjakaray IId,MG11101005014,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjanahary IIs,MG11101005015,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjanahary IIo,MG11101005016,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjanahary IIa,MG11101005017,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Anjanahary IIn,MG11101005018,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Nanisana Iadiambola,MG11101005019,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ankerana Ankadindramamy,MG11101005020,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambohidahy,MG11101005021,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
Ambatokaranana,MG11101005022,,,,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
