admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bayannuur,Баяннуур,MN6307,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayannuur,Баяннуур,MN8310,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayantal,Баянтал,MN4204,,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayantes,Баянтэс,MN8110,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayantu'men,Баянтүмэн,MN2107,Bayantumen,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanxairxan,Баянхайрхан,MN8113,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanxangai,Баянхангай,MN4128,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanxongor,Баянхонгор,MN6401,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanxutag,Баянхутаг,MN2319,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanzu'rx,Баянзүрх,MN1110,Bayanzurx,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayanzu'rx,Баянзүрх,MN6710,Bayanzurx,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Biger,Бигэр,MN8210,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Binder,Биндэр,MN2322,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bo'mbogor,Бөмбөгөр,MN6428,Bombogor,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bo'xmoron,Бөхмөрөн,MN8507,Boxmoron,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bogd,Богд,MN6216,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bogd,Богд,MN6425,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bor-Ondor,Бор-Өндөр,MN2352,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bornuur,Борнуур,MN4140,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bu'rd,Бүрд,MN6219,Burd,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bu'regxangai,Бүрэгхангай,MN6313,Buregxangai,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bu'ren,Бүрэн,MN4143,Buren,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bu'rentogtox,Бүрэнтогтох,MN6713,Burentogtox,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bugat,Бугат,MN6310,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bugat,Бугат,MN8213,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
