#adm2+name+i_en,#adm2+name+i_fa,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_fa,#adm2+name+alt2+i_fa,#adm1+name+i_en,#adm1+name+i_fa,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fa,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bahar,شهرستان بهار,IR009002,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Famenin,شهرستان فامنین,IR009003,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Hamadan,شهرستان همدان,IR009004,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Kabudarahang,شهرستان کبودرآهنگ,IR009005,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Malayer,شهرستان ملایر,IR009006,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Nahavand,شهرستان نهاوند,IR009007,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Razan,شهرستان رزن,IR009008,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Tuyserkan,شهرستان تویسرکان,IR009009,,,,,,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Abumusa,شهرستان ابوموسی,IR010001,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bandar-Abbas,شهرستان بندرعباس,IR010002,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bandar-Lengeh,شهرستان بندر لنگه,IR010003,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bashagard,شهرستان بشاگرد,IR010004,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Bastak,شهرستان بستک,IR010005,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Hajiabad,شهرستان حاجی‌آباد,IR010006,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Jask,شهرستان جاسک,IR010007,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Khamir,شهرستان خمیر,IR010008,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Minab,شهرستان میناب,IR010009,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Parsian,شهرستان پارسیان,IR010010,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Qeshm,شهرستان قشم,IR010011,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Rudan,شهرستان رودان,IR010012,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Sirik,شهرستان سیریک,IR010013,,,,,,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Abdanan,شهرستان آبدانان,IR011001,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Badre,شهرستان بدره,IR011002,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Shirvan-o-Chardavol,شهرستان چرداول,IR011003,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Darreh Shahr,شهرستان دره‌شهر,IR011004,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Dehloran,شهرستان دهلران,IR011005,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Eyvan,شهرستان ایوان,IR011006,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Ilam,شهرستان ایلام,IR011007,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Malekshahi,شهرستان ملکشاهی,IR011008,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Mehran,شهرستان مهران,IR011009,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Sirvan,شهرستان سیروان,IR011010,,,,,,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Aran-o-Bidgol,شهرستان آران وبیدگل,IR012001,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Ardestan,شهرستان اردستان,IR012002,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
Borkhar,شهرستان برخوار,IR012003,,,,,,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-04-09,2019-05-14,
