#adm2+name+i_en,#adm2+name+i_my,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_my,#adm2+name+alt2+i_my,#adm1+name+i_en,#adm1+name+i_my,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_my,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mindat,မင်းတပ်ခရိုင်,MM004D002,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hakha,ဟားခါးခရိုင်,MM004D003,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Matupi,မတူပီခရိုင်,MM004D004,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Shwebo,ရွှေဘိုခရိုင်,MM005D002,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Monywa,မုံရွာခရိုင်,MM005D003,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Katha,ကသာခရိုင်,MM005D004,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kale,ကလေးခရိုင်,MM005D005,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tamu,တမူးခရိုင်,MM005D006,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mawlaik,မော်လိုက်ခရိုင်,MM005D007,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hkamti,ခန္တီးခရိုင်,MM005D008,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kawlin,ကောလင်းခရိုင်,MM005D011,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Dawei,ထားဝယ်ခရိုင်,MM006D001,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myeik,မြိတ်ခရိုင်,MM006D002,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kawthoung,ကော့သောင်းခရိုင်,MM006D003,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Bago,ပဲခူးခရိုင်,MM007D001,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Taungoo,တောင်ငူခရိုင်,MM007D002,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pyay,ပြည်ခရိုင်,MM008D001,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thayarwady,သာယာဝတီခရိုင်,MM008D002,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Magway,မကွေးခရိုင်,MM009D001,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Minbu,မင်းဘူးခရိုင်,MM009D002,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thayet,သရက်ခရိုင်,MM009D003,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pakokku,ပခုက္ကူခရိုင်,MM009D004,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Gangaw,ဂန့်ဂေါခရိုင်,MM009D005,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mandalay,မန္တလေးခရိုင်,MM010D001,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myingyan,မြင်းခြံခရိုင်,MM010D004,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Nyaung-U,ညောင်ဦးခရိုင်,MM010D005,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yamethin,ရမည်းသင်းခရိုင်,MM010D006,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Meiktila,မိတ္ထီလာခရိုင်,MM010D007,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mawlamyine,မော်လမြိုင်ခရိုင်,MM011D001,,,,,,Mon,မွန်ပြည်နယ်,MM011,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thaton,သထုံခရိုင်,MM011D002,,,,,,Mon,မွန်ပြည်နယ်,MM011,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Sittwe,စစ်တွေခရိုင်,MM012D001,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Maungdaw,မောင်တောခရိုင်,MM012D002,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kyaukpyu,ကျောက်ဖြူခရိုင်,MM012D003,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thandwe,သံတွဲခရိုင်,MM012D004,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mrauk-U,မြောက်ဦးခရိုင်,MM012D005,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yangon (North),ရန်ကုန်(မြောက်ပိုင်း),MM013D001,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yangon (East),ရန်ကုန်(အရှေ့ပိုင်း),MM013D002,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yangon (South),ရန်ကုန်(တောင်ပိုင်း),MM013D003,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yangon (West),ရန်ကုန်(အနောက်ပိုင်း),MM013D004,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Taunggyi,တောင်ကြီးခရိုင်,MM014D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Loilen,လွိုင်လင်ခရိုင်,MM014D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Langkho,လင်းခေးခရိုင်,MM014D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Danu Self-Administered Zone,ဓနု ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM014S001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pa-O Self-Administered Zone,ပအိုဝ်း ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM014S002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Lashio,လားရှိုးခရိုင်,MM015D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Muse,မူဆယ်ခရိုင်,MM015D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kyaukme,ကျောက်မဲခရိုင်,MM015D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hopang,ဟိုပန်ခရိုင်,MM015D006,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Matman,မက်မန်းခရိုင်,MM015D007,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mongmit,မိုးမိတ်ခရိုင်,MM015D008,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pa Laung Self-Administered Zone,ပလောင် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM015S001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kokang Self-Administered Zone,ကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM015S002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kengtung,ကျိုင်းတုံခရိုင်,MM016D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Monghsat,မိုင်းဆတ်ခရိုင်,MM016D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tachileik,တာချီလိတ်ခရိုင်,MM016D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pathein,ပုသိမ်ခရိုင်,MM017D001,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hinthada,ဟင်္သာတခရိုင်,MM017D002,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myaungmya,မြောင်းမြခရိုင်,MM017D003,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Labutta,လပွတ္တာခရိုင်,MM017D004,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Maubin,မအူပင်ခရိုင်,MM017D005,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Pyapon,ဖျာပုံခရိုင်,MM017D006,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Oke Ta Ra,ဥတ္တရခရိုင်,MM018D001,,,,,,Nay Pyi Taw,နေပြည်တော်,MM018,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Det Khi Na,ဒက္ခိဏခရိုင်,MM018D002,,,,,,Nay Pyi Taw,နေပြည်တော်,MM018,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
