#adm2+name+i_en,#adm2+name+i_sq,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_sq,#adm2+name+alt2+i_sq,#adm1+name+i_en,#adm1+name+i_sq,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_sq,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bashkia Elbasan,Bashkia Elbasan,AL0403,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Gramsh,Bashkia Gramsh,AL0404,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Librazhd,Bashkia Librazhd,AL0405,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Peqin,Bashkia Peqin,AL0406,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Prrenjas,Bashkia Prrenjas,AL0407,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Divjake,Bashkia Divjakë,AL0501,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Fier,Bashkia Fier,AL0502,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Lushnje,Bashkia Lushnjës,AL0503,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Patos,Bashkia Patos,AL0505,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Roskovec,Bashkia Roskovec,AL0506,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Dropull,Bashkia Dropull,AL0601,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Libohove,Bashkia Libohovë,AL0604,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Memaliaj,Bashkia Memaliaj,AL0605,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Permet,Bashkia Përmet,AL0606,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Tepelene,Bashkia Tepelenë,AL0607,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Devoll,Bashkia Devollit,AL0701,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kolonje,Bashkia Kolonjës,AL0702,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Korce,Bashkia Korçë,AL0703,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Maliq,Bashkia Maliq,AL0704,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Pogradec,Bashkia Pogradec,AL0705,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Pustec,Bashkia Pustec,AL0706,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Krume,Bashkia Krumë,AL0801,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kukes,Bashkia Kukës,AL0802,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Tropoje,Bashkia Topojë,AL0803,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kurbin,Bashkia Kurbinit,AL0901,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Lezhe,Bashkia Lezhë,AL0902,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Mirdite,Bashkia Mirditës,AL0903,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Puke,Bashkia Pukë,AL1003,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Shkoder,Bashkia Shkodër,AL1004,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kamez,Bashkia Kavajë,AL1101,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Kavaje,Bashkia Kavajë,AL1102,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Vore,Bashkia Vorë,AL1104,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Tirana Municipally,Tiranë Municipally,AL1105,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Delvine,Bashkia Delvinë,AL1201,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Finiq,Bashkia Finiq,AL1202,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Himare,Bashkia Himarë,AL1203,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Konispol,Bashkia Konispol,AL1204,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Sarande,Bashkia Sarandë,AL1205,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Selenice,Bashkia Selenicë,AL1206,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bashkia Vlore,Bashkia Vlorë,AL1207,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
