#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:222:2:206,206,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:206,Sensuntepeque,SV0206,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:207,207,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:207,Tejutepeque,SV0207,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:208,208,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:208,Victoria,SV0208,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:209,209,1603:45:16:222:0,1603:45:16:222:1:2,1603:45:16:222:2:209,Dolores,SV0209,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:301,301,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:301,Agua Caliente,SV0301,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:302,302,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:302,Arcatao,SV0302,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:303,303,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:303,Azacualpa,SV0303,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:304,304,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:304,Citalá,SV0304,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:305,305,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:305,Comalapa,SV0305,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:306,306,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:306,Concepción Quezaltepeque,SV0306,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:307,307,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:307,Chalatenango,SV0307,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:308,308,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:308,Dulce Nombre de María,SV0308,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:309,309,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:309,El Carrizal,SV0309,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:310,310,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:310,El Paraíso,SV0310,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:311,311,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:311,La Laguna,SV0311,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:312,312,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:312,La Palma,SV0312,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:313,313,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:313,La Reina,SV0313,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:314,314,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:314,Las Vueltas,SV0314,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:315,315,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:315,Nombre de Jesús,SV0315,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:316,316,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:316,Nueva Concepción,SV0316,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:317,317,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:317,Nueva Trinidad,SV0317,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:318,318,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:318,Ojos de Agua,SV0318,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:319,319,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:319,Potonico,SV0319,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:320,320,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:320,San Antonio de la Cruz,SV0320,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:321,321,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:321,San Antonio Los Ranchos,SV0321,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:322,322,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:322,San Fernando,SV0322,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:323,323,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:323,San Francisco Lempa,SV0323,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:324,324,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:324,San Francisco Morazán,SV0324,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:325,325,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:325,San Ignacio,SV0325,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:326,326,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:326,San Isidro Labrador,SV0326,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:327,327,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:327,San José Cancasque,SV0327,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:328,328,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:328,San José Las Flores,SV0328,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:329,329,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:329,San Luis del Carmen,SV0329,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:330,330,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:330,San Miguel de Mercedes,SV0330,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:331,331,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:331,San Rafael,SV0331,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:332,332,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:332,Santa Rita,SV0332,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:333,333,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:333,Tejutla,SV0333,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:399,399,1603:45:16:222:0,1603:45:16:222:1:3,1603:45:16:222:2:399,Embalse Cerron Grande,SV0399,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:401,401,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:401,Candelaria,SV0401,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:402,402,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:402,Cojutepeque,SV0402,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:403,403,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:403,El Carmen,SV0403,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:404,404,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:404,El Rosario,SV0404,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:405,405,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:405,Monte San Juan,SV0405,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:406,406,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:406,Oratorio de Concepción,SV0406,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:407,407,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:407,San Bartolomé Perulapía,SV0407,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:408,408,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:408,San Cristóbal,SV0408,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:409,409,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:409,San José Guayabal,SV0409,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:410,410,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:410,San Pedro Perulapán,SV0410,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:411,411,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:411,San Rafael Cedros,SV0411,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:412,412,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:412,San Ramón,SV0412,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:413,413,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:413,Santa Cruz Analquito,SV0413,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:414,414,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:414,Santa Cruz Michapa,SV0414,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:415,415,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:415,Suchitoto,SV0415,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:416,416,1603:45:16:222:0,1603:45:16:222:1:4,1603:45:16:222:2:416,Tenancingo,SV0416,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:501,501,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:501,Antiguo Cuscatlán,SV0501,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:502,502,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:502,Chiltiupán,SV0502,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:503,503,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:503,Ciudad Arce,SV0503,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:504,504,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:504,Colón,SV0504,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:505,505,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:505,Comasagua,SV0505,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:506,506,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:506,Huizúcar,SV0506,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:507,507,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:507,Jayaque,SV0507,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:508,508,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:508,Jicalapa,SV0508,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:509,509,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:509,La Libertad,SV0509,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:510,510,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:510,Nueva San Salvador,SV0510,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:511,511,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:511,Nuevo Cuscatlán,SV0511,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:512,512,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:512,Opico,SV0512,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:513,513,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:513,Quezaltepeque,SV0513,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:514,514,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:514,Sacacoyo,SV0514,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:515,515,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:515,San José Villanueva,SV0515,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:516,516,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:516,San Matías,SV0516,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:517,517,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:517,San Pablo Tacachico,SV0517,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:518,518,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:518,Talnique,SV0518,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:519,519,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:519,Tamanique,SV0519,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:520,520,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:520,Teotepeque,SV0520,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:521,521,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:521,Tepecoyo,SV0521,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:522,522,1603:45:16:222:0,1603:45:16:222:1:5,1603:45:16:222:2:522,Zaragoza,SV0522,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:601,601,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:601,Cuyultitán,SV0601,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:602,602,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:602,El Rosario,SV0602,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:603,603,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:603,Jerusalén,SV0603,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:604,604,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:604,Mercedes La Ceiba,SV0604,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:605,605,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:605,Olocuilta,SV0605,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:606,606,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:606,Paraíso de Osorio,SV0606,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:607,607,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:607,San Antonio Masahuat,SV0607,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:608,608,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:608,San Emigdio,SV0608,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:609,609,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:609,San Francisco Chinameca,SV0609,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:610,610,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:610,San Juan Nonualco,SV0610,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:611,611,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:611,San Juan Talpa,SV0611,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:612,612,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:612,San Juan Tepezontes,SV0612,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:613,613,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:613,San Luis La Herradura,SV0613,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:614,614,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:614,San Luis Talpa,SV0614,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:615,615,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:615,San Miguel Tepezontes,SV0615,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:616,616,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:616,San Pedro Masahuat,SV0616,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:617,617,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:617,San Pedro Nonualco,SV0617,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:618,618,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:618,San Rafael Obrajuelo,SV0618,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:619,619,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:619,Santa María Ostuma,SV0619,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:620,620,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:620,Santiago Nonualco,SV0620,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:621,621,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:621,Tapalhuaca,SV0621,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:622,622,1603:45:16:222:0,1603:45:16:222:1:6,1603:45:16:222:2:622,Zacatecoluca,SV0622,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:701,701,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:701,Anamorós,SV0701,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:702,702,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:702,Bolívar,SV0702,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:703,703,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:703,Concepción de Oriente,SV0703,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:704,704,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:704,Conchagua,SV0704,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:705,705,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:705,El Carmen,SV0705,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:706,706,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:706,El Sauce,SV0706,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:707,707,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:707,Intipucá,SV0707,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:2:708,708,1603:45:16:222:0,1603:45:16:222:1:7,1603:45:16:222:2:708,La Unión,SV0708,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
