qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:566:1:12,12,1603:45:16:566:0,1603:45:16:566:1:12,Edo,NG012,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:13,13,1603:45:16:566:0,1603:45:16:566:1:13,Ekiti,NG013,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:14,14,1603:45:16:566:0,1603:45:16:566:1:14,Enugu,NG014,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:15,15,1603:45:16:566:0,1603:45:16:566:1:15,Federal Capital Territory,NG015,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:16,16,1603:45:16:566:0,1603:45:16:566:1:16,Gombe,NG016,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:17,17,1603:45:16:566:0,1603:45:16:566:1:17,Imo,NG017,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:18,18,1603:45:16:566:0,1603:45:16:566:1:18,Jigawa,NG018,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:19,19,1603:45:16:566:0,1603:45:16:566:1:19,Kaduna,NG019,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:20,20,1603:45:16:566:0,1603:45:16:566:1:20,Kano,NG020,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:21,21,1603:45:16:566:0,1603:45:16:566:1:21,Katsina,NG021,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:22,22,1603:45:16:566:0,1603:45:16:566:1:22,Kebbi,NG022,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:23,23,1603:45:16:566:0,1603:45:16:566:1:23,Kogi,NG023,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:24,24,1603:45:16:566:0,1603:45:16:566:1:24,Kwara,NG024,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:25,25,1603:45:16:566:0,1603:45:16:566:1:25,Lagos,NG025,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:26,26,1603:45:16:566:0,1603:45:16:566:1:26,Nasarawa,NG026,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:27,27,1603:45:16:566:0,1603:45:16:566:1:27,Niger,NG027,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:28,28,1603:45:16:566:0,1603:45:16:566:1:28,Ogun,NG028,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:29,29,1603:45:16:566:0,1603:45:16:566:1:29,Ondo,NG029,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:30,30,1603:45:16:566:0,1603:45:16:566:1:30,Osun,NG030,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:31,31,1603:45:16:566:0,1603:45:16:566:1:31,Oyo,NG031,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:32,32,1603:45:16:566:0,1603:45:16:566:1:32,Plateau,NG032,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:33,33,1603:45:16:566:0,1603:45:16:566:1:33,Rivers,NG033,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:34,34,1603:45:16:566:0,1603:45:16:566:1:34,Sokoto,NG034,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:35,35,1603:45:16:566:0,1603:45:16:566:1:35,Taraba,NG035,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:36,36,1603:45:16:566:0,1603:45:16:566:1:36,Yobe,NG036,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:1:37,37,1603:45:16:566:0,1603:45:16:566:1:37,Zamfara,NG037,Nigeria,NG,2017-02-23,2020-04-22,
