#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_swa+is_latn,#adm2+name+alt2+i_swa+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:834:2:204,204,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:204,Karatu,,TZ0204,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:205,205,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:205,Ngorongoro,,TZ0205,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:206,206,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:206,Arusha,,TZ0206,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:207,207,1603:45:16:834:0,1603:45:16:834:1:2,1603:45:16:834:2:207,Longido,,TZ0207,,,,,,Arusha,,TZ02,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:301,301,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:301,Rombo,,TZ0301,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:302,302,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:302,Mwanga,,TZ0302,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:303,303,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:303,Same,,TZ0303,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:304,304,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:304,Moshi,,TZ0304,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:305,305,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:305,Hai,,TZ0305,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:306,306,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:306,Moshi Urban,,TZ0306,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:307,307,1603:45:16:834:0,1603:45:16:834:1:3,1603:45:16:834:2:307,Siha,,TZ0307,,,,,,Kilimanjaro,,TZ03,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:401,401,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:401,Lushoto,,TZ0401,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:402,402,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:402,Korogwe,,TZ0402,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:403,403,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:403,Muheza,,TZ0403,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:404,404,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:404,Tanga Urban,,TZ0404,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:405,405,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:405,Pangani,,TZ0405,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:406,406,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:406,Handeni,,TZ0406,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:407,407,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:407,Kilindi,,TZ0407,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:408,408,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:408,Mkinga,,TZ0408,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:409,409,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:409,Korogwe Township Authority,,TZ0409,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:410,410,1603:45:16:834:0,1603:45:16:834:1:4,1603:45:16:834:2:410,Handeni Mji,,TZ0410,,,,,,Tanga,,TZ04,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:501,501,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:501,Kilosa,,TZ0501,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:502,502,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:502,Morogoro,,TZ0502,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:503,503,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:503,Kilombero,,TZ0503,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:504,504,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:504,Ulanga,,TZ0504,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:505,505,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:505,Morogoro Urban,,TZ0505,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:506,506,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:506,Mvomero,,TZ0506,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:507,507,1603:45:16:834:0,1603:45:16:834:1:5,1603:45:16:834:2:507,Gairo,,TZ0507,,,,,,Morogoro,,TZ05,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:601,601,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:601,Bagamoyo,,TZ0601,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:602,602,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:602,Kibaha,,TZ0602,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:603,603,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:603,Kisarawe,,TZ0603,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:604,604,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:604,Mkuranga,,TZ0604,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:605,605,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:605,Rufiji,,TZ0605,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:606,606,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:606,Mafia,,TZ0606,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:607,607,1603:45:16:834:0,1603:45:16:834:1:6,1603:45:16:834:2:607,Kibaha Urban,,TZ0607,,,,,,Pwani,,TZ06,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:701,701,1603:45:16:834:0,1603:45:16:834:1:7,1603:45:16:834:2:701,Kinondoni,,TZ0701,,,,,,Dar-es-salaam,,TZ07,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:702,702,1603:45:16:834:0,1603:45:16:834:1:7,1603:45:16:834:2:702,Ilala,,TZ0702,,,,,,Dar-es-salaam,,TZ07,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:703,703,1603:45:16:834:0,1603:45:16:834:1:7,1603:45:16:834:2:703,Temeke,,TZ0703,,,,,,Dar-es-salaam,,TZ07,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:801,801,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:801,Kilwa,,TZ0801,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:802,802,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:802,Lindi,,TZ0802,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:803,803,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:803,Nachingwea,,TZ0803,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:804,804,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:804,Liwale,,TZ0804,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:805,805,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:805,Ruangwa,,TZ0805,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:806,806,1603:45:16:834:0,1603:45:16:834:1:8,1603:45:16:834:2:806,Lindi Urban,,TZ0806,,,,,,Lindi,,TZ08,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:901,901,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:901,Mtwara,,TZ0901,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:902,902,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:902,Newala,,TZ0902,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:903,903,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:903,Masasi,,TZ0903,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:904,904,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:904,Tandahimba,,TZ0904,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:905,905,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:905,Mtwara Urban,,TZ0905,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:906,906,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:906,Nanyumbu,,TZ0906,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:907,907,1603:45:16:834:0,1603:45:16:834:1:9,1603:45:16:834:2:907,Masasi Township Authority,,TZ0907,,,,,,Mtwara,,TZ09,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1001,1001,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1001,Tunduru,,TZ1001,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1002,1002,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1002,Songea,,TZ1002,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1003,1003,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1003,Mbinga,,TZ1003,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1004,1004,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1004,Songea Urban,,TZ1004,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1005,1005,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1005,Namtumbo,,TZ1005,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1006,1006,1603:45:16:834:0,1603:45:16:834:1:10,1603:45:16:834:2:1006,Nyasa,,TZ1006,,,,,,Ruvuma,,TZ10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1101,1101,1603:45:16:834:0,1603:45:16:834:1:11,1603:45:16:834:2:1101,Iringa,,TZ1101,,,,,,Iringa,,TZ11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1102,1102,1603:45:16:834:0,1603:45:16:834:1:11,1603:45:16:834:2:1102,Mufindi,,TZ1102,,,,,,Iringa,,TZ11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1103,1103,1603:45:16:834:0,1603:45:16:834:1:11,1603:45:16:834:2:1103,Iringa Urban,,TZ1103,,,,,,Iringa,,TZ11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1104,1104,1603:45:16:834:0,1603:45:16:834:1:11,1603:45:16:834:2:1104,Kilolo,,TZ1104,,,,,,Iringa,,TZ11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1105,1105,1603:45:16:834:0,1603:45:16:834:1:11,1603:45:16:834:2:1105,Mafinga Township Authority,,TZ1105,,,,,,Iringa,,TZ11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1201,1201,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1201,Chunya,,TZ1201,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1202,1202,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1202,Mbeya,,TZ1202,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1203,1203,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1203,Kyela,,TZ1203,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1204,1204,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1204,Rungwe,,TZ1204,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1207,1207,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1207,Mbarali,,TZ1207,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1208,1208,1603:45:16:834:0,1603:45:16:834:1:12,1603:45:16:834:2:1208,Mbeya Urban,,TZ1208,,,,,,Mbeya,,TZ12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1301,1301,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1301,Iramba,,TZ1301,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1302,1302,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1302,Singida,,TZ1302,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1303,1303,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1303,Manyoni,,TZ1303,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1304,1304,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1304,Singida Urban,,TZ1304,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1305,1305,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1305,Ikungi,,TZ1305,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1306,1306,1603:45:16:834:0,1603:45:16:834:1:13,1603:45:16:834:2:1306,Mkalama,,TZ1306,,,,,,Singida,,TZ13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1401,1401,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1401,Nzega,,TZ1401,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1402,1402,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1402,Igunga,,TZ1402,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1403,1403,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1403,Uyui,,TZ1403,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1404,1404,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1404,Urambo,,TZ1404,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1405,1405,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1405,Sikonge,,TZ1405,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1406,1406,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1406,Tabora Urban,,TZ1406,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1407,1407,1603:45:16:834:0,1603:45:16:834:1:14,1603:45:16:834:2:1407,Kaliua,,TZ1407,,,,,,Tabora,,TZ14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1501,1501,1603:45:16:834:0,1603:45:16:834:1:15,1603:45:16:834:2:1501,Kalambo,,TZ1501,,,,,,Rukwa,,TZ15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1502,1502,1603:45:16:834:0,1603:45:16:834:1:15,1603:45:16:834:2:1502,Sumbawanga,,TZ1502,,,,,,Rukwa,,TZ15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1503,1503,1603:45:16:834:0,1603:45:16:834:1:15,1603:45:16:834:2:1503,Nkasi,,TZ1503,,,,,,Rukwa,,TZ15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1504,1504,1603:45:16:834:0,1603:45:16:834:1:15,1603:45:16:834:2:1504,Sumbawanga Urban,,TZ1504,,,,,,Rukwa,,TZ15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1601,1601,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1601,Kibondo,,TZ1601,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1602,1602,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1602,Kasulu,,TZ1602,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1603,1603,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1603,Kigoma,,TZ1603,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1604,1604,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1604,Kigoma Urban,,TZ1604,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
