qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,sqi-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,sqi-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,sqi-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,sqi-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:8:3:10407,10407,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10407,Qender,Qendër,AL010407,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10408,10408,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10408,Vendreshe,Vendreshë,AL010408,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10409,10409,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,1603:45:16:8:3:10409,Zhepe,Zhepë,AL010409,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10501,10501,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:105,1603:45:16:8:3:10501,Cukalat,Cukalat,AL010501,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10502,10502,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:105,1603:45:16:8:3:10502,Kutalli,Kutalli,AL010502,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10503,10503,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:105,1603:45:16:8:3:10503,Poshnje,Poshnjë,AL010503,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:10504,10504,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:105,1603:45:16:8:3:10504,Ura Vajgurore,Ura Vajgurorë,AL010504,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20101,20101,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20101,Bulqize,Bulqizë,AL020101,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20102,20102,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20102,Fushe Bulqize,Fushë Bulqizë,AL020102,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20103,20103,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20103,Gjorice,Gjoricë,AL020103,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20104,20104,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20104,Martanesh,Martanesh,AL020104,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20105,20105,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20105,Ostren,Ostren,AL020105,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20106,20106,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20106,Shupenze,Shupenzë,AL020106,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20107,20107,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20107,Trebisht,Trebisht,AL020107,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20108,20108,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,1603:45:16:8:3:20108,Zerqan,Zerqan,AL020108,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20201,20201,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20201,Arras,Arras,AL020201,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20202,20202,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20202,Fushe Cidhen,Fushë Çidhen,AL020202,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20203,20203,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20203,Kala e Dodes,Kala e Dodës,AL020203,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20204,20204,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20204,Kastriot,Kastriot,AL020204,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20205,20205,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20205,Lure,Lurë,AL020205,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20206,20206,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20206,Luzni,Luzni,AL020206,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20207,20207,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20207,Maqellare,Maqellarë,AL020207,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20208,20208,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20208,Melan,Melan,AL020208,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20209,20209,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20209,Muhurr,Muhurr,AL020209,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20210,20210,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20210,Peshkopi,Peshkopi,AL020210,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20211,20211,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20211,Qender Tomin,Qendër Tomin,AL020211,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20212,20212,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20212,Selishte,Selishtë,AL020212,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20213,20213,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20213,Sllove,Sllovë,AL020213,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20214,20214,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20214,Zall Dardhe,Zall Dardhë,AL020214,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20215,20215,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,1603:45:16:8:3:20215,Zall Rec,Zall Reç,AL020215,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20301,20301,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:203,1603:45:16:8:3:20301,Gurre,Gurrë,AL020301,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20302,20302,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:203,1603:45:16:8:3:20302,Klos,Klos,AL020302,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20303,20303,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:203,1603:45:16:8:3:20303,Suc,Suç,AL020303,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20304,20304,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:203,1603:45:16:8:3:20304,Xiber,Xibër,AL020304,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20401,20401,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20401,Baz,Baz,AL020401,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20402,20402,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20402,Burrel,Burrel,AL020402,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20403,20403,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20403,Derjan,Derjan,AL020403,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20404,20404,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20404,Komsi,Komsi,AL020404,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20405,20405,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20405,Lis,Lis,AL020405,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20406,20406,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20406,Macukull,Macukull,AL020406,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20407,20407,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20407,Rukaj,Rukaj,AL020407,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:20408,20408,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,1603:45:16:8:3:20408,Ulez,Ulëz,AL020408,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30101,30101,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30101,Durres,Durrës,AL030101,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30102,30102,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30102,Ishem,Ishëm,AL030102,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30103,30103,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30103,Katund i Ri,Katund i Ri,AL030103,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30104,30104,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30104,Manez,Manëz,AL030104,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30105,30105,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30105,Rrashbull,Rrashbull,AL030105,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30106,30106,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,1603:45:16:8:3:30106,Sukth,Sukth,AL030106,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30201,30201,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30201,Bubq,Bubq,AL030201,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30202,30202,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30202,Cudhi,Cudhi,AL030202,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30203,30203,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30203,Fushe Kruje,Fushë Krujë,AL030203,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30204,30204,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30204,Koder Thumane,Kodër Thumanë,AL030204,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30205,30205,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30205,Kruje,Krujë,AL030205,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30206,30206,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,1603:45:16:8:3:30206,Nikel,Nikël,AL030206,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30301,30301,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:303,1603:45:16:8:3:30301,Gjepalaj,Gjepalaj,AL030301,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30302,30302,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:303,1603:45:16:8:3:30302,Maminas,Maminas,AL030302,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30303,30303,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:303,1603:45:16:8:3:30303,Shijak,Shijak,AL030303,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:30304,30304,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:303,1603:45:16:8:3:30304,Xhafzotaj,Xhafzotaj,AL030304,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40101,40101,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,1603:45:16:8:3:40101,Belsh,Belsh,AL040101,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40102,40102,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,1603:45:16:8:3:40102,Fierz,Fierz,AL040102,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40103,40103,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,1603:45:16:8:3:40103,Grekan,Grekan,AL040103,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40104,40104,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,1603:45:16:8:3:40104,Kajan,Kajan,AL040104,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40105,40105,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,1603:45:16:8:3:40105,Rrase,Rrasë,AL040105,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40201,40201,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,1603:45:16:8:3:40201,Cerrik,Cërrik,AL040201,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40202,40202,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,1603:45:16:8:3:40202,Gostime,Gostimë,AL040202,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40203,40203,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,1603:45:16:8:3:40203,Klos,Klos,AL040203,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
