#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:704:2:10713,10713,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10713,Gia Loc,Huyện Gia Lộc,VN10713,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10715,10715,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10715,Tu Ky,Huyện Tứ Kỳ,VN10715,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10717,10717,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10717,Cam Giang,Huyện Cẩm Giàng,VN10717,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10719,10719,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10719,Binh Giang,Huyện Bình Giang,VN10719,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10721,10721,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10721,Thanh Mien,Huyện Thanh Miện,VN10721,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10723,10723,1603:45:16:704:0,1603:45:16:704:1:107,1603:45:16:704:2:10723,Ninh Giang,Huyện Ninh Giang,VN10723,,,,,,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10901,10901,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10901,Hung Yen,TP. Hưng Yên,VN10901,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10902,10902,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10902,Van Lam,Huyện Văn Lâm,VN10902,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10903,10903,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10903,My Hao,Huyện Mỹ Hào,VN10903,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10904,10904,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10904,Yen My,Huyện Yên Mỹ,VN10904,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10905,10905,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10905,Van Giang,Huyện Văn Giang,VN10905,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10906,10906,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10906,Khoai Chau,Huyện Khoái Châu,VN10906,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10907,10907,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10907,An Thi,Huyện Ân Thi,VN10907,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10909,10909,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10909,Kim Dong,Huyện Kim Động,VN10909,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10911,10911,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10911,Phu Cu,Huyện Phù Cừ,VN10911,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:10913,10913,1603:45:16:704:0,1603:45:16:704:1:109,1603:45:16:704:2:10913,Tien Lu,Huyện Tiên Lữ,VN10913,,,,,,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11101,11101,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11101,Phu Ly,TP. Phủ Lý,VN11101,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11103,11103,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11103,Duy Tien,Huyện Duy Tiên,VN11103,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11105,11105,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11105,Kim Bang,Huyện Kim Bảng,VN11105,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11107,11107,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11107,Ly Nhan,Huyện Lý Nhân,VN11107,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11109,11109,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11109,Thanh Liem,Huyện Thanh Liêm,VN11109,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
