#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt0,#meta+ERROR+adm4+code+v_pcode,#meta+ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#meta+ERROR+adm3+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:710:4:1012006,1012006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1012,1603:45:16:710:4:1012006,006,ZA1012006,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013001,1013001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013001,001,ZA1013001,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013002,1013002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013002,002,ZA1013002,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013003,1013003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013003,003,ZA1013003,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013004,1013004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013004,004,ZA1013004,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013005,1013005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013005,005,ZA1013005,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013006,1013006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013006,006,ZA1013006,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1013007,1013007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1013,1603:45:16:710:4:1013007,007,ZA1013007,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014001,1014001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014001,001,ZA1014001,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014002,1014002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014002,002,ZA1014002,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014003,1014003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014003,003,ZA1014003,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014004,1014004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014004,004,ZA1014004,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014005,1014005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014005,005,ZA1014005,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014006,1014006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014006,006,ZA1014006,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014007,1014007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014007,007,ZA1014007,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014008,1014008,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014008,008,ZA1014008,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014009,1014009,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014009,009,ZA1014009,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014010,1014010,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014010,010,ZA1014010,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014011,1014011,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014011,011,ZA1014011,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014012,1014012,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014012,012,ZA1014012,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014013,1014013,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014013,013,ZA1014013,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1014014,1014014,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1014,1603:45:16:710:4:1014014,014,ZA1014014,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015001,1015001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015001,001,ZA1015001,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015002,1015002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015002,002,ZA1015002,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015003,1015003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015003,003,ZA1015003,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015004,1015004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015004,004,ZA1015004,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015005,1015005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015005,005,ZA1015005,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015006,1015006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015006,006,ZA1015006,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015007,1015007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015007,007,ZA1015007,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015008,1015008,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015008,008,ZA1015008,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015009,1015009,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015009,009,ZA1015009,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015010,1015010,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015010,010,ZA1015010,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015011,1015011,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015011,011,ZA1015011,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1015012,1015012,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,1603:45:16:710:3:1015,1603:45:16:710:4:1015012,012,ZA1015012,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022001,1022001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022001,001,ZA1022001,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022002,1022002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022002,002,ZA1022002,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022003,1022003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022003,003,ZA1022003,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022004,1022004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022004,004,ZA1022004,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022005,1022005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022005,005,ZA1022005,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022006,1022006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022006,006,ZA1022006,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022007,1022007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022007,007,ZA1022007,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022008,1022008,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022008,008,ZA1022008,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022009,1022009,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022009,009,ZA1022009,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022010,1022010,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022010,010,ZA1022010,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022011,1022011,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022011,011,ZA1022011,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1022012,1022012,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1022,1603:45:16:710:4:1022012,012,ZA1022012,,,,Witzenberg,ZA1022,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023001,1023001,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023001,001,ZA1023001,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023002,1023002,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023002,002,ZA1023002,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023003,1023003,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023003,003,ZA1023003,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023004,1023004,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023004,004,ZA1023004,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023005,1023005,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023005,005,ZA1023005,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023006,1023006,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023006,006,ZA1023006,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023007,1023007,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023007,007,ZA1023007,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023008,1023008,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023008,008,ZA1023008,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023009,1023009,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023009,009,ZA1023009,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023010,1023010,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023010,010,ZA1023010,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023011,1023011,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023011,011,ZA1023011,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023012,1023012,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023012,012,ZA1023012,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023013,1023013,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023013,013,ZA1023013,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023014,1023014,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023014,014,ZA1023014,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023015,1023015,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023015,015,ZA1023015,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023016,1023016,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023016,016,ZA1023016,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023017,1023017,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023017,017,ZA1023017,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:4:1023018,1023018,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,1603:45:16:710:3:1023,1603:45:16:710:4:1023018,018,ZA1023018,,,,Drakenstein,ZA1023,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
