#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip402,#item+rem+i_qcc+is_zxxx+ix_wikip1566,#item+rem+i_qcc+is_zxxx+ix_wikip1937,#item+rem+i_qcc+is_zxxx+ix_wikip6555,#item+rem+i_qcc+is_zxxx+ix_wikip8119
1506583,Q2009212,185600,3389461,,5991,
1506609,Q1901157,185580,3389459|6319462,,5312,
1506708,Q2008589,185665,6319463,,5339,
1506807,Q659450,185639,6319464|3389353,,5355,
1506906,Q1811192,185635,3389345,,5371,
1507003,Q2009548,185677,3389062|6319466,,5398,
1507102,Q632789,185613,6319467|3388926,,5410,
1507151,Q1841455,185559,6318408,,4464,
1507201,Q955985,185624,3388869,,5436,
1507300,Q1807317,185669,3388847,,5452,
1507409,Q2008769,185642,6319471,,5479,
1507458,Q2008501,185550,3388760|6319472,,5797,
1507466,Q2008293,185619,3388629,,4820,
1507474,Q2008440,185653,3388626|6319474,,4065,
1507508,Q2008417,185555,3388624,,5495,
1507607,Q2008532,185611,6319001|3388270,,5517,
1507706,Q1868533,185591,3388109,,5533,
1507755,Q2289887,185556,6318633|6319477,,4847,
1507805,Q609027,185633,3387928|6319478,,5550,
1507904,Q1016643,185596,3387204|6319479,,5576,
1507953,Q2289846,185612,6318732,,4022,
1507961,Q2289951,185637,6319481,,4545,
1507979,Q2003795,185597,6319482|3386467,,4367,
1508001,Q1805230,185655,3386279|6319483,,5592,
1508035,Q2008789,90131,3386201,,4669,
1508050,Q2009409,185587,6319485,,4286,
1508084,Q22060188,185594,6318807|6319486,,4081,
1508100,Q374432,185562,3385935,,5614,
1508126,Q2008337,185627,6318826,,4324,
1508159,Q2009083,185670,6318838,,5754,
1508209,Q1804913,185648,3385088|6319490,,5630,
1508308,Q772569,90130,6324279|3385022,,5657,
1508357,Q2008512,185675,6318953,,4405,
1508407,Q2008249,185617,6318968,,5711,
1600055,Q1754413,331467,3387835,,6106,
1600105,Q586263,331477,3407765|6319493,,6017,
1600154,Q1772647,331465,6324185|6317907,,6084,
1600204,Q1754431,331472,3403899,,6033,
1600212,Q1754422,331466,6316984,,6068,
1600238,Q1647054,331479,3399627,,6114,
1600253,Q368933,331468,6319496,,6041,
1600279,Q1117969,331469,6324188,,6130,
1600303,Q180215,331473,3396016,,6050,
1600402,Q1800704,331475,6319499|3395042,,6076,
1600501,Q906717,331471,3393758|6319500,,6092,
1600535,Q1772692,331470,6324187|3391368,,6025,
1600550,Q1772625,331474,6318044,,6009,
1600600,Q1994845,331476,6319502|3391360,,6157,
1600709,Q1800762,331478,3386604,,6173,
1600808,Q1772675,331464,6319497,,6122,
1700251,Q1784836,336740,6319504,,73008,
1700301,Q1802133,336780,6316330,,73512,
1700350,Q1802116,336857,3479327,,96954,
1700400,Q22060165,336768,6319507|3472552,,92070,
1700707,Q22060164,336831,3472404|6319508,,92134,
1701002,Q1948373,336748,3407674,,92193,
1701051,Q2011594,336775,3411871,,73075,
1701101,Q1802077,336847,3411872,,96970,
1701309,Q1801778,336875,3411873,,73334,
1701903,Q1801734,336771,3407360,,92371,
1702000,Q593716,336846,6319514|3471837,,92398,
1702109,Q625279,336824,6319515|3407357,,92410,
1702158,Q957649,336869,3407356|6319516,,73318,
1702208,Q1783966,336850,6316422,,92436,
1702307,Q609102,336792,3407319,,92452,
1702406,Q1801696,336746,3471448,,92479,
1702554,Q1801708,336794,6316460,,96857,
1702703,Q1801726,336849,6316466,,92533,
1702901,Q1801670,336864,6316470,,92576,
1703008,Q1801746,336811,3406923,,92592,
1703057,Q2011614,336789,6316492,,73580,
1703073,Q512635,336856,6316511,,73610,
1703107,Q1801737,336844,3411875,,96997,
1703206,Q2011573,336807,3411877,,92002,
1703305,Q599288,336822,3405305|6319528,,73121,
1703602,Q1801749,336759,3411879,,73245,
1703701,Q1801741,336833,3468981,,92738,
1703800,Q1801703,336848,3411881,,92045,
1703826,Q2289907,336825,6316692|6319532,,73067,
1703842,Q1801753,336770,3411883,,73091,
1703867,Q1801690,336752,3466939,,73300,
1703883,Q1801654,336755,3411884,,73326,
1703891,Q1801716,336806,6316815,,73423,
1703909,Q1801760,336827,3411887,,92088,
1704105,Q2116769,336793,6319538|3411888,,73210,
1704600,Q773264,336863,6316859,,73474,
1705102,Q1801647,336820,3466324,,73482,
1705508,Q1801758,336843,3411913,,93114,
1705557,Q746335,336868,6316899,,92142,
1705607,Q1801713,336816,3465741,,93130,
1706001,Q672837,336873,3401562,,93211,
1706100,Q1798698,336866,3465167,,93238,
1706258,Q1801175,336814,6316964,,73555,
1706506,Q1801100,336872,6316992,,73032,
1707009,Q1801150,336871,3464720,,93416,
1707108,Q649398,336784,3411890,,92185,
1707207,Q967767,336865,3401007,,93459,
1707306,Q1800970,336867,3464383,,93475,
1707405,Q977277,336773,6319552,,73296,
1707553,Q2196935,336754,3479298|6319553,,96830,
1707652,Q1801233,336782,3479299,,96679,
1707702,Q690299,336826,3399603|6319555,,93556,
1708205,Q1801246,336772,3463122,,93653,
1708254,Q1801070,336795,3411892,,73199,
1708304,Q1801208,336870,3398901,,92240,
1709005,Q1801197,336829,3398899,,95338,
1709302,Q1801179,336791,3398573,,96270,
1709500,Q1784265,336840,6319560|3461724,,93858,
1709807,Q946408,336815,3398072|6324252,,73598,
1710508,Q535056,336860,3397997,,94056,
1710706,Q1801108,336832,3397985,,94099,
1710904,Q1800939,336785,3411893,,73202,
1711100,Q770338,336743,3397900,,94170,
1711506,Q1801212,336812,3479301,,73369,
1711803,Q374444,336738,3411894,,73253,
1711902,Q1801577,336766,3479302|6324280,,73385,
1711951,Q1801591,336787,3479303,,73113,
1712009,Q2085548,336741,6319568|3396517,,73407,
1712157,Q1801192,336758,6317465|6319569,,73601,
1712405,Q1786619,336845,3396214,,95699,
1712454,Q1801642,336783,6317498,,73520,
1712504,Q1801628,336858,3411895,,92304,
1712702,Q1801064,336781,6317561,,73270,
1712801,Q1801042,336760,3411911,,73059,
1713205,Q993530,336828,3394817,,94617,
1713304,Q1800924,336750,3411915,,94633,
1713601,Q1801517,336861,3456838,,94692,
1713700,Q2011582,336874,6317635,,73563,
1713809,Q1801156,336749,6319578,,73040,
1713957,Q1801142,336790,3411916,,73342,
1714203,Q1801567,336838,6317674|6324190,,94811,
1714302,Q2289927,336855,3393984|6319580,,94838,
1714880,Q2079727,336751,6319581|3393844,,96636,
1715002,Q1801604,336796,3479305,,92401,
1715101,Q1801572,336852,6317776,,94994,
1715150,Q1801587,336851,6317777,,73148,
1715259,Q1801252,336739,3479306,,73172,
1715507,Q1801609,336817,6317817,,73466,
1715705,Q523587,336802,3393239,,73083,
1715754,Q1801038,336834,3479309,,96490,
1716109,Q978148,336859,3479329,,95192,
1716208,Q1801570,336839,3455079,,95214,
1716307,Q2085357,336797,6319002|3392811,,73261,
1716505,Q1801535,336737,3392438,,95257,
1716604,Q654261,336736,6319592|3454331,,95273,
1716653,Q1801219,336756,3392335,,92487,
1716703,Q1801662,336757,3411889,,95290,
1717008,Q1800896,336841,3453823,,95370,
1717206,Q962028,336813,3411917,,73016,
1717503,Q1800961,336786,3453437,,95478,
1717800,Q1800881,336842,3453117,,95516,
1717909,Q1801637,336830,3453116,,95532,
1718006,Q677566,336810,3479311,,92509,
1718204,Q1784315,336788,3452711,,95591,
1718303,Q1801132,336779,6318049,,92525,
1718402,Q2085534,336747,6324281|3411899,,96296,
1718451,Q1801581,336745,6318081,,73571,
1718501,Q1801075,336742,3411900,,73229,
1718550,Q2197944,336753,6319605,,73024,
1718659,Q1801085,336823,6319606,,73431,
1718709,Q580856,336821,6319607|3411902,,73415,
1718758,Q1801199,336836,3411903,,96792,
1718808,Q1801137,336835,6319609|3411904,,92541,
1718840,Q1801094,336837,3479314,,73156,
1718865,Q991120,336862,3411905,,73350,
1718881,Q522587,336854,6318284,,73130,
1718899,Q1801241,336853,6318294,,73547,
1718907,Q1801204,336744,3449842,,92584,
1719004,Q1801050,336774,3479316,,92606,
1720002,Q929170,336776,6318320,,73539,
1720101,Q1801161,336778,6319615,,73288,
1720150,Q1801186,336777,3479317,,73105,
1720200,Q1800932,336761,6318558,,73180,
1720259,Q1800952,336762,3479319,,73393,
1720309,Q1801056,336763,3388107,,96032,
1720499,Q1801542,336764,3479320,,92681,
1720655,Q1801168,336765,3479322,,96598,
1720804,Q1801080,336767,6318704,,96130,
1720853,Q2011603,336769,3479324,,73377,
1720903,Q22060005,336803,3447075|6319623,,96156,
1720937,Q1800947,336804,3447055,,73164,
1720978,Q1801633,336805,6318734,,73504,
1721000,Q178993,336798,3474574,,73440,
1721109,Q1801598,336799,3386310,,96199,
1721208,Q587927,336800,3386309,,96210,
1721257,Q1801526,336801,3385913,,73458,
1721307,Q1801621,336808,3385912,,73237,
1722081,Q1798710,336809,3411910,,96652,
1722107,Q635920,336818,3384940,,96431,
2100055,Q1763534,332883,6316298|6319005,,9610,
2100105,Q532160,332900,6316306,,7013,
2100154,Q2013406,332936,6316317,,7005,
2100204,Q939522,332985,6319634|3408073,,7030,
2100303,Q2013348,332823,6316335,,7056,
2100402,Q2013259,332830,6319636,,7072,
2100436,Q373783,332864,6319637,,7021,
2100477,Q2028638,332962,6316350,,7048,
2100501,Q1812998,332819,3407798,,7099,
2100550,Q2013296,332774,6319639,,7080,
2100600,Q947834,332886,3407755|6319640,,7110,
2100709,Q2013314,332973,6319641|3407682,,7137,
2100808,Q2013366,332959,3407665,,7153,
2100832,Q2013356,332873,6319643,,7064,
2100873,Q2209464,332834,6319644,,7102,
2100907,Q2041199,332920,3407351|6319645,,7170,
2100956,Q2036277,332945,6319646,,9679,
2101004,Q1813008,332865,6319647|3407258,,7196,
2101103,Q630926,332803,6319648,,7218,
2101202,Q1807313,332958,3406910,,7234,
2101251,Q2068936,332988,6316471,,7129,
2101301,Q2089681,332907,3406887,,7250,
2101350,Q640733,332935,3406866,,7145,
2101400,Q1813001,332875,3406545|6319653,,7277,
2101509,Q591015,332932,3406459,,7293,
2101608,Q1807301,332984,3406317|6319654,,7315,
2101707,Q2040600,332880,6319655|3406196,,7331,
2101731,Q2013308,332872,6316553,,7161,
2101772,Q2013283,332848,6316548,,7188,
2101806,Q2068847,332827,3405794,,7358,
2101905,Q2068952,332798,6319659|3405778,,7374,
2101939,Q2008013,332980,6316563,,7200,
2101970,Q2068253,332974,6316586,,7323,
2102002,Q2279959,332916,6319662,,9555,
2102036,Q2068303,332942,6316600,,7269,
2102077,Q2068928,332966,3405286,,7285,
2102101,Q659888,332972,6319665|3404889,,7390,
2102150,Q2068871,332791,6319666,,7307,
2102200,Q2135872,332779,6319667,,7412,
2102309,Q2013234,332867,3404722|6319668,,7439,
2102325,Q2013248,332852,6316662,,7340,
2102358,Q2013324,332888,6319670,,7366,
2102374,Q2013274,332951,6316690|6319671,,7226,
2102408,Q934637,332956,6319672,,7455,
2102507,Q510992,332804,3404056,,7471,
2102556,Q1122744,332826,6316719,,7382,
2102606,Q2068838,332981,6319675|3403395,,7498,
2102705,Q2103724,332943,3403309|6319676,,7510,
2102754,Q2068268,332815,6316784,,7404,
2102804,Q651807,332955,6319678|3402724,,7536,
2102903,Q2016480,332842,6319679,BRCTP,7552,
2103000,Q997107,332983,6319680|3402383,,7579,
2103109,Q2095187,332878,6319681|6316837,,7595,
2103125,Q2068312,332922,6316840,,7420,
2103158,Q2068246,332845,6316841,,7447,
2103174,Q2013267,332910,6316844,,7463,
2103208,Q746060,332847,3402229|6319008,,7617,
2103257,Q924546,332786,6316873,,7480,
2103307,Q2013225,332990,3402000,,7633,
2103406,Q2019296,332979,6319687|3401992,,7650,
2103505,Q369679,332929,3401963|6319688,,7676,
2103554,Q2012506,332891,6316904,,7501,
2103604,Q967552,332856,3401703|6319689,,7692,
2103703,Q1886395,332838,6319690|3401148,,7714,
2103752,Q2105097,332817,6316996|6319691,,7242,
2103802,Q1823871,332776,3400969|6319692,,7730,
2103901,Q646515,332773,3400931,,7757,
2104008,Q2013171,332820,3400739|6319694,,7773,
2104057,Q2068863,332861,6317099|6319695,,9636,
2104073,Q2068274,332839,6317131,,7528,
2104081,Q2068889,332971,6317137,,7544,
2104099,Q2068944,332941,6317155,,7560,
2104107,Q2068880,332809,3399388,,7790,
2104206,Q2034097,332802,3399377,,7811,
2104305,Q939995,332899,6317203,,7838,
2104404,Q14629944,332885,6317209|6319702,,7854,
2104503,Q2012522,332876,3398872,,7870,
2104552,Q2012559,332957,6317213,,7609,
2104602,Q2068814,332772,6317214,,7897,
2104628,Q432254,332780,6317217,,7625,
2104651,Q2068907,332799,6317219,,7641,
2104677,Q2068296,332828,6317220,,7668,
2104701,Q2082297,332837,3398868|6319708,,7919,
2104800,Q2043418,332843,3398856|6319709,,7935,
2104909,Q2101408,332858,6319710,,7951,
2105005,Q1814500,332893,3398428|6319711,,7978,
2105104,Q2068290,332912,3398381|6319712,,7994,
2105153,Q1832376,332949,6317266|6319713,,7684,
2105203,Q2068280,332953,6317267|6319714,,8010,
2105302,Q504755,332989,3398269,,8036,
2105351,Q2068260,332805,6317318,,7706,
2105401,Q2012733,332816,6319717|3397936,,8079,
2105427,Q2012566,332895,6317339,,7722,
2105450,Q2103541,332890,6319719|6317374,,7749,
2105476,Q781692,332889,6317380,,7765,
2105500,Q1875142,332919,3397292,,8095,
2105609,Q2068225,332939,6317395,,8117,
2105658,Q2068232,332986,6317404,,7781,
2105708,Q1008300,332851,6317419|6319724,,8133,
2105807,Q927111,332863,6319725,,8150,
2105906,Q2105837,332835,6319726,,8176,
2105922,Q2012976,332813,6319727|6317436,,7820,
2105948,Q305180,332811,6319728,,7803,
2105963,Q2012551,332829,6317445,,7846,
2105989,Q930035,332987,6317457,,7862,
2106003,Q2068220,332952,6317471,,8192,
2106102,Q2103736,332887,3396150|6319732,,8214,
2106201,Q2068240,332857,3396118,,8230,
2106300,Q2012532,332860,3395908,,8257,
2106326,Q2064676,332862,6319735|3395497,,7889,
2106359,Q743349,332846,6317528,,7900,
2106375,Q1846576,332836,6317531,,7927,
2106409,Q2012544,332832,3409559,,8273,
2106508,Q1116758,332797,3395122|6319739,,8290,
2106607,Q2012513,332777,6319740|3395100,,8311,
2106631,Q2013059,332963,6317571,,7943,
2106672,Q2013332,332975,6317587,,7960,
2106706,Q2089741,332913,3394813|6319743,,8338,
2106755,Q2066162,332894,6317598,,9695,
2106805,Q2066198,332897,3394780,,8354,
2106904,Q2103583,332831,3394640|6319011,,8370,
2107001,Q2012463,332854,3394539|6319746,,8397,
2107100,Q301700,332874,6319747|3394380,,8419,
2107209,Q2020346,332794,6317682|6319012,,8435,
