#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:740:2:712,712,1603:45:16:740:0,1603:45:16:740:1:7,1603:45:16:740:2:712,Welgelegen,SR0712,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:801,801,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:801,Calcutta,SR0801,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:802,802,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:802,Groningen,SR0802,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:803,803,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:803,Jarikaba,SR0803,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:804,804,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:804,Kampong Baroe,SR0804,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:805,805,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:805,Tijgerkreek,SR0805,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:806,806,1603:45:16:740:0,1603:45:16:740:1:8,1603:45:16:740:2:806,Wayambo,SR0806,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:901,901,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:901,Boven Coppename,SR0901,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:902,902,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:902,Boven Saramacca,SR0902,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:903,903,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:903,Boven Suriname,SR0903,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:904,904,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:904,Coeroenie,SR0904,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:905,905,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:905,Kabalebo,SR0905,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:906,906,1603:45:16:740:0,1603:45:16:740:1:9,1603:45:16:740:2:906,Tapanahony,SR0906,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1001,1001,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1001,De Nieuwe Grond,SR1001,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1002,1002,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1002,Domburg,SR1002,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1003,1003,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1003,Houttuin,SR1003,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1004,1004,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1004,Kwarasan,SR1004,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1005,1005,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1005,Kwatta,SR1005,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1006,1006,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1006,Lelydorp,SR1006,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1007,1007,1603:45:16:740:0,1603:45:16:740:1:10,1603:45:16:740:2:1007,Saramacca Polder,SR1007,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
