#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:12:2:1011,1011,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1011,Ksar Kaddour,,DZ001011,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1012,1012,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1012,Metarfa,,DZ001012,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1013,1013,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1013,Ouled Ahmed Timi,,DZ001013,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1014,1014,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1014,Ouled Aissa,,DZ001014,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1015,1015,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1015,Ouled Said,,DZ001015,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1016,1016,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1016,Reggane,,DZ001016,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1017,1017,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1017,Sali,,DZ001017,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1018,1018,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1018,Sebaa,,DZ001018,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1019,1019,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1019,Talmine,,DZ001019,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1020,1020,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1020,Tamentit,,DZ001020,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1021,1021,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1021,Tamest,,DZ001021,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1022,1022,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1022,Timiaouine,,DZ001022,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1023,1023,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1023,Timimoun,,DZ001023,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1024,1024,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1024,Timokten,,DZ001024,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1025,1025,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1025,Tinerkouk,,DZ001025,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1026,1026,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1026,Tit,,DZ001026,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1027,1027,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1027,Tsabit,,DZ001027,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:1028,1028,1603:45:16:12:0,1603:45:16:12:1:1,1603:45:16:12:2:1028,Zaouiet Kounta,,DZ001028,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2001,2001,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2001,Ain Benian,,DZ002001,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2002,2002,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2002,Ain Bouyahia,,DZ002002,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2003,2003,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2003,Ain Lechiakh,,DZ002003,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2004,2004,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2004,Ain Soltane,,DZ002004,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2005,2005,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2005,Ain Torki,,DZ002005,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2006,2006,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2006,Ain-Defla,,DZ002006,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2007,2007,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2007,Arib,,DZ002007,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2008,2008,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2008,Barbouche,,DZ002008,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2009,2009,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2009,Bathia,,DZ002009,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2010,2010,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2010,Belaas,,DZ002010,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2011,2011,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2011,Ben Allal,,DZ002011,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2012,2012,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2012,Bir Ouled Khelifa,,DZ002012,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2013,2013,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2013,Bordj Emir Khaled,,DZ002013,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2014,2014,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2014,Boumedfaa,,DZ002014,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2015,2015,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2015,Bourached,,DZ002015,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2016,2016,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2016,Djelida,,DZ002016,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2017,2017,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2017,Djemaa Ouled Cheikh,,DZ002017,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2018,2018,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2018,Djendel,,DZ002018,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2019,2019,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2019,El Abbadia,,DZ002019,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2020,2020,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2020,El Amra,,DZ002020,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2021,2021,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2021,El Attaf,,DZ002021,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2022,2022,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2022,El Hassania,,DZ002022,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2023,2023,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2023,El Hoceinia,,DZ002023,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2024,2024,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2024,El Mayene,,DZ002024,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2025,2025,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2025,Hammam Righa,,DZ002025,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2026,2026,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2026,Khemis Miliana,,DZ002026,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2027,2027,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2027,Mekhatria,,DZ002027,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2028,2028,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2028,Miliana,,DZ002028,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2029,2029,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2029,Oued Chorfa,,DZ002029,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2030,2030,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2030,Oued Djemaa,,DZ002030,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2031,2031,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2031,Rouina,,DZ002031,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2032,2032,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2032,Sidi Lakhdar,,DZ002032,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2033,2033,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2033,Tachta Zegarra,,DZ002033,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2034,2034,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2034,Tarik Ibn Ziad,,DZ002034,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2035,2035,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2035,Tiberkanine,,DZ002035,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:2036,2036,1603:45:16:12:0,1603:45:16:12:1:2,1603:45:16:12:2:2036,Zeddine,,DZ002036,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3001,3001,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3001,Aghlal,,DZ003001,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3002,3002,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3002,Ain El Arbaa,,DZ003002,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3003,3003,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3003,Ain Kihel,,DZ003003,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3004,3004,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3004,Ain Tolba,,DZ003004,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3005,3005,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3005,Ain-Temouchent,,DZ003005,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3006,3006,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3006,Beni Saf,,DZ003006,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3007,3007,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3007,Bouzedjar,,DZ003007,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3008,3008,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3008,Chaabet El Ham,,DZ003008,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3009,3009,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3009,Chentouf,,DZ003009,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3010,3010,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3010,El Amria,,DZ003010,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3011,3011,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3011,El Emir Abdelkader,,DZ003011,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3012,3012,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3012,El Malah,,DZ003012,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3013,3013,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3013,El M'Said,,DZ003013,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3014,3014,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3014,Hammam Bouhadjar,,DZ003014,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3015,3015,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3015,Hassasna,,DZ003015,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3016,3016,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3016,Hassi El Ghella,,DZ003016,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3017,3017,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3017,Oued Berkeche,,DZ003017,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3018,3018,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3018,Oued Sebbah,,DZ003018,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3019,3019,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3019,Ougbellil,,DZ003019,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3020,3020,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3020,Ouled Boudjemaa,,DZ003020,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3021,3021,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3021,Ouled Kihal,,DZ003021,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3022,3022,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3022,Oulhaca Gherraba,,DZ003022,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3023,3023,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3023,Sidi Ben Adda,,DZ003023,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3024,3024,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3024,Sidi Boumediene,,DZ003024,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3025,3025,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3025,Sidi Safi,,DZ003025,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3026,3026,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3026,Tadmaya,,DZ003026,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3027,3027,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3027,Tamzougha,,DZ003027,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:3028,3028,1603:45:16:12:0,1603:45:16:12:1:3,1603:45:16:12:2:3028,Terga,,DZ003028,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4001,4001,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4001,Ain Benian,,DZ004001,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4002,4002,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4002,Ain Taya,,DZ004002,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4003,4003,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4003,Alger,,DZ004003,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4004,4004,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4004,Bab El Oued,,DZ004004,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4005,4005,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4005,Baba Hassen,,DZ004005,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:2:4006,4006,1603:45:16:12:0,1603:45:16:12:1:4,1603:45:16:12:2:4006,Bach Djerrah,,DZ004006,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
