#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:178:2:201,201,1603:45:16:178:0,1603:45:16:178:1:2,1603:45:16:178:2:201,Brazzaville,CG0201,,,,Brazzaville,CG02,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:301,301,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:301,Boundji,CG0301,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:302,302,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:302,Loukolela,CG0302,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:303,303,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:303,Makoua,CG0303,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:304,304,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:304,Mossaka,CG0304,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:305,305,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:305,Ngoko,CG0305,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:306,306,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:306,Ntokou,CG0306,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:307,307,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:307,Owando,CG0307,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:308,308,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:308,Oyo,CG0308,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:309,309,1603:45:16:178:0,1603:45:16:178:1:3,1603:45:16:178:2:309,Tchikapika,CG0309,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:401,401,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:401,Etoumbi,CG0401,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:402,402,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:402,Ewo,CG0402,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:403,403,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:403,Kelle,CG0403,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:404,404,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:404,Mbama,CG0404,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:405,405,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:405,Mbomo,CG0405,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:406,406,1603:45:16:178:0,1603:45:16:178:1:4,1603:45:16:178:2:406,Okoyo,CG0406,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:501,501,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:501,Hinda,CG0501,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:502,502,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:502,Kakameoka,CG0502,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:503,503,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:503,Madingo-Kayes,CG0503,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:504,504,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:504,Mvouti,CG0504,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:505,505,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:505,Nzambi,CG0505,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:506,506,1603:45:16:178:0,1603:45:16:178:1:5,1603:45:16:178:2:506,Tchiamba-Nzassi,CG0506,,,,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:601,601,1603:45:16:178:0,1603:45:16:178:1:6,1603:45:16:178:2:601,Bambama,CG0601,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:602,602,1603:45:16:178:0,1603:45:16:178:1:6,1603:45:16:178:2:602,Komono,CG0602,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:603,603,1603:45:16:178:0,1603:45:16:178:1:6,1603:45:16:178:2:603,Mayeye,CG0603,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:604,604,1603:45:16:178:0,1603:45:16:178:1:6,1603:45:16:178:2:604,Sibiti,CG0604,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:605,605,1603:45:16:178:0,1603:45:16:178:1:6,1603:45:16:178:2:605,Zanaga,CG0605,,,,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:701,701,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:701,Betou,CG0701,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:702,702,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:702,Bouanila,CG0702,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:703,703,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:703,Dongou,CG0703,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:704,704,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:704,Enyelle,CG0704,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:705,705,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:705,Epena,CG0705,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:706,706,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:706,Impfondo,CG0706,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:707,707,1603:45:16:178:0,1603:45:16:178:1:7,1603:45:16:178:2:707,Liranga,CG0707,,,,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:801,801,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:801,Banba,CG0801,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:802,802,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:802,Divenie,CG0802,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:803,803,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:803,Kibangou,CG0803,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:804,804,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:804,Kimongo,CG0804,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:805,805,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:805,Londela-Kayes,CG0805,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:806,806,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:806,Louvakou,CG0806,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:807,807,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:807,Makabana,CG0807,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:808,808,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:808,Mayoko,CG0808,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:809,809,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:809,Mbinda,CG0809,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:810,810,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:810,Moungoundou-Nord,CG0810,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:811,811,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:811,Moungoundou-Sud,CG0811,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:812,812,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:812,Moutamba,CG0812,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:813,813,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:813,Nyanga,CG0813,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:814,814,1603:45:16:178:0,1603:45:16:178:1:8,1603:45:16:178:2:814,Yaya,CG0814,,,,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:901,901,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:901,Abala,CG0901,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:902,902,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:902,Allembe,CG0902,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:903,903,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:903,Djambala,CG0903,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:904,904,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:904,Gamboma,CG0904,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:905,905,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:905,Lekana,CG0905,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:906,906,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:906,Makotimpoko,CG0906,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:907,907,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:907,Mbon,CG0907,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:908,908,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:908,Mpouya,CG0908,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:909,909,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:909,Ngo,CG0909,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:910,910,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:910,Ollombo,CG0910,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:911,911,1603:45:16:178:0,1603:45:16:178:1:9,1603:45:16:178:2:911,Ongogni,CG0911,,,,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1001,1001,1603:45:16:178:0,1603:45:16:178:1:10,1603:45:16:178:2:1001,Pointe-Noire,CG1001,,,,Point-Noire,CG10,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1101,1101,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1101,Boko,CG1101,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1102,1102,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1102,Goma-Tsetse,CG1102,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1103,1103,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1103,Ignie,CG1103,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1104,1104,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1104,Kimba,CG1104,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1105,1105,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1105,Kindamba,CG1105,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1106,1106,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1106,Kinkala,CG1106,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1107,1107,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1107,Louingui,CG1107,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1108,1108,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1108,Loumo,CG1108,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1109,1109,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1109,Mayama,CG1109,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1110,1110,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1110,Mbandza-Ndounga,CG1110,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1111,1111,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1111,Mindouli,CG1111,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1112,1112,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1112,Ngabe,CG1112,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1113,1113,1603:45:16:178:0,1603:45:16:178:1:11,1603:45:16:178:2:1113,Vindza,CG1113,,,,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1201,1201,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1201,Mokeko,CG1201,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1202,1202,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1202,Ngbala,CG1202,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1203,1203,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1203,Ouesso,CG1203,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1204,1204,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1204,Pikounda,CG1204,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1205,1205,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1205,Sembe,CG1205,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:2:1206,1206,1603:45:16:178:0,1603:45:16:178:1:12,1603:45:16:178:2:1206,Souanke,CG1206,,,,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
