#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tha+is_thai,#adm2+name+alt2+i_tha+is_thai,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:764:2:1101,1101,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1101,Mueang Samut Prakan,เมืองสมุทรปราการ,TH1101,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1102,1102,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1102,Bang Bo,บางบ่อ,TH1102,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1103,1103,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1103,Bang Phli,บางพลี,TH1103,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1104,1104,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1104,Phra Pradaeng,พระประแดง,TH1104,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1105,1105,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1105,Phra Samut Chedi,พระสมุทรเจดีย์,TH1105,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1106,1106,1603:45:16:764:0,1603:45:16:764:1:11,1603:45:16:764:2:1106,Bang Sao Thong,บางเสาธง,TH1106,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1201,1201,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1201,Mueang Nonthaburi,เมืองนนทบุรี,TH1201,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1202,1202,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1202,Bang Kruai,บางกรวย,TH1202,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1203,1203,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1203,Bang Yai,บางใหญ่,TH1203,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1204,1204,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1204,Bang Bua Thong,บางบัวทอง,TH1204,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1205,1205,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1205,Sai Noi,ไทรน้อย,TH1205,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1206,1206,1603:45:16:764:0,1603:45:16:764:1:12,1603:45:16:764:2:1206,Pak Kret,ปากเกร็ด,TH1206,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1301,1301,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1301,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1302,1302,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1302,Khlong Luang,คลองหลวง,TH1302,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1303,1303,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1303,Thanyaburi,ธัญบุรี,TH1303,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1304,1304,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1304,Nong Suea,หนองเสือ,TH1304,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1305,1305,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1305,Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1306,1306,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1306,Lam Luk Ka,ลำลูกกา,TH1306,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1307,1307,1603:45:16:764:0,1603:45:16:764:1:13,1603:45:16:764:2:1307,Sam Khok,สามโคก,TH1307,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1401,1401,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1401,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH1401,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1402,1402,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1402,Tha Ruea,ท่าเรือ,TH1402,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1403,1403,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1403,Nakhon Luang,นครหลวง,TH1403,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1404,1404,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1404,Bang Sai,บางไทร,TH1404,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1405,1405,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1405,Bang Ban,บางบาล,TH1405,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1406,1406,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1406,Bang Pa-In,บางปะอิน,TH1406,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1407,1407,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1407,Bang Pahan,บางปะหัน,TH1407,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1408,1408,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1408,Phak Hai,ผักไห่,TH1408,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
