#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:2:1803,1803,1603:45:16:384:0,1603:45:16:384:1:18,1603:45:16:384:2:1803,Vavoua,CI1803,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1804,1804,1603:45:16:384:0,1603:45:16:384:1:18,1603:45:16:384:2:1804,Zoukougbeu,CI1804,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1901,1901,1603:45:16:384:0,1603:45:16:384:1:19,1603:45:16:384:2:1901,Daoukro,CI1901,,,,Iffou,CI19,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1902,1902,1603:45:16:384:0,1603:45:16:384:1:19,1603:45:16:384:2:1902,M'Bahiakro,CI1902,MBahiakro,,,Iffou,CI19,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:1903,1903,1603:45:16:384:0,1603:45:16:384:1:19,1603:45:16:384:2:1903,Prikro,CI1903,,,,Iffou,CI19,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2001,2001,1603:45:16:384:0,1603:45:16:384:1:20,1603:45:16:384:2:2001,Abengourou,CI2001,,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2002,2002,1603:45:16:384:0,1603:45:16:384:1:20,1603:45:16:384:2:2002,Agnibilékrou,CI2002,Agnibilekrou,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2003,2003,1603:45:16:384:0,1603:45:16:384:1:20,1603:45:16:384:2:2003,Béttié,CI2003,Bettie,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2101,2101,1603:45:16:384:0,1603:45:16:384:1:21,1603:45:16:384:2:2101,Gbeleban,CI2101,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2102,2102,1603:45:16:384:0,1603:45:16:384:1:21,1603:45:16:384:2:2102,Madinani,CI2102,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
