#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq
14290,Q1797985
14311,Q684551
14338,Q2014416
14354,Q2027316
14370,Q2028838
14397,Q653619
14419,Q2013987
14435,Q929116
14451,Q2028694
14478,Q817227
14494,Q2027711
14516,Q664219
14532,Q1795215
14559,Q1795232
14575,Q22059549
14591,Q2028218
14613,Q2028110
14630,Q1993771
14656,Q2028094
14672,Q2092809
14680,Q1966370
14699,Q2027847
14710,Q1920600
14737,Q526892
14753,Q1807869
14770,Q2027657
14796,Q22059544
14818,Q2027361
14834,Q22059542
14850,Q1913711
14877,Q1824152
14893,Q22059540
14915,Q526215
14931,Q2021230
14958,Q2026817
14974,Q2013474
14990,Q2028383
15016,Q2028077
15032,Q2013452
15059,Q542347
15075,Q770577
15091,Q2028069
15113,Q2028317
15130,Q2028236
15156,Q1815210
15172,Q2028227
15199,Q2028684
15210,Q2027595
15237,Q2027628
15253,Q1112312
15270,Q2013932
15296,Q999088
15318,Q2028061
15334,Q2266648
15350,Q629638
15377,Q1806654
15393,Q2021151
15415,Q2027584
15431,Q2068856
15440,Q2028051
15458,Q2027609
15474,Q2068831
15490,Q1999934
15512,Q2039779
15539,Q2039586
15555,Q1828350
15571,Q1983626
15598,Q1815899
15610,Q975946
15636,Q2059758
15652,Q2068962
15679,Q2021015
15695,Q965707
15717,Q1807039
15733,Q1821314
15750,Q2068917
15776,Q2021056
15792,Q2013443
15814,Q2068823
15830,Q2021075
15857,Q1794732
15873,Q947378
15881,Q1816979
15890,Q22059569
15911,Q587627
15920,Q1984853
15938,Q734002
15954,Q2013979
15970,Q2028613
15989,Q2027304
15997,Q2013436
16004,Q1786757
16012,Q2008611
16020,Q679650
16039,Q1788873
16047,Q1787018
16055,Q1788960
16063,Q988901
16071,Q1786703
16080,Q2077915
16098,Q2099372
16101,Q1802663
16110,Q1802697
16128,Q1802221
16136,Q1787554
16144,Q588380
16152,Q1989884
16160,Q1802362
16179,Q1788470
16187,Q1802298
16195,Q2008084
16209,Q1802272
16217,Q2072691
16225,Q1802343
16233,Q928712
16241,Q1954847
16250,Q1802671
16268,Q614428
16276,Q282133
16284,Q390276
16292,Q2011622
