qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:466:3:10111,10111,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10111,Dinlin Oualia,ML010111,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10112,10112,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10112,Sidibela,ML010112,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10113,10113,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,1603:45:16:466:3:10113,Tomora,ML010113,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10201,10201,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10201,Béma,ML010201,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10202,10202,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10202,Diangounté Camara,ML010202,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10203,10203,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10203,Dianguirdé,ML010203,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10204,10204,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10204,Diema,ML010204,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10205,10205,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10205,Diéoura,ML010205,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10206,10206,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10206,Dioumara Koussata,ML010206,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10207,10207,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10207,Fassoudebé,ML010207,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10208,10208,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10208,Fatao,ML010208,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10209,10209,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10209,Gomitradougou,ML010209,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10210,10210,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10210,Grouméra,ML010210,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10211,10211,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10211,Guédébiné,ML010211,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10212,10212,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10212,Lakamané,ML010212,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10213,10213,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10213,Lambidou,ML010213,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10214,10214,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10214,Madiga Sacko,ML010214,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10215,10215,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,1603:45:16:466:3:10215,Sansankidé,ML010215,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10301,10301,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10301,Bangassi,ML010301,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10302,10302,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10302,Colimbiné,ML010302,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10303,10303,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10303,Diamou,ML010303,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10304,10304,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10304,Djélébou,ML010304,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10305,10305,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10305,Falémé,ML010305,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10306,10306,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10306,Fégui,ML010306,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10307,10307,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10307,Gory Gopéla,ML010307,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10308,10308,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10308,Gouméra,ML010308,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10309,10309,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10309,Guidimakan Keri Kaff,ML010309,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10310,10310,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10310,Hawa Dembaya,ML010310,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10311,10311,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10311,Karakoro,ML010311,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10312,10312,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10312,Kayes,ML010312,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10313,10313,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10313,Kéméné Tambo,ML010313,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10314,10314,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10314,Khouloum,ML010314,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10315,10315,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10315,Koniakary,ML010315,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10316,10316,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10316,Koussané,ML010316,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10317,10317,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10317,Liberté Dembaya,ML010317,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10318,10318,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10318,Logo,ML010318,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10319,10319,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10319,Maréna Diombougou,ML010319,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10320,10320,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10320,Marintoumania,ML010320,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10321,10321,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10321,Sadiola,ML010321,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10322,10322,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10322,Sahel,ML010322,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10323,10323,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10323,Samé Diomgoma,ML010323,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10324,10324,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10324,Ségala,ML010324,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10325,10325,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10325,Séro Siamanou,ML010325,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10326,10326,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10326,Somankidy,ML010326,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10327,10327,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10327,Sony,ML010327,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10328,10328,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,1603:45:16:466:3:10328,Tafacirga,ML010328,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10401,10401,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10401,Baye,ML010401,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10402,10402,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10402,Dabia,ML010402,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10403,10403,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10403,Dialafara,ML010403,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10404,10404,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10404,Dombia,ML010404,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10405,10405,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10405,Faléa,ML010405,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10406,10406,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10406,Faraba,ML010406,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10407,10407,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10407,Guenegoré,ML010407,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10408,10408,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10408,Kassama,ML010408,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10409,10409,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10409,Kéniéba,ML010409,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10410,10410,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10410,Kouroukoto,ML010410,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10411,10411,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10411,Sagalo,ML010411,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10412,10412,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,1603:45:16:466:3:10412,Sitakily,ML010412,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10501,10501,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10501,Badia,ML010501,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10502,10502,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10502,Bendougouba,ML010502,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10503,10503,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10503,Benkadi Founia,ML010503,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10504,10504,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10504,Boudofo,ML010504,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10505,10505,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10505,Bougarybaya,ML010505,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10506,10506,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10506,Dindanko,ML010506,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10507,10507,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10507,Djidian,ML010507,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10508,10508,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10508,Djougoun,ML010508,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10509,10509,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10509,Gadougou I,ML010509,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10510,10510,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10510,Gadougou II,ML010510,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10511,10511,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10511,Guémoukouraba,ML010511,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10512,10512,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10512,Kassaro,ML010512,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10513,10513,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10513,Kita,ML010513,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10514,10514,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10514,Kita Nord,ML010514,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10515,10515,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10515,Kita Ouest,ML010515,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10516,10516,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10516,Kobri,ML010516,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10517,10517,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10517,Kokofata,ML010517,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10518,10518,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10518,Kotouba,ML010518,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10519,10519,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10519,Koulou,ML010519,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10520,10520,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10520,Kourounikoto,ML010520,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10521,10521,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10521,Madina,ML010521,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10522,10522,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10522,Makano,ML010522,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10523,10523,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10523,Namala Guimba,ML010523,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10524,10524,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10524,Niantanso,ML010524,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10525,10525,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10525,Saboula,ML010525,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10526,10526,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10526,Sébékoro,ML010526,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10527,10527,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10527,Séféto Nord,ML010527,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10528,10528,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10528,Séféto Ouest,ML010528,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10529,10529,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10529,Senko,ML010529,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10530,10530,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10530,Sirakoro,ML010530,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10531,10531,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10531,Souransan Tomoto,ML010531,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10532,10532,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10532,Tambaga,ML010532,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10533,10533,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,1603:45:16:466:3:10533,Toukoto,ML010533,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10601,10601,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,1603:45:16:466:3:10601,Baniéré Koré,ML010601,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10602,10602,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,1603:45:16:466:3:10602,Diabigué,ML010602,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10603,10603,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,1603:45:16:466:3:10603,Diarra,ML010603,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10604,10604,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,1603:45:16:466:3:10604,Diaye Coura,ML010604,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:3:10605,10605,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,1603:45:16:466:3:10605,Gavinané,ML010605,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
