#x_pattern,#x_substitution,#x_tag
600,PY,item+conceptum+codicem+numeralem
604,PE,item+conceptum+codicem+numeralem
608,PH,item+conceptum+codicem+numeralem
612,PN,item+conceptum+codicem+numeralem
616,PL,item+conceptum+codicem+numeralem
620,PT,item+conceptum+codicem+numeralem
624,GW,item+conceptum+codicem+numeralem
626,TL,item+conceptum+codicem+numeralem
630,PR,item+conceptum+codicem+numeralem
634,QA,item+conceptum+codicem+numeralem
638,RE,item+conceptum+codicem+numeralem
642,RO,item+conceptum+codicem+numeralem
643,RU,item+conceptum+codicem+numeralem
646,RW,item+conceptum+codicem+numeralem
652,BL,item+conceptum+codicem+numeralem
654,SH,item+conceptum+codicem+numeralem
659,KN,item+conceptum+codicem+numeralem
660,AI,item+conceptum+codicem+numeralem
662,LC,item+conceptum+codicem+numeralem
663,MF,item+conceptum+codicem+numeralem
666,PM,item+conceptum+codicem+numeralem
670,VC,item+conceptum+codicem+numeralem
674,SM,item+conceptum+codicem+numeralem
678,ST,item+conceptum+codicem+numeralem
682,SA,item+conceptum+codicem+numeralem
686,SN,item+conceptum+codicem+numeralem
688,RS,item+conceptum+codicem+numeralem
690,SC,item+conceptum+codicem+numeralem
694,SL,item+conceptum+codicem+numeralem
702,SG,item+conceptum+codicem+numeralem
703,SK,item+conceptum+codicem+numeralem
704,VN,item+conceptum+codicem+numeralem
705,SI,item+conceptum+codicem+numeralem
706,SO,item+conceptum+codicem+numeralem
710,ZA,item+conceptum+codicem+numeralem
716,ZW,item+conceptum+codicem+numeralem
724,ES,item+conceptum+codicem+numeralem
728,SS,item+conceptum+codicem+numeralem
729,SD,item+conceptum+codicem+numeralem
732,EH,item+conceptum+codicem+numeralem
740,SR,item+conceptum+codicem+numeralem
744,SJ,item+conceptum+codicem+numeralem
748,SZ,item+conceptum+codicem+numeralem
752,SE,item+conceptum+codicem+numeralem
756,CH,item+conceptum+codicem+numeralem
760,SY,item+conceptum+codicem+numeralem
762,TJ,item+conceptum+codicem+numeralem
764,TH,item+conceptum+codicem+numeralem
768,TG,item+conceptum+codicem+numeralem
772,TK,item+conceptum+codicem+numeralem
776,TO,item+conceptum+codicem+numeralem
780,TT,item+conceptum+codicem+numeralem
784,AE,item+conceptum+codicem+numeralem
788,TN,item+conceptum+codicem+numeralem
792,TR,item+conceptum+codicem+numeralem
795,TM,item+conceptum+codicem+numeralem
796,TC,item+conceptum+codicem+numeralem
798,TV,item+conceptum+codicem+numeralem
800,UG,item+conceptum+codicem+numeralem
804,UA,item+conceptum+codicem+numeralem
807,MK,item+conceptum+codicem+numeralem
818,EG,item+conceptum+codicem+numeralem
826,GB,item+conceptum+codicem+numeralem
831,GG,item+conceptum+codicem+numeralem
832,JE,item+conceptum+codicem+numeralem
833,IM,item+conceptum+codicem+numeralem
834,TZ,item+conceptum+codicem+numeralem
840,US,item+conceptum+codicem+numeralem
850,VI,item+conceptum+codicem+numeralem
854,BF,item+conceptum+codicem+numeralem
858,UY,item+conceptum+codicem+numeralem
860,UZ,item+conceptum+codicem+numeralem
862,VE,item+conceptum+codicem+numeralem
876,WF,item+conceptum+codicem+numeralem
882,WS,item+conceptum+codicem+numeralem
887,YE,item+conceptum+codicem+numeralem
894,ZM,item+conceptum+codicem+numeralem
4,AFG,item+conceptum+codicem+numeralem
8,ALB,item+conceptum+codicem+numeralem
10,ATA,item+conceptum+codicem+numeralem
12,DZA,item+conceptum+codicem+numeralem
16,ASM,item+conceptum+codicem+numeralem
20,AND,item+conceptum+codicem+numeralem
24,AGO,item+conceptum+codicem+numeralem
28,ATG,item+conceptum+codicem+numeralem
31,AZE,item+conceptum+codicem+numeralem
32,ARG,item+conceptum+codicem+numeralem
36,AUS,item+conceptum+codicem+numeralem
40,AUT,item+conceptum+codicem+numeralem
44,BHS,item+conceptum+codicem+numeralem
48,BHR,item+conceptum+codicem+numeralem
50,BGD,item+conceptum+codicem+numeralem
51,ARM,item+conceptum+codicem+numeralem
52,BRB,item+conceptum+codicem+numeralem
56,BEL,item+conceptum+codicem+numeralem
60,BMU,item+conceptum+codicem+numeralem
64,BTN,item+conceptum+codicem+numeralem
68,BOL,item+conceptum+codicem+numeralem
70,BIH,item+conceptum+codicem+numeralem
72,BWA,item+conceptum+codicem+numeralem
74,BVT,item+conceptum+codicem+numeralem
76,BRA,item+conceptum+codicem+numeralem
84,BLZ,item+conceptum+codicem+numeralem
86,IOT,item+conceptum+codicem+numeralem
90,SLB,item+conceptum+codicem+numeralem
92,VGB,item+conceptum+codicem+numeralem
96,BRN,item+conceptum+codicem+numeralem
100,BGR,item+conceptum+codicem+numeralem
104,MMR,item+conceptum+codicem+numeralem
108,BDI,item+conceptum+codicem+numeralem
112,BLR,item+conceptum+codicem+numeralem
116,KHM,item+conceptum+codicem+numeralem
120,CMR,item+conceptum+codicem+numeralem
124,CAN,item+conceptum+codicem+numeralem
132,CPV,item+conceptum+codicem+numeralem
136,CYM,item+conceptum+codicem+numeralem
140,CAF,item+conceptum+codicem+numeralem
144,LKA,item+conceptum+codicem+numeralem
148,TCD,item+conceptum+codicem+numeralem
152,CHL,item+conceptum+codicem+numeralem
156,CHN,item+conceptum+codicem+numeralem
158,TWN,item+conceptum+codicem+numeralem
162,CXR,item+conceptum+codicem+numeralem
166,CCK,item+conceptum+codicem+numeralem
170,COL,item+conceptum+codicem+numeralem
174,COM,item+conceptum+codicem+numeralem
175,MYT,item+conceptum+codicem+numeralem
178,COG,item+conceptum+codicem+numeralem
180,COD,item+conceptum+codicem+numeralem
184,COK,item+conceptum+codicem+numeralem
188,CRI,item+conceptum+codicem+numeralem
191,HRV,item+conceptum+codicem+numeralem
192,CUB,item+conceptum+codicem+numeralem
196,CYP,item+conceptum+codicem+numeralem
203,CZE,item+conceptum+codicem+numeralem
204,BEN,item+conceptum+codicem+numeralem
208,DNK,item+conceptum+codicem+numeralem
212,DMA,item+conceptum+codicem+numeralem
214,DOM,item+conceptum+codicem+numeralem
218,ECU,item+conceptum+codicem+numeralem
222,SLV,item+conceptum+codicem+numeralem
226,GNQ,item+conceptum+codicem+numeralem
231,ETH,item+conceptum+codicem+numeralem
232,ERI,item+conceptum+codicem+numeralem
233,EST,item+conceptum+codicem+numeralem
234,FRO,item+conceptum+codicem+numeralem
238,FLK,item+conceptum+codicem+numeralem
239,SGS,item+conceptum+codicem+numeralem
242,FJI,item+conceptum+codicem+numeralem
246,FIN,item+conceptum+codicem+numeralem
248,ALA,item+conceptum+codicem+numeralem
250,FRA,item+conceptum+codicem+numeralem
254,GUF,item+conceptum+codicem+numeralem
258,PYF,item+conceptum+codicem+numeralem
260,ATF,item+conceptum+codicem+numeralem
262,DJI,item+conceptum+codicem+numeralem
266,GAB,item+conceptum+codicem+numeralem
268,GEO,item+conceptum+codicem+numeralem
270,GMB,item+conceptum+codicem+numeralem
275,PSE,item+conceptum+codicem+numeralem
276,DEU,item+conceptum+codicem+numeralem
288,GHA,item+conceptum+codicem+numeralem
292,GIB,item+conceptum+codicem+numeralem
296,KIR,item+conceptum+codicem+numeralem
300,GRC,item+conceptum+codicem+numeralem
304,GRL,item+conceptum+codicem+numeralem
308,GRD,item+conceptum+codicem+numeralem
312,GLP,item+conceptum+codicem+numeralem
316,GUM,item+conceptum+codicem+numeralem
320,GTM,item+conceptum+codicem+numeralem
324,GIN,item+conceptum+codicem+numeralem
328,GUY,item+conceptum+codicem+numeralem
332,HTI,item+conceptum+codicem+numeralem
334,HMD,item+conceptum+codicem+numeralem
336,VAT,item+conceptum+codicem+numeralem
340,HND,item+conceptum+codicem+numeralem
344,HKG,item+conceptum+codicem+numeralem
348,HUN,item+conceptum+codicem+numeralem
352,ISL,item+conceptum+codicem+numeralem
356,IND,item+conceptum+codicem+numeralem
360,IDN,item+conceptum+codicem+numeralem
364,IRN,item+conceptum+codicem+numeralem
368,IRQ,item+conceptum+codicem+numeralem
372,IRL,item+conceptum+codicem+numeralem
376,ISR,item+conceptum+codicem+numeralem
380,ITA,item+conceptum+codicem+numeralem
384,CIV,item+conceptum+codicem+numeralem
388,JAM,item+conceptum+codicem+numeralem
392,JPN,item+conceptum+codicem+numeralem
398,KAZ,item+conceptum+codicem+numeralem
400,JOR,item+conceptum+codicem+numeralem
404,KEN,item+conceptum+codicem+numeralem
408,PRK,item+conceptum+codicem+numeralem
410,KOR,item+conceptum+codicem+numeralem
414,KWT,item+conceptum+codicem+numeralem
417,KGZ,item+conceptum+codicem+numeralem
418,LAO,item+conceptum+codicem+numeralem
422,LBN,item+conceptum+codicem+numeralem
426,LSO,item+conceptum+codicem+numeralem
428,LVA,item+conceptum+codicem+numeralem
430,LBR,item+conceptum+codicem+numeralem
434,LBY,item+conceptum+codicem+numeralem
438,LIE,item+conceptum+codicem+numeralem
440,LTU,item+conceptum+codicem+numeralem
442,LUX,item+conceptum+codicem+numeralem
446,MAC,item+conceptum+codicem+numeralem
450,MDG,item+conceptum+codicem+numeralem
454,MWI,item+conceptum+codicem+numeralem
458,MYS,item+conceptum+codicem+numeralem
462,MDV,item+conceptum+codicem+numeralem
466,MLI,item+conceptum+codicem+numeralem
470,MLT,item+conceptum+codicem+numeralem
474,MTQ,item+conceptum+codicem+numeralem
478,MRT,item+conceptum+codicem+numeralem
480,MUS,item+conceptum+codicem+numeralem
484,MEX,item+conceptum+codicem+numeralem
492,MCO,item+conceptum+codicem+numeralem
496,MNG,item+conceptum+codicem+numeralem
498,MDA,item+conceptum+codicem+numeralem
499,MNE,item+conceptum+codicem+numeralem
500,MSR,item+conceptum+codicem+numeralem
504,MAR,item+conceptum+codicem+numeralem
508,MOZ,item+conceptum+codicem+numeralem
512,OMN,item+conceptum+codicem+numeralem
516,NAM,item+conceptum+codicem+numeralem
520,NRU,item+conceptum+codicem+numeralem
524,NPL,item+conceptum+codicem+numeralem
528,NLD,item+conceptum+codicem+numeralem
531,CUW,item+conceptum+codicem+numeralem
533,ABW,item+conceptum+codicem+numeralem
534,SXM,item+conceptum+codicem+numeralem
535,BES,item+conceptum+codicem+numeralem
540,NCL,item+conceptum+codicem+numeralem
548,VUT,item+conceptum+codicem+numeralem
554,NZL,item+conceptum+codicem+numeralem
558,NIC,item+conceptum+codicem+numeralem
562,NER,item+conceptum+codicem+numeralem
566,NGA,item+conceptum+codicem+numeralem
570,NIU,item+conceptum+codicem+numeralem
574,NFK,item+conceptum+codicem+numeralem
578,NOR,item+conceptum+codicem+numeralem
580,MNP,item+conceptum+codicem+numeralem
581,UMI,item+conceptum+codicem+numeralem
583,FSM,item+conceptum+codicem+numeralem
584,MHL,item+conceptum+codicem+numeralem
585,PLW,item+conceptum+codicem+numeralem
586,PAK,item+conceptum+codicem+numeralem
591,PAN,item+conceptum+codicem+numeralem
598,PNG,item+conceptum+codicem+numeralem
600,PRY,item+conceptum+codicem+numeralem
604,PER,item+conceptum+codicem+numeralem
608,PHL,item+conceptum+codicem+numeralem
612,PCN,item+conceptum+codicem+numeralem
616,POL,item+conceptum+codicem+numeralem
620,PRT,item+conceptum+codicem+numeralem
624,GNB,item+conceptum+codicem+numeralem
626,TLS,item+conceptum+codicem+numeralem
630,PRI,item+conceptum+codicem+numeralem
634,QAT,item+conceptum+codicem+numeralem
638,REU,item+conceptum+codicem+numeralem
642,ROU,item+conceptum+codicem+numeralem
643,RUS,item+conceptum+codicem+numeralem
646,RWA,item+conceptum+codicem+numeralem
652,BLM,item+conceptum+codicem+numeralem
654,SHN,item+conceptum+codicem+numeralem
659,KNA,item+conceptum+codicem+numeralem
660,AIA,item+conceptum+codicem+numeralem
662,LCA,item+conceptum+codicem+numeralem
663,MAF,item+conceptum+codicem+numeralem
666,SPM,item+conceptum+codicem+numeralem
670,VCT,item+conceptum+codicem+numeralem
674,SMR,item+conceptum+codicem+numeralem
678,STP,item+conceptum+codicem+numeralem
682,SAU,item+conceptum+codicem+numeralem
686,SEN,item+conceptum+codicem+numeralem
688,SRB,item+conceptum+codicem+numeralem
690,SYC,item+conceptum+codicem+numeralem
694,SLE,item+conceptum+codicem+numeralem
702,SGP,item+conceptum+codicem+numeralem
703,SVK,item+conceptum+codicem+numeralem
704,VNM,item+conceptum+codicem+numeralem
705,SVN,item+conceptum+codicem+numeralem
706,SOM,item+conceptum+codicem+numeralem
710,ZAF,item+conceptum+codicem+numeralem
716,ZWE,item+conceptum+codicem+numeralem
724,ESP,item+conceptum+codicem+numeralem
728,SSD,item+conceptum+codicem+numeralem
729,SDN,item+conceptum+codicem+numeralem
732,ESH,item+conceptum+codicem+numeralem
740,SUR,item+conceptum+codicem+numeralem
744,SJM,item+conceptum+codicem+numeralem
748,SWZ,item+conceptum+codicem+numeralem
752,SWE,item+conceptum+codicem+numeralem
756,CHE,item+conceptum+codicem+numeralem
760,SYR,item+conceptum+codicem+numeralem
762,TJK,item+conceptum+codicem+numeralem
764,THA,item+conceptum+codicem+numeralem
768,TGO,item+conceptum+codicem+numeralem
772,TKL,item+conceptum+codicem+numeralem
776,TON,item+conceptum+codicem+numeralem
780,TTO,item+conceptum+codicem+numeralem
784,ARE,item+conceptum+codicem+numeralem
788,TUN,item+conceptum+codicem+numeralem
792,TUR,item+conceptum+codicem+numeralem
795,TKM,item+conceptum+codicem+numeralem
796,TCA,item+conceptum+codicem+numeralem
798,TUV,item+conceptum+codicem+numeralem
800,UGA,item+conceptum+codicem+numeralem
804,UKR,item+conceptum+codicem+numeralem
807,MKD,item+conceptum+codicem+numeralem
818,EGY,item+conceptum+codicem+numeralem
826,GBR,item+conceptum+codicem+numeralem
831,GGY,item+conceptum+codicem+numeralem
832,JEY,item+conceptum+codicem+numeralem
833,IMN,item+conceptum+codicem+numeralem
834,TZA,item+conceptum+codicem+numeralem
840,USA,item+conceptum+codicem+numeralem
850,VIR,item+conceptum+codicem+numeralem
854,BFA,item+conceptum+codicem+numeralem
858,URY,item+conceptum+codicem+numeralem
860,UZB,item+conceptum+codicem+numeralem
862,VEN,item+conceptum+codicem+numeralem
876,WLF,item+conceptum+codicem+numeralem
882,WSM,item+conceptum+codicem+numeralem
887,YEM,item+conceptum+codicem+numeralem
894,ZMB,item+conceptum+codicem+numeralem
