#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:2:5007,5007,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5007,Mawlaik,မော်လိုက်ခရိုင်,MM005D007,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5008,5008,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5008,Hkamti,ခန္တီးခရိုင်,MM005D008,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5009,5009,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5009,Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5010,5010,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5010,Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5011,5011,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5011,Kawlin,ကောလင်းခရိုင်,MM005D011,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5001,5001,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:6001,6001,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6001,Dawei,ထားဝယ်ခရိုင်,MM006D001,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:6002,6002,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6002,Myeik,မြိတ်ခရိုင်,MM006D002,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:6003,6003,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6003,Kawthoung,ကော့သောင်းခရိုင်,MM006D003,,,,,,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:7001,7001,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,Bago,ပဲခူးခရိုင်,MM007D001,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
